Office,Name,Party,Birth Date,Date started
Senate,Richard Shelby,Republican,1934-05-06,1987-01-03
Senate,Tommy Tuberville,Republican,1954-09-18,2021-01-03
Senate,Lisa Murkowski,Republican,1957-05-22,2002-12-20
Senate,Dan Sullivan,Republican,1964-11-13,2015-01-03
Senate,Kyrsten Sinema,Democratic,1976-07-12,2019-01-03
Senate,Mark Kelly,Democratic,1964-02-21,2020-11-30
Senate,John Boozman,Republican,1950-12-10,2011-01-03
Senate,Tom Cotton,Republican,1977-05-13,2015-01-03
Senate,Dianne Feinstein,Democratic,1933-06-22,1992-11-10
Senate,Kamala Harris,Democratic,1964-10-20,2017-01-03
Senate,Michael Bennet,Democratic,1964-11-28,2009-01-21
Senate,John Hickenlooper,Democratic,1952-02-07,2021-01-03
Senate,Richard Blumenthal,Democratic,1946-02-13,2011-01-03
Senate,Chris Murphy,Democratic,1973-08-03,2013-01-03
Senate,Tom Carper,Democratic,1947-01-23,2001-01-03
Senate,Chris Coons,Democratic,1963-09-09,2010-11-15
Senate,Marco Rubio,Republican,1971-05-28,2011-01-03
Senate,Rick Scott,Republican,1952-12-01,2019-01-08
Senate,David Perdue,Republican,1949-12-10,2015-01-03
Senate,Kelly Loeffler,Republican,1970-11-27,2020-01-06
Senate,Brian Schatz,Democratic,1972-10-20,2012-12-26
Senate,Mazie Hirono,Democratic,1947-11-03,2013-01-03
Senate,Mike Crapo,Republican,1951-05-20,1999-01-03
Senate,Jim Risch,Republican,1943-05-03,2009-01-03
Senate,Dick Durbin,Democratic,1944-11-21,1997-01-03
Senate,Tammy Duckworth,Democratic,1968-03-12,2017-01-03
Senate,Todd Young,Republican,1972-08-24,2017-01-03
Senate,Mike Braun,Republican,1954-03-24,2019-01-03
Senate,Chuck Grassley,Republican,1933-09-17,1981-01-03
Senate,Joni Ernst,Republican,1970-07-01,2015-01-03
Senate,Roger Marshall,Republican,1960-08-09,2021-01-03
Senate,Jerry Moran,Republican,1954-05-29,2011-01-03
Senate,Mitch McConnell,Republican,1942-02-20,1985-01-03
Senate,Rand Paul,Republican,1963-01-07,2011-01-03
Senate,Bill Cassidy,Republican,1957-09-28,2015-01-03
Senate,John Kennedy,Republican,1951-11-21,2017-01-03
Senate,Susan Collins,Republican,1952-12-07,1997-01-03
Senate,Angus King,Independent,1944-03-31,2013-01-03
Senate,Ben Cardin,Democratic,1943-10-05,2007-01-03
Senate,Chris Van Hollen,Democratic,1959-01-10,2017-01-03
Senate,Elizabeth Warren,Democratic,1949-06-22,2013-01-03
Senate,Ed Markey,Democratic,1946-07-11,2013-07-16
Senate,Debbie Stabenow,Democratic,1950-04-29,2001-01-03
Senate,Gary Peters,Democratic,1958-12-01,2015-01-03
Senate,Amy Klobuchar,Democratic,1960-05-25,2007-01-03
Senate,Tina Smith,Democratic,1958-03-04,2018-01-03
