City,2010_White,2010_Black,2010_Native,2010_Asian,2010_PacIsle,2010_Other,2010_Mixed,2010_HispLat,2010_HH_Inc,2010_Fam_Inc,2010_Male_Inc,2010_Female_Inc,2010_PerCap_Inc,2010_Fam_Pov,2010_Pop_Pov,2010_Child_Pov,2010_Senior_Pov
Abanda,,,,,,,,,"$13,864.00",,,,,,,,
Abbeville,54.40%,41.40%,,1.00%,,2.00%,1.20%,3.10%,"$28,533.00","$39,167.00","$36,630.00","$25,302.00","$17,756.00",16.20%,18.50%,25.20%,17.80%
Abel,,,,,,,,,,,,,,,,,
Abernant,,,,,,,,,,,,,,,,,
Acmar,,,,,,,,,,,,,,,,,
Ada,,,,,,,,,,,,,,,,,
Adamsville,52.30%,44.90%,0.50%,0.30%,0.00%,1.10%,0.80%,2.30%,"$52,167.00","$56,551.00","$41,176.00","$31,349.00","$23,461.00",7.90%,11.00%,21.10%,10.10%
Addison,99.45%,0.14%,0.14%,0.14%,,,0.14%,0.14%,"$22,235.00","$31,146.00","$26,667.00","$19,583.00","$12,973.00",16.30%,19.70%,31.10%,19.50%
Adger,92.30%,6.40%,,,,0.90%,,$0.00,,,,,,,,,
Akron,13.20%,86.50%,,,,,0.30%,0.30%,"$19,875.00","$21,250.00","$22,396.00","$18,500.00","$10,929.00",37.10%,40.70%,60.20%,32.70%
Alabama City,,,,,,,,,,,,,,,,,
Alabama Port,,,,,,,,,,,,,,,,,
Alabaster,81.20%,15.00%,0.31%,0.64%,0.02%,2.20%,0.69%,4.54%,"$64,411.00","$78,940.00",,,"$22,466.00",4.30%,5.90%,7.00%,12.30%
Alberta,,,,,,,,,,,,,,,,,
Albertville,75.90%,1.90%,0.80%,0.50%,0.10%,18.70%,2.10%,27.90%,"$35,843.00","$41,862.00","$30,164.00","$25,700.00","$16,839.00",15.80%,23.60%,35.60%,7.60%
Alden,,,,,,,,,,,,,,,,,
Alexander City,62.20%,32.00%,0.20%,0.90%,0.00%,3.80%,0.90%,4.80%,"$34,782.00","$44,455.00","$34,515.00","$31,250.00","$20,097.00",17.00%,20.50%,30.70%,14.30%
Alexandria,87.40%,10.20%,0.30%,0.50%,0.30%,0.50%,0.80%,0.90%,"$41,324.00","$66,061.00","$47,788.00","$30,294.00","$21,647.00",19.80%,19.40%,29.70%,16.20%
Aliceville,22.60%,74.90%,0.10%,0.00%,,0.80%,1.60%,1.20%,"$17,092.00","$23,233.00","$25,114.00","$15,952.00","$11,028.00",38.70%,44.70%,64.60%,29.90%
Allen,,,,,,,,,,,,,,,,,
Allgood,83.94%,0.32%,0.48%,,,12.08%,3.18%,43.40%,"$29,583.00","$30,750.00","$31,058.00","$25,486.00","$11,729.00",23.40%,27.30%,33.90%,8.70%
Alma,,,,,,,,,,,,,,,,,
Almond,,,,,,,,,,,,,,,,,
Alpine,,,,,,,,,,,,,,,,,
Alton,,,,,,,,,,,,,,,,,
Altoona,95.43%,2.54%,0.10%,,,0.91%,1.02%,2.54%,"$20,469.00","$28,750.00","$30,250.00","$22,344.00","$11,168.00",21.80%,27.20%,39.30%,16.30%
Andalusia,70.50%,25.90%,0.40%,1.00%,0.00%,0.40%,1.70%,1.90%,"$28,049.00","$37,059.00","$27,228.00","$25,855.00","$19,544.00",20.20%,22.80%,35.40%,14.50%
Anderson,99.15%,,0.28%,,,,0.56%,,"$26,750.00","$30,962.00","$28,125.00","$28,333.00","$16,477.00",13.30%,13.70%,16.90%,8.20%
Anne Manie,,,,,,,,,,,,,,,,,
Anniston,43.60%,51.50%,0.30%,0.80%,0.10%,,1.70%,2.70%,"$30,400.00","$37,067.00","$31,429.00","$21,614.00","$19,689.00",25.10%,29.80%,35.20%,16.20%
Aquilla,,,,,,,,,,,,,,,,,
Arab,96.60%,0.10%,0.60%,0.70%,,0.70%,1.10%,1.70%,"$42,435.00","$64,432.00","$44,401.00","$40,062.00","$23,986.00",13.30%,18.10%,27.70%,14.80%
Ardmore,94.30%,1.90%,0.80%,0.90%,0.10%,0.60%,1.40%,1.30%,"$32,196.00","$36,779.00","$31,600.00","$37,841.00","$18,931.00",13.00%,18.80%,21.90%,19.20%
Argo,94.10%,3.60%,0.40%,0.30%,0.10%,,1.30%,0.50%,"$53,917.00","$60,313.00","$39,000.00","$35,072.00","$21,409.00",8.20%,9.20%,14.30%,2.80%
Ariton,69.30%,29.27%,0.13%,,,,1.30%,0.78%,"$21,083.00","$25,781.00","$27,250.00","$17,639.00","$11,502.00",25.10%,25.90%,34.50%,22.20%
Arkadelphia,,,,,,,,,,,,,,,,,
Arley,99.31%,,,,,,0.69%,1.38%,"$26,500.00","$31,000.00","$25,750.00","$16,667.00","$12,822.00",13.30%,15.40%,25.00%,22.60%
Arlington,,,,,,,,,,,,,,,,,
Armstrong,,,,,,,,,,,,,,,,,
Ashford,79.00%,19.50%,0.20%,0.20%,,,0.70%,0.80%,"$35,709.00","$55,833.00","$38,654.00","$27,143.00","$21,444.00",9.10%,14.30%,21.50%,15.50%
Ashland,71.50%,24.10%,,0.70%,,2.00%,1.30%,5.70%,"$30,759.00","$44,659.00","$30,360.00","$29,438.00","$17,258.00",24.40%,20.00%,7.90%,29.20%
Ashville,75.80%,20.30%,0.20%,0.30%,0.00%,1.40%,2.00%,3.80%,"$33,321.00","$34,607.00","$32,026.00","$30,033.00","$16,419.00",14.20%,19.90%,32.00%,6.20%
Athens,73.00%,17.50%,0.60%,0.90%,0.10%,5.90%,1.90%,8.80%,"$42,127.00","$54,013.00","$43,672.00","$31,601.00","$26,136.00",15.50%,17.50%,26.40%,8.50%
Atmore,39.30%,55.40%,1.80%,0.30%,0.10%,0.10%,1.30%,1.80%,,,,,,,,,
Attalla,81.50%,12.70%,0.40%,0.50%,,2.90%,2.00%,4.70%,"$32,426.00","$35,934.00","$33,428.00","$25,441.00","$16,457.00",13.90%,18.20%,27.50%,13.90%
Auburn,75.10%,16.50%,0.30%,5.30%,0.00%,1.10%,1.60%,2.90%,"$35,857.00","$72,771.00","$51,644.00","$36,898.00","$24,656.00",9.20%,25.20%,15.00%,3.60%
Autaugaville,31.30%,66.80%,0.20%,,,0.30%,1.40%,0.80%,"$22,563.00","$35,417.00","$29,688.00","$19,821.00","$12,586.00",27.40%,27.10%,31.20%,23.20%
Avon,94.42%,4.29%,0.21%,,,,1.07%,0.43%,"$37,679.00","$42,273.00","$28,438.00","$18,068.00","$18,152.00",9.20%,12.40%,18.90%,4.30%
Awin,,,,,,,,,,,,,,,,,
Axis,66.80%,26.90%,3.20%,0.10%,0.10%,0.10%,2.60%,$0.01,,,,,,,,,
Babbie,98.88%,0.16%,,0.32%,,0.16%,0.48%,,"$26,328.00","$31,875.00","$27,054.00","$17,000.00","$13,628.00",16.60%,14.80%,21.60%,15.60%
Baileyton,99.56%,,0.29%,0.15%,,,,,"$31,000.00","$41,563.00","$30,083.00","$20,417.00","$14,696.00",10.30%,16.60%,21.10%,22.50%
Bakerhill,,,,,,,,,,,,,,,,,
Ballplay,,,,,,,,,,,,,,,,,
Bangor,,,,,,,,,,,,,,,,,
Banks,69.30%,24.60%,2.20%,,,1.10%,2.80%,1.10%,"$21,719.00","$32,500.00","$25,417.00","$26,500.00","$15,601.00",4.80%,10.00%,10.90%,11.30%
Bankston,,,,,,,,,,,,,,,,,
Barfield,,,,,,,,,,,,,,,,,
Barlow,,,,,,,,,,,,,,,,,
Barnett%27s Crossroads,,,,,,,,,,,,,,,,,
Barney,,,,,,,,,,,,,,,,,
Bassetts Creek,,,,,,,,,,,,,,,,,
