Location,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Acorn Township, Polk County,,,,,,,,,,,,,,,,,
Adona,94.12%,3.21%,2.14%,,,,0.53%,,,,,,,,,,
Afton Township, Fulton County,,,,,,,,,,,,,,,,,
Alabam Township, Madison County,,,,,,,,,,,,,,,,,
Alabama Township, Nevada County,,,,,,,,,,,,,,,,,
Albany Township, Nevada County,,,,,,,,,,,,,,,,,
Albion Township, White County,,,,,,,,,,,,,,,,,
Alexander,70.68%,26.71%,0.49%,0.98%,,0.33%,0.81%,2.28%,$30,050.00,$35,341.00,$28,571.00,$21,958.00,$15,157.00,9.50%,12.80%,9.10%,11.00%
Alicia,100.00%,,,,,,,,$20,833.00,$22,083.00,$20,250.00,$25,313.00,$12,942.00,10.00%,20.40%,72.20%,0.00%
Alix Township, Franklin County,,,,,,,,,,,,,,,,,
Allport,5.51%,94.49%,,,,,,,$17,500.00,$18,333.00,$23,125.00,$0.00,$18,685.00,35.70%,32.50%,52.40%,48.40%
Alma Township, Crawford County,,,,,,,,,,,,,,,,,
Alma,94.66%,1.71%,1.56%,0.10%,0.12%,0.75%,1.11%,3.70%,,,,,,,,,
Almyra,98.12%,1.88%,,,,,,,$33,125.00,$39,688.00,$28,571.00,$20,938.00,$19,729.00,10.80%,10.60%,11.10%,7.80%
Alpena,96.50%,,2.16%,0.27%,,,1.08%,2.43%,$23,906.00,$28,333.00,$29,000.00,$17,125.00,$13,429.00,7.30%,13.30%,5.00%,29.40%
Altheimer,10.00%,88.10%,,1.00%,,0.60%,0.30%,1.40%,$32,500.00,$34,153.00,,,,30.90%,35.30%,60.40%,3.90%
Altus,97.80%,0.12%,0.86%,0.24%,,0.37%,0.61%,2.08%,$21,842.00,$29,286.00,$25,000.00,$18,583.00,$17,376.00,19.70%,28.10%,36.80%,19.30%
Amagon,93.68%,,,,,6.32%,,6.32%,$15,938.00,$18,750.00,$17,083.00,$12,500.00,,23.30%,20.50%,28.60%,33.30%
Amity,96.85%,0.92%,0.79%,,,0.92%,0.52%,2.49%,$25,625.00,$32,188.00,$22,330.00,$16,250.00,$13,626.00,10.00%,14.90%,17.80%,17.90%
Anderson Township, Benton County,,,,,,,,,,,,,,,,,
Annieville Township, Lawrence County,,,,,,,,,,,,,,,,,
Anthonyville,2.80%,96.40%,,,,0.80%,,0.80%,$23,750.00,$32,344.00,$25,357.00,$18,636.00,$8,825.00,28.40%,32.20%,36.20%,48.70%
Antioch Township, Hot Spring County,,,,,,,,,,,,,,,,,
Antioch Township, White County,,,,,,,,,,,,,,,,,
Antoine Township, Pike County,,,,,,,,,,,,,,,,,
Antoine,93.59%,5.77%,,,,,0.64%,0.00%,$23,750.00,$24,583.00,$14,583.00,$13,333.00,$13,191.00,7.30%,12.80%,15.90%,18.20%
Aplin Township, Perry County,,,,,,,,,,,,,,,,,
Apple Glen Township, Benton County,,,,,,,,,,,,,,,,,
Arbana Township, Stone County,,,,,,,,,,,,,,,,,
Archey Valley Township, Van Buren County,,,,,,,,,,,,,,,,,
Arden Township, Little River County,,,,,,,,,,,,,,,,,
Arkadelphia,68.98%,26.51%,0.53%,1.29%,0.05%,1.35%,1.28%,2.59%,$26,651.00,$42,479.00,$30,152.00,$19,459.00,$13,268.00,19.80%,23.20%,25.80%,15.90%
Arkansas City,55.01%,43.80%,,,,,1.19%,3.23%,$22,014.00,$27,500.00,$36,250.00,$17,188.00,$14,523.00,25.30%,31.80%,41.60%,37.60%
Arkansas County,71.04%,24.51%,0.20%,0.48%,0.01%,0.06%,1.18%,2.70%,$30,316.00,$36,472.00,$28,914.00,$21,127.00,$16,401.00,14.10%,17.80%,24.80%,15.50%
Arkansas Township County,,,,,,,,,,,,,,,,,
Arkinda Township, Little River County,,,,,,,,,,,,,,,,,
Ash Flat,98.57%,0.41%,0.20%,,,,0.82%,0.72%,$16,797.00,$22,019.00,$24,815.00,$15,556.00,$11,506.00,24.50%,31.70%,42.20%,22.60%
Ashdown,62.85%,34.09%,1.05%,0.23%,0.02%,0.48%,1.28%,0.96%,$26,754.00,$34,850.00,$33,668.00,$18,073.00,$15,293.00,15.50%,18.90%,21.60%,25.10%
Ashland Township, Lawrence County,,,,,,,,,,,,,,,,,
Ashley County,69.78%,27.10%,0.21%,0.18%,0.05%,1.73%,0.96%,3.21%,$31,758.00,$37,370.00,$35,089.00,$19,501.00,$15,702.00,13.90%,17.50%,25.70%,17.20%
Ashley Township, Independence County,,,,,,,,,,,,,,,,,
Athens Township, Izard County,,,,,,,,,,,,,,,,,
Atkins,95.60%,0.90%,0.80%,0.10%,,1.20%,1.20%,2.30%,$40,112.00,$49,754.00,$33,191.00,$38,833.00,$18,605.00,6.40%,8.80%,6.30%,7.90%
Aubrey,67.87%,30.32%,,,,1.81%,,4.07%,$19,167.00,$19,167.00,$20,250.00,$16,111.00,$11,805.00,15.20%,18.00%,21.10%,18.80%
Auburn Township, Lincoln County,,,,,,,,,,,,,,,,,
Augusta Township, Woodruff County,,,,,,,,,,,,,,,,,
Augusta,55.00%,42.99%,2.00%,,,0.08%,0.64%,0.38%,$21,500.00,$24,506.00,$24,781.00,$18,176.00,$12,865.00,23.60%,28.90%,41.90%,24.90%
Austin Township, Conway County,,,,,,,,,,,,,,,,,
Austin,96.20%,0.17%,0.17%,,,1.32%,2.15%,5.62%,$44,063.00,$49,107.00,$30,069.00,$21,116.00,$17,369.00,3.60%,6.30%,7.60%,6.80%
Avilla,,,,,,,,,,,,,,,,,
Avoca,92.43%,,1.65%,0.24%,0.71%,3.31%,1.65%,6.15%,$41,964.00,$47,500.00,$32,708.00,$25,167.00,$17,028.00,4.20%,7.80%,5.90%,12.00%
Baker Township, Izard County,,,,,,,,,,,,,,,,,
Baker Township, Lafayette County,,,,,,,,,,,,,,,,,
Baker Township, Randolph County,,,,,,,,,,,,,,,,,
Bald Knob Township, White County,,,,,,,,,,,,,,,,,
Bald Knob,89.91%,6.07%,0.62%,0.59%,0.03%,1.21%,1.56%,3.18%,$26,970.00,$36,500.00,$27,978.00,$19,000.00,$13,218.00,10.40%,16.50%,22.70%,20.00%
Ball Township, Benton County,,,,,,,,,,,,,,,,,
Banks,72.50%,20.00%,,,,4.17%,3.33%,5.00%,$23,958.00,$25,000.00,$24,583.00,$21,875.00,$10,416.00,22.20%,20.80%,8.30%,30.80%
Banner Township, Ashley County,,,,,,,,,,,,,,,,,
Banner Township, Saline County,,,,,,,,,,,,,,,,,
Barber Township, Logan County,,,,,,,,,,,,,,,,,
Barham Township, Franklin County,,,,,,,,,,,,,,,,,
Barling,87.05%,1.39%,1.87%,5.10%,0.02%,2.04%,2.54%,3.98%,$37,605.00,$41,421.00,$28,218.00,$22,936.00,$16,485.00,10.00%,11.90%,15.80%,14.30%
Barnes Township, County,,,,,,,,,,,,,,,,,
Barnett Township, Van Buren County,,,,,,,,,,,,,,,,,
Barraque Township, Jefferson County,,,,,,,,,,,,,,,,,
Barren Fork Township Izard, County,,,,,,,,,,,,,,,,,
Barren Township, Independence County,,,,,,,,,,,,,,,,,
Barren Township, Jackson County,,,,,,,,,,,,,,,,,
Bartholomew Township, Drew County,,,,,,,,,,,,,,,,,
Bartholomew Township, Lincoln County,,,,,,,,,,,,,,,,,
Barton Township County,,,,,,,,,,,,,,,,,
Bass Little Township, Sebastian County,,,,,,,,,,,,,,,,,
