,1850,1850,1860,1860,1870,1870,1880,1880,1890,1890,1900,1900,1910,1910,1920,1920,1930,1930,1940,1940,1950,1950,1960,1960,1970,1970,1980,1980,1990,1990,2000,2000,2010,2010
,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state
~California,"92,597",100.00%,"379,994",100.00%,"560,247",100.00%,"864,694",100.00%,"1,213,398",100.00%,"1,485,053",100.00%,"2,377,549",100.00%,"3,426,861",100.00%,"5,677,251",100.00%,"6,907,387",100.00%,"10,586,223",100.00%,"15,717,204",100.00%,"19,953,134",100.00%,"23,667,902",100.00%,"29,760,021",100.00%,"33,871,648",100.00%,"37,253,956",100.00%
Alameda,--,--,"8,927",2.35%,"24,237",4.33%,"62,976",7.28%,"93,864",7.74%,"130,197",8.77%,"246,131",10.35%,"344,177",10.04%,"474,883",8.36%,"513,011",7.43%,"740,315",6.99%,"908,209",5.78%,"1,073,184",5.38%,"1,105,379",4.67%,"1,279,182",4.30%,"1,443,741",4.26%,"1,510,271",4.05%
Alpine,--,--,--,--,685,0.12%,539,0.06%,667,0.05%,509,0.03%,309,0.01%,243,0.01%,241,0.00%,323,0.00%,241,0.00%,397,0.00%,484,0.00%,"1,097",0.00%,"1,113",0.00%,"1,208",0.00%,"1,175",0.00%
Amador,--,--,"10,930",2.88%,"9,582",1.71%,"11,384",1.32%,"10,320",0.85%,"11,116",0.75%,"9,086",0.38%,"7,793",0.23%,"8,494",0.15%,"8,973",0.13%,"9,151",0.09%,"9,990",0.06%,"11,821",0.06%,"19,314",0.08%,"30,039",0.10%,"35,100",0.10%,"38,091",0.10%
Butte,"3,574",3.86%,"12,106",3.19%,"11,403",2.04%,"18,721",2.17%,"17,939",1.48%,"17,117",1.15%,"27,301",1.15%,"30,030",0.88%,"34,093",0.60%,"42,840",0.62%,"64,930",0.61%,"82,030",0.52%,"101,969",0.51%,"143,851",0.61%,"182,120",0.61%,"203,171",0.60%,"220,000",0.59%
Calaveras,"16,884",18.23%,"16,299",4.29%,"8,895",1.59%,"9,094",1.05%,"8,882",0.73%,"11,200",0.75%,"9,171",0.39%,"6,183",0.18%,"6,008",0.11%,"8,221",0.12%,"9,902",0.09%,"10,289",0.07%,"13,585",0.07%,"20,710",0.09%,"31,998",0.11%,"40,554",0.12%,"45,578",0.12%
Colusa,115,0.12%,"2,274",0.60%,"6,165",1.10%,"13,118",1.52%,"14,640",1.21%,"7,364",0.50%,"7,732",0.33%,"9,290",0.27%,"10,258",0.18%,"9,788",0.14%,"11,651",0.11%,"12,075",0.08%,"12,430",0.06%,"12,791",0.05%,"16,275",0.05%,"18,804",0.06%,"21,419",0.06%
Contra Costa,--,--,"5,328",5.75%,"8,461",2.23%,"12,525",2.24%,"13,515",1.56%,"18,046",1.49%,"31,674",2.13%,"53,889",2.27%,"78,608",2.29%,"100,450",1.77%,"298,984",4.33%,"409,030",3.86%,"558,389",3.55%,"656,380",3.29%,"803,732",3.40%,"948,816",3.19%,"1,049,025",3.10%
