Location,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty,,,,,,,,
Acres Green,93.07%,0.62%,0.50%,2.03%,,1.68%,2.09%,5.40%,,,,,,,,,,,,,,,,,
Adams County,77.29%,2.97%,1.19%,3.21%,0.12%,11.73%,3.49%,28.19%,$47,323.00,$52,517.00,$36,499.00,$28,053.00,$19,944.00,6.50%,8.90%,10.90%,7.30%,,,,,,,,
Aetna Estates,,,,,,,,,,,,,,,,,,,,,,,,,
Air Force Academy,83.60%,5.80%,0.80%,2.80%,0.30%,3.10%,3.80%,8.70%,$43,417.00,$43,264.00,$7,307.00,$15,464.00,$11,088.00,3.20%,2.80%,3.60%,0.00%,,,,,,,,
Akron,93.51%,0.12%,1.23%,0.12%,0.06%,4.32%,0.64%,11.75%,$29,420.00,$35,156.00,$25,875.00,$21,000.00,$15,772.00,8.10%,11.00%,13.90%,11.30%,,,,,,,,
Alamosa,68.53%,1.41%,2.20%,0.95%,0.26%,22.36%,4.28%,46.80%,$25,453.00,$33,017.00,$27,100.00,$22,671.00,$15,405.00,18.10%,25.00%,30.40%,17.00%,,,,,,,,
Alamosa County,71.19%,0.97%,2.34%,0.82%,0.19%,20.34%,4.16%,41.41%,$29,447.00,$38,389.00,$27,733.00,$22,806.00,$15,037.00,15.60%,21.30%,27.40%,13.90%,,,,,,,,
Alamosa East,59.95%,0.46%,2.68%,0.92%,0.07%,30.37%,5.56%,54.38%,$27,176.00,$32,593.00,$26,250.00,$18,462.00,$10,948.00,19.70%,24.80%,32.00%,10.40%,,,,,,,,
Allenspark,,,,,,,,,,,,,,,,,,,,,,,,,
Allenspark,95.97%,0.20%,0.60%,1.01%,,0.60%,1.61%,1.61%,$42,596.00,$65,536.00,$27,857.00,$35,208.00,$28,333.00,0.00%,10.00%,0.00%,10.70%,,,,,,,,
Alma,92.74%,,2.23%,0.56%,,3.35%,1.12%,3.35%,$41,563.00,$59,688.00,$28,750.00,$26,563.00,$25,165.00,0.00%,4.30%,,,,,,,,,,
Alpine,,,,,,,,,,,,,,,,,,,,,,,,,
Altona,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst,,,,,,,,,,,,,,,,,,,,,,,,,
Antonito,61.40%,0.11%,3.55%,0.23%,,31.96%,2.75%,90.26%,,,,,,,,,,,,,,,,,
Applewood,94.59%,0.38%,0.51%,1.22%,0.11%,1.47%,1.71%,4.38%,$66,210.00,$76,907.00,$54,028.00,$36,315.00,$34,640.00,2.80%,4.20%,2.70%,5.20%,,,,,,,,
Arapahoe County,79.93%,7.67%,0.66%,3.95%,0.12%,4.51%,3.16%,11.81%,$53,570.00,$63,875.00,$41,601.00,$31,612.00,$28,147.00,4.20%,5.80%,7.00%,5.10%,,,,,,,,
