,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Andover,96.64%,0.92%,0.33%,0.46%,,0.69%,0.96%,1.55%,$23456.00,$45234.00,$21543.00,$18167.00,$30273.00,2.30%,3.60%,2.80%,4.80%
Ansonia,85.52%,8.42%,0.34%,1.13%,0.02%,2.22%,2.37%,7.42%,$43026.00,$53718.00,$30747.00,$28517.00,$20504.00,6.20%,7.60%,12.30%,5.30%
Ashford,95.71%,1.00%,0.27%,1.02%,,0.44%,1.56%,2.00%,$55000.00,$61693.00,$42117.00,$31942.00,$26104.00,3.40%,5.90%,6.10%,8.70%
Avon,94.93%,0.98%,0.05%,2.96%,0.02%,0.28%,0.77%,1.57%,,,,,,,,,
Baltic,,,,,,,,,,,,,,,,,
Barkhamsted,98.54%,0.06%,0.17%,0.40%,,0.29%,0.54%,0.89%,$65972.00,$73218.00,$51925.00,$38102.00,$28961.00,1.80%,3.00%,3.80%,1.40%
Beacon Falls,96.97%,0.72%,0.08%,1.03%,0.04%,0.40%,0.76%,2.13%,$56592.00,$62461.00,$41696.00,$34844.00,$25285.00,4.20%,5.90%,9.80%,4.60%
Berlin,97.03%,0.36%,0.05%,1.65%,0.01%,0.18%,0.73%,1.47%,$68068.00,$76756.00,$49714.00,$34832.00,$27744.00,1.40%,2.50%,0.90%,6.80%
Bethany,95.04%,1.83%,0.30%,1.53%,0.10%,0.48%,0.73%,2.02%,$74898.00,$79493.00,$52037.00,$44427.00,$31403.00,1.50%,2.60%,4.10%,0.60%
Bethel,89.96%,1.61%,0.13%,4.40%,0.02%,1.67%,2.20%,4.63%,$57276.00,$66672.00,$45815.00,$35989.00,$25888.00,1.10%,3.00%,0.70%,6.60%
Bethlehem,97.63%,0.25%,0.10%,0.64%,,0.54%,0.84%,0.74%,,,,,,,,,
Bloomfield,35.70%,57.50%,0.03%,1.90%,0.01%,1.70%,3.00%,5.60%,$73519.00,$84735.00,,,,,,,
Blue Hills,9.80%,83.11%,0.40%,1.23%,0.03%,1.49%,3.94%,4.07%,$48859.00,$52361.00,$36842.00,$30972.00,$21618.00,3.90%,8.70%,14.60%,13.10%
Bolton,95.70%,1.10%,0.10%,1.40%,,,3.00%,0.00%,,,,,,,,,
Bozrah,96.39%,0.55%,0.85%,0.51%,0.04%,0.51%,1.15%,1.78%,$57059.00,$65481.00,$45291.00,$27361.00,$26569.00,2.20%,3.70%,5.50%,4.70%
Branford,94.05%,1.35%,0.10%,2.72%,0.06%,0.53%,1.20%,2.57%,$58009.00,$69510.00,$46927.00,$35947.00,$32301.00,3.30%,4.10%,3.90%,4.00%
Branford Center,93.50%,1.24%,0.24%,2.35%,0.21%,0.80%,1.66%,3.80%,$45102.00,$59604.00,$42750.00,$35866.00,$29290.00,3.60%,4.10%,3.50%,5.30%
Bridgeport,39.60%,34.60%,,3.40%,,,4.30%,38.20%,$34658.00,$39571.00,$32430.00,$26966.00,$16306.00,16.20%,18.40%,24.80%,13.20%
Bridgewater,97.53%,0.93%,0.05%,0.71%,,0.11%,0.66%,0.49%,$80420.00,$94720.00,$61750.00,$40455.00,$42505.00,2.30%,4.10%,4.80%,0.80%
Bristol,87.74%,3.84%,0.19%,1.94%,0.02%,3.72%,2.54%,9.64%,$57610.00,,,,$30573.00,,10.50%,8.70%,5.90%
Broad Brook,91.76%,4.44%,,1.53%,,1.04%,1.24%,2.16%,$50417.00,$58138.00,$38222.00,$32250.00,$23244.00,3.50%,4.60%,4.00%,7.60%
Brookfield,95.29%,0.76%,0.07%,2.48%,,0.61%,0.79%,2.37%,$82706.00,$91296.00,$63396.00,$36318.00,$37063.00,1.20%,2.30%,2.40%,2.30%
Brooklyn,92.70%,2.90%,0.30%,1.10%,0.00%,1.80%,1.20%,4.00%,,,,,,,,,
Burlington,96.50%,0.60%,0.00%,1.50%,0.00%,0.50%,0.90%,2.60%,,,,,,,,,
Byram,,,,,,,,,,,,,,,,,
Canaan,97.04%,1.48%,,0.19%,0.09%,0.37%,0.83%,0.37%,$54688.00,$62500.00,$40438.00,$29219.00,$35841.00,3.00%,4.70%,5.60%,3.80%
Canaan (village),95.96%,1.48%,0.16%,0.39%,0.00%,0.78%,1.24%,4.11%,$30438.00,$44000.00,$31861.00,$23375.00,$18816.00,6.70%,5.20%,3.50%,6.20%
Cannondale,,,,,,,,,,,,,,,,,
Canterbury,97.34%,0.36%,0.28%,0.26%,0.02%,0.30%,1.45%,1.07%,$55547.00,$65095.00,$41521.00,$28672.00,$22317.00,3.50%,4.50%,4.20%,10.00%
Canton,95.70%,0.90%,0.30%,1.50%,0.00%,0.40%,1.20%,2.60%,,,,,,,,,
