,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty,,,,,,,,
Acacia Villas,,,,,,,,,,,,,,,,,,,,,,,,,
Alachua,67.56%,29.08%,0.15%,1.12%,,1.13%,0.97%,3.61%,$38,075.00,$49,542.00,$36,315.00,$28,018.00,$18,299.00,14.00%,16.00%,22.30%,11.60%,,,,,,,,
Alafaya,,,,,,,,,,,,,,,,,,,,,,,,,
Allentown,,,,,,,,,,,,,,,,,,,,,,,,,
Altamonte Springs,79.23%,9.72%,0.33%,2.94%,0.04%,4.79%,2.94%,15.93%,$41,578.00,$49,082.00,$34,413.00,$28,897.00,$23,216.00,5.60%,7.40%,9.50%,6.40%,,,,,,,,
Altha,99.50%,,,0.50%,,,,,,,,,,,,,,,,,,,,,
Altoona,98.86%,,,,,1.14%,,1.14%,$27,143.00,$58,750.00,$22,000.00,$40,417.00,$16,939.00,0.00%,0.00%,,,,,,,,,,
Alturas,,,,,,,,,,,,,,,,,,,,,,,,,
Alva,96.33%,0.18%,0.32%,0.18%,0.14%,1.24%,1.60%,2.89%,$41,938.00,$48,073.00,$35,300.00,$25,656.00,$24,353.00,5.90%,7.80%,15.40%,2.70%,,,,,,,,
Andrews, Levy County,97.32%,1.27%,0.71%,,,0.42%,0.28%,2.26%,$26,554.00,$29,279.00,$28,281.00,$20,588.00,$12,186.00,13.70%,18.20%,23.40%,23.60%,,,,,,,,
Anna Maria,98.18%,0.33%,0.11%,0.28%,,0.44%,0.66%,2.48%,$40,341.00,$51,628.00,$40,125.00,$24,934.00,$28,767.00,10.80%,10.50%,13.10%,14.70%,,,,,,,,
Apalachicola,63.41%,34.92%,0.17%,0.39%,,0.47%,0.64%,1.67%,$23,073.00,$28,464.00,$22,500.00,$18,750.00,$12,227.00,19.90%,25.30%,32.40%,15.00%,,,,,,,,
Apollo Beach,87.00%,6.00%,0.00%,2.00%,,3.00%,2.00%,14.00%,,,,,,,,,,,,,,,,,
Apopka,73.85%,15.56%,0.42%,1.89%,0.09%,5.36%,2.83%,18.08%,$43,651.00,$49,380.00,$32,177.00,$26,553.00,$19,189.00,7.10%,9.50%,12.60%,9.70%,,,,,,,,
Arcadia,42.11%,28.09%,0.38%,0.82%,0.02%,7.18%,1.41%,20.05%,$25,025.00,$29,593.00,$22,518.00,$18,666.00,$11,893.00,20.20%,25.90%,34.10%,8.20%,,,,,,,,
Archer,60.74%,37.63%,0.23%,0.16%,,,1.24%,2.25%,$27,875.00,$35,278.00,$26,591.00,$21,613.00,$12,345.00,19.30%,21.60%,30.00%,20.00%,,,,,,,,
Aripeka,,,,,,,,,,,,,,,,,,,,,,,,,
Asbury Lake,88.80%,5.70%,0.50%,1.30%,,1.10%,2.40%,7.00%,$65,476.00,$70,278.00,$47,000.00,$30,167.00,$26,398.00,4.20%,3.80%,2.20%,4.90%,,,,,,,,
Astatula,84.36%,1.23%,0.54%,0.31%,,10.48%,3.08%,19.41%,$31,625.00,$33,393.00,$26,602.00,$20,313.00,$15,832.00,6.80%,8.00%,9.60%,4.90%,,,,,,,,
Astor,96.97%,0.67%,0.81%,,0.07%,1.21%,0.27%,9.15%,$31,284.00,$31,786.00,$22,074.00,$20,949.00,$14,467.00,9.20%,12.50%,15.30%,6.70%,,,,,,,,
Atlantic Beach,82.23%,12.69%,0.26%,2.09%,0.03%,1.12%,1.58%,4.18%,$48,353.00,$53,854.00,$37,438.00,$27,321.00,$28,618.00,5.70%,8.80%,14.30%,5.80%,,,,,,,,
Atlantis,97.11%,0.50%,,32.00%,,0.20%,0.20%,2.59%,$71,019.00,$82,807.00,$38,906.00,$47,188.00,$47,614.00,4.80%,4.00%,0.00%,3.80%,,,,,,,,
Auburndale,81.13%,12.26%,0.26%,0.88%,0.05%,3.46%,1.96%,8.10%,$34,184.00,$36,303.00,$30,468.00,$21,232.00,$15,510.00,13.40%,17.30%,28.30%,7.60%,,,,,,,,
Aucilla,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,,,,,,,,,,,,,,,,,,,,,,,,,
Avon Park,58.90%,29.20%,0.32%,0.69%,0.05%,8.35%,2.28%,18.71%,,,,,,,,,,,,,,,,,
Azalea Park,70.23%,6.75%,0.50%,3.60%,0.07%,14.55%,4.30%,38.97%,$32,841.00,$40,057.00,$26,385.00,$21,445.00,$14,136.00,8.90%,11.50%,12.60%,8.40%,,,,,,,,
Babson Park,77.92%,16.92%,,1.44%,,2.88%,0.85%,7.11%,$28,487.00,$34,444.00,$30,625.00,$18,875.00,$11,912.00,9.20%,10.30%,8.00%,15.90%,,,,,,,,
