,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty,,,,,,,,
Abbeville,41.04%,58.40%,,,,0.17%,0.39%,0.39%,$21,193.00,$23,750.00,$27,183.00,$19,107.00,$10,029.00,28.50%,31.70%,46.70%,22.00%,,,,,,,,
Acworth,79.70%,12.60%,0.20%,2.30%,0.02%,3.20%,2.00%,6.05%,$50,918.00,$55,163.00,$40,516.00,$30,649.00,$21,956.00,6.20%,8.30%,11.20%,16.50%,,,,,,,,
Adairsville,72.60%,22.50%,0.30%,1.40%,,1.50%,1.70%,2.00%,$71,214.00,$74,828.00,$31,123.00,$21,899.00,$14,828.00,16.40%,18.90%,24.40%,22.10%,,,,,,,,
Adel,47.97%,48.92%,0.08%,0.75%,0.09%,1.43%,0.75%,3.79%,$23,908.00,$27,318.00,$25,927.00,$19,688.00,$13,425.00,23.50%,27.40%,36.60%,29.20%,,,,,,,,
Adrian,69.08%,30.57%,0.17%,,,0.17%,,0.69%,$18,281.00,$28,750.00,$26,607.00,$21,071.00,$11,359.00,21.40%,28.20%,46.10%,21.70%,,,,,,,,
Ailey,60.66%,36.29%,,0.51%,0.25%,1.78%,0.51%,1.78%,$36,125.00,$39,000.00,$30,694.00,$30,000.00,$21,926.00,19.80%,22.10%,43.80%,20.00%,,,,,,,,
Alamo,46.37%,52.60%,,,,0.57%,0.46%,0.93%,$25,000.00,$30,125.00,$25,921.00,$20,208.00,$8,147.00,24.90%,24.80%,30.40%,25.60%,,,,,,,,
Alapaha,36.36%,62.76%,0.15%,,,,0.73%,,$22,422.00,$27,679.00,$26,250.00,$18,800.00,$11,925.00,21.50%,21.30%,31.60%,33.30%,,,,,,,,
Albany,25.20%,71.60%,0.20%,0.80%,0.10%,0.90%,1.10%,2.10%,,,,,,,,,,,,,,,,,
Aldora,100.00%,,,,,,,,$22,083.00,$22,083.00,$20,625.00,$19,583.00,$10,693.00,10.70%,11.80%,25.00%,16.70%,,,,,,,,
Allenhurst,49.87%,44.16%,0.51%,0.63%,0.25%,1.27%,3.30%,5.20%,$38,750.00,$40,536.00,$25,972.00,$19,688.00,$14,501.00,12.20%,12.50%,15.80%,0.00%,,,,,,,,
Allentown,64.46%,35.19%,,,,,0.40%,0.70%,$31,500.00,$52,969.00,$41,875.00,$26,250.00,$16,475.00,16.40%,19.50%,23.20%,30.20%,,,,,,,,
Alma,57.97%,38.57%,0.09%,0.49%,,1.89%,0.99%,4.42%,$20,324.00,$21,941.00,$25,362.00,$15,583.00,$11,574.00,27.60%,32.30%,48.70%,24.20%,,,,,,,,
Alpharetta,,,,,,,,,$95,888.00,$111,918.00,$79,275.00,$59,935.00,$42,431.00,2.90%,1.20%,0.30%,0.60%,,,,,,,,
Alston,,,,,,,,,$41,250.00,$48,500.00,$33,750.00,$23,750.00,$18,110.00,4.00%,4.50%,0.00%,6.30%,,,,,,,,
Alto,79.22%,3.08%,0.34%,5.94%,,9.02%,2.40%,20.09%,$30,750.00,$36,094.00,$23,393.00,$18,571.00,$11,434.00,11.20%,15.60%,12.20%,15.60%,,,,,,,,
Ambrose,54.06%,25.00%,1.56%,,,15.62%,3.75%,25.62%,$22,206.00,$26,250.00,$21,000.00,$20,000.00,$11,684.00,16.70%,23.30%,29.60%,43.80%,,,,,,,,
Americus,39.05%,58.26%,0.23%,0.86%,0.01%,0.90%,0.69%,2.49%,$26,808.00,$32,132.00,$27,055.00,$20,169.00,$14,168.00,23.40%,27.70%,44.10%,19.80%,,,,,,,,
Andersonville,65.26%,34.74%,,,,,,1.21%,$29,107.00,$30,972.00,$26,591.00,$20,000.00,$15,168.00,19.80%,23.00%,29.30%,13.50%,,,,,,,,
Appling County,73.40%,18.60%,0.40%,0.70%,0.10%,5.70%,1.10%,9.30%,$36,155.00,$46,005.00,$34,757.00,$23,829.00,$18,977.00,16.60%,22.20%,39.00%,13.00%,,,,,,,,
Arabi,74.78%,24.34%,,0.88%,,,,,$24,327.00,$26,750.00,$27,321.00,$13,281.00,$11,157.00,13.10%,19.90%,26.40%,20.00%,,,,,,,,
Aragon,97.21%,0.67%,0.87%,0.10%,,0.38%,0.77%,1.73%,$31,053.00,$39,167.00,$28,250.00,$21,406.00,$15,084.00,11.00%,17.50%,22.90%,11.10%,,,,,,,,
Arcade,88.37%,7.18%,0.06%,2.31%,,0.67%,1.40%,1.70%,$37,604.00,$37,750.00,$31,914.00,$21,602.00,$15,159.00,11.90%,12.40%,14.80%,12.50%,,,,,,,,
Argyle,73.51%,19.87%,2.65%,,,,3.97%,2.65%,$26,250.00,$30,250.00,$25,000.00,$16,250.00,$7,672.00,37.80%,32.50%,49.00%,0.00%,,,,,,,,
Arlington,29.03%,69.91%,0.12%,0.19%,,0.44%,0.31%,1.44%,$22,311.00,$25,188.00,$22,096.00,$15,231.00,$11,985.00,30.10%,34.40%,49.60%,28.90%,,,,,,,,
Arnoldsville,96.47%,1.60%,,0.32%,,0.96%,0.64%,1.92%,$32,750.00,$42,083.00,$32,917.00,$21,667.00,$17,652.00,9.90%,12.30%,18.90%,20.70%,,,,,,,,
Ashburn,32.59%,65.22%,0.09%,0.23%,,1.65%,0.23%,2.67%,$18,702.00,$21,481.00,$22,328.00,$16,269.00,$10,786.00,29.60%,38.10%,53.60%,29.30%,,,,,,,,
Athens,64.71%,27.37%,0.21%,3.15%,0.04%,3.11%,1.41%,6.39%,$28,118.00,$41,407.00,$30,359.00,$23,039.00,$17,103.00,15.00%,28.60%,25.20%,13.50%,,,,,,,,
Atkinson County,62.20%,17.30%,0.60%,0.30%,0.30%,17.70%,1.60%,24.30%,$33,834.00,$34,859.00,$29,286.00,$25,705.00,$15,456.00,19.80%,28.00%,42.40%,21.30%,,,,,,,,
Attapulgus,43.09%,50.00%,0.41%,,,4.07%,2.44%,7.93%,$25,625.00,$29,167.00,$23,750.00,$16,477.00,$11,204.00,16.70%,26.00%,45.90%,12.70%,,,,,,,,
Auburn,88.80%,2.64%,0.30%,4.17%,0.06%,2.23%,1.80%,4.35%,$51,346.00,$52,695.00,$37,392.00,$24,381.00,$20,023.00,3.60%,5.20%,7.10%,0.00%,,,,,,,,
Augusta,39.10%,54.70%,0.30%,1.70%,0.20%,1.30%,2.60%,4.10%,,,,,,,,,,,,,,,,,
Austell,29.40%,54.60%,0.20%,1.50%,0.10%,0.30%,2.00%,11.90%,$38,933.00,$39,635.00,$31,750.00,$22,944.00,$15,924.00,11.00%,12.80%,13.00%,8.80%,,,,,,,,
Avalon,91.73%,7.91%,,0.36%,,,,2.52%,$31,000.00,$35,625.00,$29,500.00,$16,042.00,$13,701.00,16.00%,15.10%,14.30%,38.70%,,,,,,,,
Avera,88.48%,10.60%,,,,0.46%,0.46%,0.46%,$28,229.00,$35,208.00,$26,667.00,$20,938.00,$14,613.00,8.20%,6.50%,0.00%,0.00%,,,,,,,,
Bacon County,78.60%,15.40%,0.20%,0.30%,0.10%,4.10%,1.30%,7.10%,$31,429.00,$45,442.00,$35,102.00,$25,384.00,$17,110.00,11.60%,16.50%,18.80%,16.80%,,,,,,,,
Baconton,37.56%,59.83%,0.87%,,0.12%,0.50%,1.12%,1.12%,$22,917.00,$25,714.00,$22,063.00,$15,978.00,$9,964.00,29.40%,31.20%,51.40%,17.60%,,,,,,,,
Bainbridge,47.48%,50.34%,0.12%,0.64%,0.02%,0.78%,0.61%,2.00%,$24,869.00,$30,557.00,$28,918.00,$21,518.00,$15,589.00,24.00%,26.90%,41.10%,18.90%,,,,,,,,
Baker County,48.50%,46.70%,0.30%,0.70%,0.10%,2.50%,1.20%,4.20%,$27,462.00,$42,585.00,$25,954.00,$25,688.00,$16,379.00,23.10%,30.00%,49.10%,5.60%,,,,,,,,
Baldwin,83.22%,3.71%,0.33%,2.43%,0.82%,6.89%,2.60%,25.86%,$29,299.00,$33,011.00,$25,409.00,$21,823.00,$14,059.00,20.00%,26.40%,32.50%,33.80%,,,,,,,,
Baldwin County,54.90%,41.50%,0.20%,1.30%,,0.80%,1.20%,2.00%,$37,237.00,$47,714.00,$36,158.00,$26,576.00,$17,488.00,16.80%,25.20%,31.60%,10.80%,,,,,,,,
Ball Ground,97.40%,0.70%,,0.30%,,,,1.50%,$45,875.00,$51,429.00,$39,125.00,$27,361.00,$18,147.00,6.70%,12.20%,20.20%,12.50%,,,,,,,,
Banks County,91.70%,2.30%,0.30%,0.90%,,3.30%,1.40%,5.70%,$40,455.00,$48,606.00,$41,444.00,$26,998.00,$19,497.00,13.00%,15.90%,15.90%,16.60%,,,,,,,,
Barnesville,48.11%,49.87%,0.15%,0.33%,0.03%,0.57%,0.94%,1.69%,$30,375.00,$36,492.00,$26,740.00,$20,160.00,$15,423.00,16.10%,20.30%,31.50%,15.60%,,,,,,,,
Barrow County,78.80%,11.40%,0.30%,3.40%,0.10%,3.70%,2.30%,8.70%,$48,958.00,$55,415.00,$42,869.00,$33,175.00,$20,882.00,9.40%,12.60%,16.00%,14.20%,,,,,,,,
Bartow,40.36%,59.64%,,,,,,1.35%,$23,750.00,$31,250.00,$32,083.00,$16,667.00,$11,873.00,25.40%,30.00%,44.90%,22.90%,,,,,,,,
Bartow County,82.70%,10.20%,0.40%,0.70%,0.10%,3.80%,2.10%,7.70%,$49,216.00,$56,281.00,$42,835.00,$31,225.00,$22,241.00,10.80%,14.00%,18.90%,12.10%,,,,,,,,
Barwick,47.07%,49.77%,,0.90%,,1.80%,0.45%,3.38%,$19,000.00,$21,250.00,$26,806.00,$20,000.00,$11,091.00,41.70%,42.30%,63.00%,24.60%,,,,,,,,
Baxley,57.28%,37.93%,0.22%,0.60%,,3.16%,0.82%,7.23%,$24,441.00,$30,648.00,$28,087.00,$16,250.00,$14,321.00,21.60%,24.40%,31.00%,26.30%,,,,,,,,
Bellville,93.08%,5.38%,,1.54%,,,,6.92%,$57,708.00,$60,000.00,$32,083.00,$28,750.00,$19,414.00,0.00%,5.40%,0.00%,35.30%,,,,,,,,
Belvedere Park,13.16%,82.38%,0.18%,0.94%,0.02%,1.69%,1.62%,3.48%,$36,144.00,$37,207.00,$29,134.00,$26,323.00,$15,524.00,14.10%,16.70%,23.40%,11.30%,,,,,,,,
Ben Hill County,59.20%,34.60%,0.30%,0.70%,,3.80%,1.30%,5.80%,$30,134.00,$35,868.00,$32,613.00,$23,320.00,$15,529.00,22.70%,26.90%,39.00%,16.30%,,,,,,,,
Berkeley Lake,75.50%,5.70%,0.10%,14.30%,,1.30%,3.10%,3.60%,,,,,,,,,,,,,,,,,
Berlin,64.87%,11.93%,,1.68%,,19.66%,1.85%,24.87%,$33,438.00,$39,167.00,$37,500.00,$20,536.00,$15,461.00,9.10%,12.60%,9.30%,29.20%,,,,,,,,
Berrien County,84.70%,10.70%,0.30%,0.40%,,2.60%,1.30%,4.60%,$32,202.00,$40,869.00,$30,847.00,$22,277.00,$16,049.00,18.20%,23.10%,32.80%,17.10%,,,,,,,,
