,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Aberdeen,66.30%,0.11%,0.71%,0.33%,0.05%,28.91%,3.59%,39.29%,$28,625.00,$31,393.00,$27,537.00,$19,531.00,$10,907.00,14.90%,20.50%,27.00%,14.20%
Acequia,58.33%,0.69%,0.69%,0.69%,,38.89%,0.69%,43.06%,$26,563.00,$24,375.00,$22,500.00,$13,125.00,$10,430.00,17.10%,23.70%,40.80%,0.00%
Ada County,90.30%,1.10%,0.70%,2.40%,0.20%,2.40%,2.80%,7.10%,$55,835.00,$67,519.00,$48,290.00,$34,875.00,$27,915.00,6.90%,10.20%,11.80%,6.80%
Adams County,96.10%,0.10%,8.50%,0.40%,0.10%,0.70%,1.70%,2.40%,$36,004.00,$45,590.00,$31,050.00,$26,413.00,$22,730.00,8.80%,12.40%,13.50%,13.50%
Albion,99.24%,,,,,0.76%,,2.67%,$42,375.00,$40,000.00,$43,125.00,$23,750.00,$24,259.00,10.30%,10.20%,12.90%,4.20%
American Falls,81.56%,0.15%,1.00%,0.41%,0.02%,15.15%,1.70%,27.83%,$30,955.00,$35,435.00,$27,317.00,$21,209.00,$12,891.00,12.70%,17.30%,19.00%,16.30%
Ammon,94.10%,0.50%,0.50%,0.80%,0.10%,2.20%,1.80%,6.40%,$47,820.00,$51,544.00,$41,126.00,$21,301.00,$16,535.00,3.40%,5.60%,5.00%,9.60%
Arbon Valley,87.40%,0.16%,4.63%,0.80%,,4.78%,2.23%,10.37%,$36,818.00,$39,500.00,$31,484.00,$17,500.00,$13,646.00,8.00%,13.50%,21.60%,10.80%
Arco,95.13%,0.49%,1.36%,,,1.75%,1.27%,3.61%,$27,993.00,$34,688.00,$34,688.00,$17,386.00,$14,744.00,19.60%,22.60%,33.80%,15.80%
Arimo,96.55%,,,0.57%,,0.29%,2.59%,1.44%,$33,500.00,$41,944.00,$31,406.00,$19,688.00,$10,312.00,7.90%,12.60%,16.00%,6.30%
Ashton,86.71%,0.44%,0.53%,0.09%,,11.43%,0.80%,13.91%,$30,282.00,$35,515.00,$27,273.00,$22,000.00,$13,731.00,13.70%,19.70%,28.20%,12.80%
Athol,97.00%,,0.90%,,,,2.20%,0.30%,,,,,,,,,
Atomic City,96.60%,,3.40%,,,,,3.40%,$9,375.00,$8,750.00,$43,750.00,$8,750.00,$16,276.00,62.50%,57.10%,0.00%,50.00%
Bancroft,98.69%,0.26%,0.52%,,,0.52%,,0.79%,$26,458.00,$43,125.00,$46,250.00,$20,750.00,$12,549.00,9.70%,15.80%,22.30%,21.50%
Banks,,,,,,,,,,,,,,,,,
Bannock County,89.80%,0.80%,3.20%,1.30%,0.20%,2.10%,2.70%,6.70%,$44,848.00,$54,650.00,$43,538.00,$28,870.00,$21,275.00,10.60%,14.00%,16.60%,4.20%
Basalt,84.96%,,4.77%,,,8.35%,1.91%,14.80%,$36,719.00,$38,542.00,$28,750.00,$21,250.00,$13,185.00,7.10%,10.90%,16.10%,7.10%
Bear Lake County,96.30%,0.10%,0.50%,0.40%,,1.60%,1.10%,3.60%,$43,374.00,$47,092.00,$39,023.00,$26,417.00,$19,284.00,11.20%,13.90%,14.10%,12.00%
Bellevue,86.57%,0.05%,0.11%,0.96%,0.05%,11.14%,1.12%,19.35%,$45,438.00,$49,276.00,$33,056.00,$24,583.00,$19,094.00,6.70%,7.80%,9.20%,8.10%
Benewah County,86.60%,0.30%,8.70%,0.30%,0.10%,0.50%,3.60%,2.50%,$37,500.00,$41,759.00,$37,214.00,$22,348.00,$18,312.00,11.20%,15.20%,21.60%,5.60%
Bennington,,,,,,,,,,,,,,,,,
Bingham County,80.60%,0.20%,6.50%,0.60%,0.10%,9.80%,2.10%,17.20%,$44,128.00,$51,750.00,$39,703.00,$25,815.00,$18,633.00,13.20%,14.70%,18.40%,10.50%
Blackfoot,86.76%,0.21%,2.51%,1.09%,0.03%,6.33%,3.06%,13.17%,,,,,,,,,
Blaine County,84.90%,0.20%,0.60%,0.90%,0.10%,11.80%,1.50%,20.00%,$61,854.00,$73,929.00,$48,036.00,$37,603.00,$32,656.00,4.90%,9.30%,10.90%,8.20%
Blanchard,,,,,,,,,,,,,,,,,
Bliss,72.30%,,0.30%,2.20%,,23.60%,1.60%,34.60%,,,,,,,,,
Bloomington,97.21%,,2.79%,,,,,2.39%,$34,750.00,$40,625.00,$33,125.00,$13,750.00,$13,866.00,4.20%,2.80%,0.00%,0.00%
Boise County,95.40%,0.20%,0.80%,0.40%,0.10%,0.80%,2.30%,3.50%,$48,789.00,$60,042.00,$48,676.00,$36,919.00,$24,288.00,8.90%,16.30%,23.40%,9.60%
Boise,89.00%,1.50%,0.70%,3.20%,0.20%,2.50%,3.00%,7.10%,,,,,,,,,
Bonner County,96.00%,0.10%,1.00%,0.50%,0.10%,0.40%,2.10%,2.20%,$41,943.00,$51,377.00,$40,076.00,$30,829.00,$24,745.00,10.10%,14.30%,22.30%,6.70%
Bonners Ferry,95.67%,0.04%,1.59%,0.52%,,1.31%,0.87%,4.29%,$24,509.00,$35,237.00,$28,558.00,$16,776.00,$13,343.00,17.30%,20.00%,28.60%,10.90%
Bonneville County,90.60%,0.60%,0.80%,0.80%,0.10%,5.10%,2.10%,11.40%,$50,445.00,$58,346.00,$46,498.00,$29,008.00,$23,218.00,8.10%,11.00%,13.90%,6.60%
Boundary County,94.80%,0.30%,1.70%,0.60%,0.10%,0.50%,2.10%,3.70%,$37,712.00,$43,562.00,$36,125.00,$26,076.00,$18,011.00,15.70%,18.80%,22.00%,13.40%
Bovill,96.07%,,0.33%,0.98%,,0.33%,2.30%,2.95%,$36,875.00,$41,827.00,$33,750.00,$21,875.00,$12,471.00,14.10%,18.10%,24.00%,0.00%
Buhl,86.80%,0.03%,0.75%,0.73%,0.03%,9.16%,2.51%,15.76%,$28,644.00,$34,242.00,$26,069.00,$17,069.00,$13,539.00,9.60%,14.30%,17.60%,11.20%
Burley,77.96%,0.21%,1.30%,0.46%,0.08%,17.15%,2.83%,26.71%,$27,981.00,$33,376.00,$26,865.00,$17,304.00,$12,689.00,15.20%,18.40%,25.10%,10.70%
Butte City,90.79%,,1.32%,2.63%,,5.26%,,10.53%,$17,250.00,$31,250.00,$35,625.00,$22,500.00,$11,889.00,,30.70%,45.80%,0.00%
Butte County,95.50%,0.20%,0.40%,0.20%,0.20%,2.00%,1.50%,4.10%,$39,413.00,$47,225.00,$42,500.00,$26,563.00,$20,414.00,9.00%,13.80%,17.20%,5.00%
Caldwell,77.50%,0.60%,1.20%,0.90%,0.10%,16.10%,3.60%,35.40%,$37,336.00,,,,$15,731.00,,20.20%,,
Camas County,94.10%,0.30%,0.50%,0.10%,,1.80%,3.20%,6.70%,$44,145.00,$43,092.00,$39,022.00,$25,938.00,$19,659.00,14.10%,16.30%,28.00%,4.00%
Cambridge,98.33%,,0.28%,,,0.83%,0.56%,,$22,386.00,$31,111.00,$25,000.00,$15,000.00,$14,475.00,7.80%,10.90%,12.90%,7.00%
