,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Aberdeen, Porter County,,,,,,,,,,,,,,,,,
Adams County,97.00%,0.30%,0.20%,0.20%,,1.40%,0.90%,4.10%,$47,697.00,$53,106.00,$40,133.00,$29,907.00,$19,089.00,11.80%,16.30%,26.90%,7.70%
Alexandria,98.10%,0.46%,0.08%,0.11%,0.02%,0.43%,0.80%,0.99%,$35,359.00,$42,731.00,$30,529.00,$23,384.00,$15,578.00,4.20%,7.00%,4.10%,15.00%
Allen County,79.30%,11.70%,0.40%,2.70%,0.10%,2.90%,2.90%,6.50%,$47,697.00,$60,184.00,$45,294.00,$33,685.00,$24,532.00,9.10%,12.30%,17.40%,5.80%
Americus,,,,,,,,,,,,,,,,,
Anderson,81.99%,14.88%,0.31%,0.49%,0.02%,0.86%,1.45%,2.07%,,,,,,,,,
Angola,94.00%,0.82%,0.44%,1.23%,0.04%,1.92%,1.57%,3.89%,$34,925.00,$43,848.00,$32,031.00,$23,258.00,$16,750.00,8.10%,10.50%,6.50%,13.20%
Arlington, Rush County,,,,,,,,,,,,,,,,,
Attica,97.80%,0.10%,0.20%,0.30%,,0.60%,1.00%,2.40%,$34,804.00,$52,669.00,$45,682.00,$24,574.00,$21,287.00,13.30%,16.30%,26.00%,13.90%
Auburn,97.71%,0.35%,0.10%,0.41%,0.02%,0.61%,0.80%,1.75%,$42,762.00,$52,687.00,$38,007.00,$24,414.00,$20,945.00,2.90%,5.20%,3.40%,7.50%
Aurora,98.59%,0.10%,0.33%,0.15%,,0.25%,0.58%,0.61%,$32,500.00,$39,331.00,$32,058.00,$24,671.00,$16,587.00,9.40%,10.40%,11.30%,12.30%
Austin,98.20%,0.06%,0.15%,0.19%,,0.78%,0.61%,1.52%,$28,495.00,$33,267.00,$28,468.00,$21,580.00,$12,431.00,16.60%,19.10%,29.00%,15.60%
Avoca,,,,,,,,,,,,,,,,,
Bartholomew County,89.60%,1.80%,0.30%,3.40%,0.10%,3.20%,1.60%,6.20%,$47,697.00,$64,024.00,$50,358.00,$32,334.00,$26,860.00,7.70%,10.40%,15.80%,5.30%
Bass Lake,98.40%,,0.08%,0.24%,,0.48%,0.80%,1.12%,$42,440.00,$47,361.00,$37,159.00,$19,318.00,$19,407.00,10.60%,14.70%,35.40%,5.50%
Batesville,97.00%,0.02%,0.10%,1.10%,,0.90%,0.60%,1.20%,$50,115.00,$58,590.00,$38,862.00,$29,127.00,$21,892.00,2.40%,3.50%,1.10%,6.90%
Bedford,98.87%,0.79%,0.28%,0.48%,0.01%,0.70%,0.88%,1.26%,$31,022.00,$39,462.00,$31,956.00,$22,578.00,$17,649.00,7.40%,11.50%,12.80%,8.60%
Beech Grove,96.24%,0.89%,0.19%,0.81%,0.05%,0.78%,1.04%,2.07%,$41,548.00,$46,944.00,$37,500.00,$26,135.00,$19,647.00,4.40%,6.10%,3.10%,9.50%
Benton County,95.90%,0.50%,0.10%,0.20%,,2.20%,1.10%,4.90%,$47,697.00,$58,661.00,$40,234.00,$27,957.00,$21,949.00,7.60%,10.00%,13.60%,5.40%
Berne,97.64%,0.07%,0.07%,0.22%,0.05%,1.04%,0.92%,1.90%,$35,491.00,$45,670.00,$31,565.00,$21,563.00,$17,394.00,1.40%,3.60%,2.50%,6.10%
Bicknell,98.13%,0.40%,0.20%,0.15%,0.12%,0.06%,0.89%,0.25%,$23,046.00,$32,935.00,$31,487.00,$58,162.00,$13,027.00,18.50%,26.30%,38.40%,21.00%
Blackford County,97.70%,0.40%,0.20%,0.10%,,0.30%,1.30%,0.90%,,,,,,,,,
Blanford,,,,,,,,,,,,,,,,,
Bloomington,87.03%,4.24%,0.29%,5.26%,0.07%,1.10%,2.01%,2.49%,$25,377.00,$50,054.00,$32,470.00,$26,100.00,$16,481.00,10.30%,29.60%,17.30%,7.60%
Bluffton,97.65%,0.34%,0.22%,0.24%,0.07%,0.79%,0.69%,2.35%,$37,416.00,$45,294.00,$33,088.00,$22,018.00,$19,118.00,6.40%,9.00%,12.80%,10.30%
Boone County,95.30%,0.90%,0.20%,1.70%,,0.70%,1.40%,2.20%,$47,697.00,$81,401.00,$57,251.00,$41,309.00,$38,696.00,6.10%,7.10%,8.60%,5.60%
Boonville,98.51%,0.64%,0.20%,0.12%,0.01%,0.03%,0.48%,0.44%,$34,913.00,$42,096.00,$32,264.00,$22,227.00,$15,869.00,6.50%,9.20%,14.10%,7.30%
Brazil,97.80%,0.64%,0.37%,0.17%,0.02%,0.28%,0.72%,0.61%,$30,902.00,$37,569.00,$29,693.00,$20,215.00,$15,123.00,10.70%,13.20%,18.50%,12.80%
Bright,98.43%,0.41%,0.11%,0.09%,,0.30%,0.67%,0.63%,$63,813.00,$66,639.00,$41,923.00,$27,917.00,$22,401.00,1.60%,1.70%,1.80%,2.60%
Brown County,97.60%,0.30%,0.30%,0.30%,,0.30%,1.10%,1.20%,$47,697.00,$56,911.00,$42,269.00,$30,175.00,$24,312.00,9.00%,10.80%,17.20%,6.50%
Brownsburg,97.44%,0.32%,0.17%,0.78%,0.08%,0.35%,0.86%,1.18%,$63,629.00,$74,245.00,$56,240.00,$38,685.00,$33,196.00,1.50%,2.30%,1.30%,4.40%
Buck Creek,,,,,,,,,,,,,,,,,
Buffalo,98.96%,,,,,0.89%,0.15%,2.38%,$29,583.00,$40,446.00,$29,609.00,$14,423.00,$15,062.00,3.70%,10.50%,13.40%,9.80%
Burns City,,,,,,,,,,,,,,,,,
Butler,97.69%,0.15%,0.18%,0.11%,,1.25%,0.62%,2.24%,$37,250.00,$42,188.00,$32,361.00,$21,404.00,$15,040.00,5.50%,9.70%,11.70%,14.10%
Butlerville,,,,,,,,,,,,,,,,,
Canaan,,,,,,,,,,,,,,,,,
Cannelton,98.01%,0.08%,0.33%,0.08%,,0.50%,0.99%,0.58%,$27,361.00,$37,188.00,$26,940.00,$20,174.00,$13,578.00,14.90%,16.00%,21.10%,5.90%
Carmel,85.40%,3.00%,0.20%,8.90%,,0.70%,1.80%,2.50%,,,,,,,,,
Carroll County,96.80%,0.20%,0.20%,0.10%,,1.70%,1.00%,3.50%,$47,697.00,$60,420.00,$46,241.00,$29,541.00,$23,163.00,6.10%,9.40%,11.00%,8.30%
Cass County,88.20%,1.50%,0.50%,1.10%,0.10%,7.00%,1.60%,12.60%,$47,697.00,$49,873.00,$37,823.00,$26,938.00,$20,562.00,9.80%,14.00%,18.70%,8.00%
Charlestown,92.91%,2.47%,0.27%,0.17%,0.07%,2.77%,1.35%,5.32%,$28,238.00,$35,592.00,$27,240.00,$21,901.00,$13,892.00,15.80%,19.20%,23.80%,17.80%
Clark County,87.10%,6.90%,0.30%,0.80%,,2.60%,2.20%,4.90%,$47,697.00,$58,090.00,$43,053.00,$32,361.00,$23,592.00,9.00%,11.80%,17.90%,7.50%
Clarksburg,,,,,,,,,,,,,,,,,
Clarksville,90.56%,5.59%,0.27%,0.93%,0.03%,1.08%,1.53%,2.80%,$35,473.00,$44,688.00,$30,860.00,$23,329.00,$20,315.00,5.60%,8.10%,10.50%,6.70%
Clay County,97.80%,0.30%,0.20%,0.20%,,0.50%,0.90%,1.10%,$47,697.00,$52,907.00,$40,671.00,$31,331.00,$20,569.00,9.00%,12.50%,21.90%,6.70%
Clinton,98.15%,0.35%,0.37%,0.08%,,0.16%,0.90%,0.68%,$29,330.00,$36,692.00,$28,294.00,$22,927.00,$14,601.00,7.40%,12.50%,11.30%,20.00%
Clinton County,91.00%,0.40%,0.20%,0.20%,,6.80%,1.30%,13.20%,$47,697.00,$57,445.00,$42,009.00,$29,086.00,$21,131.00,7.50%,11.70%,17.00%,6.40%
Coalmont,,,,,,,,,,,,,,,,,
Colburn,,,,,,,,,,,,,,,,,
Collegeville,93.29%,4.16%,,0.35%,,0.92%,1.27%,4.62%,$44,821.00,$51,071.00,$53,542.00,$18,382.00,$8,587.00,15.40%,19.50%,39.60%,0.00%
Columbia City,98.11%,0.32%,0.44%,0.08%,0.03%,0.34%,0.68%,1.20%,$36,112.00,$47,357.00,$34,803.00,$21,740.00,$19,296.00,4.50%,6.40%,5.80%,9.80%
