,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Adair County,96.00%,2.55%,0.22%,0.26%,0.02%,0.19%,0.76%,0.77%,$24,055.00,$29,779.00,$23,183.00,$17,009.00,$14,931.00,18.20%,24.00%,29.60%,21.70%
Adairville,79.13%,18.70%,0.43%,,,0.87%,0.87%,2.61%,$27,266.00,$40,139.00,$26,618.00,$20,568.00,$15,490.00,9.60%,13.90%,14.90%,21.10%
Albany,98.38%,0.05%,0.14%,0.05%,0.50%,0.18%,0.72%,3.11%,$14,558.00,$22,652.00,$21,389.00,$16,685.00,$12,919.00,28.90%,35.90%,49.80%,36.50%
Alexandria,98.82%,0.02%,0.02%,0.46%,,0.34%,0.34%,0.76%,$55,409.00,$62,392.00,$42,002.00,$30,766.00,$22,001.00,2.50%,4.00%,3.20%,8.60%
Allen,99.48%,0.00%,0.00%,0.00%,,,0.52%,0.00%,$45,104.00,$26,875.00,,,$13,247.00,19.70%,,,
Allen County,97.62%,1.07%,0.16%,0.12%,0.01%,0.36%,0.66%,0.83%,$31,238.00,$36,815.00,$27,587.00,$22,659.00,$14,506.00,13.20%,17.30%,23.40%,20.40%
Anchorage,97.13%,0.84%,,1.33%,,0.27%,0.44%,0.75%,$133,969.00,$147,050.00,$100,000.00,$47,188.00,$63,988.00,1.10%,1.87%,1.20%,2.50%
Anderson County,96.53%,2.35%,0.12%,0.12%,0.01%,0.17%,0.70%,0.80%,,,,,,,,,
Arlington,95.19%,4.56%,,,,,0.25%,1.01%,$17,813.00,$28,750.00,$17,396.00,$15,833.00,$13,561.00,24.10%,29.30%,41.50%,33.70%
Ashland,95.84%,2.30%,0.12%,0.39%,0.01%,0.22%,1.12%,0.59%,$30,309.00,$40,131.00,$35,362.00,$23,994.00,$19,218.00,14.00%,18.40%,28.30%,12.30%
Auburn,90.86%,6.86%,0.14%,0.14%,,,2.01%,0.69%,$30,500.00,$38,173.00,$28,365.00,$20,000.00,$14,779.00,11.30%,15.10%,17.30%,18.90%
Audubon Park,98.19%,0.26%,0.06%,0.45%,0.00%,0.13%,0.91%,0.52%,$60,000.00,$75,520.00,$51,167.00,$32,679.00,$31,162.00,3.70%,5.10%,3.90%,7.80%
Augusta,97.51%,1.25%,,,0.17%,0.33%,0.75%,0.58%,$28,333.00,$34,167.00,$27,500.00,$22,188.00,$14,450.00,15.40%,16.80%,18.90%,18.50%
Ballard County,95.32%,2.87%,0.08%,0.18%,0.02%,0.08%,1.44%,0.63%,$32,130.00,$41,386.00,$32,345.00,$20,902.00,$19,035.00,10.70%,13.60%,19.30%,15.40%
