City,State,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Birmingham,Alabama,,,,,,,,,,,,99,36,36,34,35,34,36,48,50,60,72,98
Mobile,Alabama,,,,,80,30,32,27,39,68,97,98,,,,,78,58,68,72,79,94,
Montgomery,Alabama,,,,,,,75,,,,,,,,,,,90,,76,86,89,
Anchorage,Alaska,,,,,,,,,,,,,,,,,,,,78,69,66,65
Chandler,Arizona,,,,,,,,,,,,,,,,,,,,,,,81
Glendale,Arizona,,,,,,,,,,,,,,,,,,,,,,81,89
Mesa,Arizona,,,,,,,,,,,,,,,,,,,,,53,43,38
Phoenix,Arizona,,,,,,,,,,,,,,,,,99,29,20,9,9,6,6
Scottsdale,Arizona,,,,,,,,,,,,,,,,,,,,,,88,93
Tucson,Arizona,,,,,,,,,,,,,,,,,,54,53,45,33,30,33
Little Rock,Arkansas,,,,,,,,,,,,100,,,,100,,,,99,96,,
Anaheim,California,,,,,,,,,,,,,,,,,,,82,63,59,56,55
Bakersfield,California,,,,,,,,,,,,,,,,,,,,,97,70,52
Berkeley,California,,,,,,,,,,,,,,,,,91,,,,,,
Chula Vista,California,,,,,,,,,,,,,,,,,,,,,,,78
Fremont,California,,,,,,,,,,,,,,,,,,,,,98,87,96
Fresno,California,,,,,,,,,,,,,,,,,,91,83,65,47,37,34
Glendale,California,,,,,,,,,,,,,,,,,,,,,92,100,
Huntington Beach,California,,,,,,,,,,,,,,,,,,,,85,90,,
Irvine,California,,,,,,,,,,,,,,,,,,,,,,,97
Long Beach,California,,,,,,,,,,,,,,,57,53,41,35,40,37,32,34,36
Los Angeles,California,,,,,,,,,,,57,36,17,10,5,5,4,3,3,3,2,2,2
Oakland,California,,,,,,,,,,51,60,56,32,31,30,29,27,33,38,43,39,42,48
Riverside,California,,,,,,,,,,,,,,,,,,,97,83,68,68,62
Sacramento,California,,,,,,,,67,89,90,,,,,96,85,67,63,55,52,41,41,35
San Bernardino,California,,,,,,,,,,,,,,,,,,,,,,,100
San Diego,California,,,,,,,,,,,,,,93,53,43,31,18,14,8,6,7,8
San Francisco,California,,,,,,,,15,10,9,8,9,11,12,11,12,11,12,13,13,14,13,13
San Jose,California,,,,,,,,,,,,,,,,,,57,31,17,11,11,10
Santa Ana,California,,,,,,,,,,,,,,,,,,,87,69,52,52,58
Stockton,California,,,,,,,,,,,,,,,,,,,,,74,71,66
Aurora,Colorado,,,,,,,,,,,,,,,,,,,,97,72,62,57
Colorado Springs,Colorado,,,,,,,,,,,,,,,,,,,,66,54,49,41
Denver,Colorado,,,,,,,,,,50,26,25,27,25,29,24,24,23,25,24,26,25,27
Bridgeport,Connecticut,,,,,,,,78,76,71,59,54,49,44,54,59,63,80,88,,,,
Hartford,Connecticut,28,29,39,36,39,38,53,31,34,43,54,49,51,46,47,51,54,78,86,,,,
Middletown,Connecticut,,,,62,82,,,,,,,,,,,,,,,,,,
New Haven,Connecticut,17,26,24,25,23,28,33,23,25,26,32,31,35,39,49,54,59,82,,,,,
New London,Connecticut,,20,41,54,62,75,71,90,,,,,,,,,,,,,,,
Norwich,Connecticut,,,44,56,81,,,64,87,,,,,,,,,,,,,,
Waterbury,Connecticut,,,,,,,,93,,,,81,76,77,94,93,,,,,,,
Wilmington,Delaware,,,,,,48,51,43,43,,44,51,61,62,80,75,95,,,,,,
Georgetown,District of Columbia,,32,30,19,28,55,79,,,,,,,,,,,,,,,,
Washington,District of Columbia,,31,14,9,11,13,18,14,12,14,14,15,16,14,14,11,9,9,9,15,19,21,25
