,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Abita Springs,95.30%,3.01%,0.31%,0.36%,,0.31%,0.72%,1.79%,$39,923.00,$45,208.00,$36,250.00,$27,368.00,$16,998.00,4.70%,6.70%,4.40%,11.60%
Acadia Parish,80.73%,18.25%,0.20%,0.15%,0.01%,0.20%,0.47%,0.91%,$26,684.00,$31,812.00,$29,353.00,$17,179.00,$13,424.00,21.00%,24.50%,30.30%,25.20%
Addis,76.14%,22.97%,0.22%,0.13%,,0.04%,0.49%,0.98%,$36,188.00,$39,625.00,$34,559.00,$21,799.00,$14,907.00,12.60%,17.50%,22.70%,9.70%
Albany,97.69%,0.12%,0.35%,0.12%,,0.81%,0.92%,1.50%,$25,208.00,$39,167.00,$35,000.00,$21,111.00,$16,407.00,14.30%,20.30%,16.80%,27.70%
Alexandria,38.32%,57.25%,1.25%,1.85%,0.14%,1.03%,1.09%,6.98%,$26,097.00,$31,978.00,$29,456.00,$20,154.00,$16,242.00,23.20%,27.40%,37.70%,18.50%
Allen Parish,71.90%,24.60%,1.72%,0.57%,0.01%,0.24%,0.96%,4.50%,$27,777.00,$33,920.00,$32,371.00,$17,154.00,$13,101.00,17.90%,19.90%,22.60%,21.50%
Ama,64.90%,34.40%,0.16%,0.16%,,0.16%,0.23%,1.01%,$41,691.00,$50,156.00,$35,875.00,$31,667.00,$19,399.00,7.50%,8.50%,0.00%,13.80%
Amelia,58.69%,12.38%,0.66%,22.70%,,4.25%,1.32%,8.17%,$26,953.00,$29,063.00,$30,313.00,$16,917.00,$9,483.00,29.60%,32.50%,38.90%,39.90%
Amite City,46.42%,51.82%,0.10%,0.78%,,0.10%,0.78%,1.41%,$27,011.00,$33,125.00,$30,590.00,$19,063.00,$14,565.00,23.10%,27.00%,39.30%,14.30%
Anacoco,93.65%,0.12%,1.62%,1.04%,0.12%,0.92%,2.54%,2.42%,$37,303.00,$41,875.00,$37,500.00,$23,125.00,$15,300.00,9.20%,12.30%,14.80%,14.40%
Angie,81.67%,17.50%,0.42%,,,,0.42%,3.33%,$27,344.00,$33,000.00,$34,375.00,$26,071.00,$14,198.00,15.20%,24.70%,27.40%,30.20%
Arabi,95.89%,0.89%,0.31%,0.82%,,0.90%,1.20%,5.10%,$33,937.00,$42,526.00,$32,146.00,$24,489.00,$19,038.00,7.50%,9.90%,12.40%,8.80%
Arcadia,37.98%,60.57%,0.26%,0.10%,,0.26%,0.82%,1.61%,$21,661.00,$26,250.00,$25,885.00,$17,279.00,$10,962.00,27.10%,31.40%,42.70%,20.60%
Arnaudville,88.63%,10.73%,0.07%,0.07%,,,0.50%,1.57%,$21,600.00,$26,583.00,$28,365.00,$20,221.00,$12,380.00,22.90%,25.60%,36.30%,24.40%
Ascension Parish,77.39%,20.28%,0.27%,0.34%,0.02%,0.99%,0.70%,2.46%,$44,288.00,$50,626.00,$41,109.00,$23,054.00,$17,858.00,10.70%,12.90%,16.30%,15.40%
Ashland, Natchitoches Parish,86.60%,10.31%,2.41%,0.69%,,,,1.72%,$23,438.00,$31,875.00,$27,083.00,$23,750.00,$12,652.00,33.70%,32.00%,38.10%,30.40%
Assumption Parish,67.17%,31.52%,0.31%,0.24%,0.01%,0.17%,0.59%,1.21%,$31,168.00,$36,052.00,$35,941.00,$18,065.00,$14,008.00,19.50%,21.80%,28.40%,21.70%
Athens,72.52%,24.05%,2.29%,,0.38%,,0.76%,,$18,750.00,$26,750.00,$23,393.00,$22,250.00,$13,033.00,7.00%,14.20%,13.60%,20.00%
Atlanta,88.00%,10.00%,2.00%,,,,,,$26,875.00,$29,531.00,$45,833.00,$25,000.00,$21,021.00,15.40%,15.10%,12.50%,0.00%
Avondale,63.70%,20.25%,0.53%,12.20%,,1.58%,1.73%,4.80%,$35,917.00,$37,250.00,$28,730.00,$21,936.00,$13,518.00,15.60%,17.30%,23.70%,12.60%
Avoyelles Parish,68.47%,29.49%,1.01%,0.17%,,0.19%,0.66%,0.97%,$23,851.00,$29,389.00,$27,122.00,$18,250.00,$12,146.00,21.70%,25.90%,32.50%,25.00%
Baker,45.97%,52.36%,0.28%,0.22%,0.01%,0.17%,0.99%,0.86%,$35,151.00,$38,621.00,$31,791.00,$22,177.00,$14,920.00,13.40%,15.50%,23.50%,10.50%
Baldwin,32.16%,64.52%,1.00%,0.84%,,0.80%,0.68%,1.48%,$23,272.00,$25,606.00,$28,938.00,$16,494.00,$10,118.00,28.10%,31.80%,45.30%,22.80%
Ball,96.74%,1.58%,0.65%,0.35%,0.03%,0.22%,0.43%,1.41%,$31,500.00,$38,588.00,$31,667.00,$20,323.00,$14,178.00,10.10%,13.60%,15.00%,7.60%
Banks Springs,,,,,,,,,,,,,,,,,
Barataria,86.95%,11.10%,0.60%,,,0.23%,1.13%,1.88%,$28,169.00,$29,913.00,$27,159.00,$18,000.00,$12,890.00,13.60%,15.90%,19.20%,13.60%
Basile,81.08%,17.83%,0.12%,0.36%,,0.06%,0.54%,1.39%,,,,,,,,,
Baskin,94.68%,2.66%,0.53%,,,,2.13%,0.53%,$18,000.00,$31,875.00,$26,250.00,$12,321.00,$16,034.00,22.00%,24.30%,22.20%,31.70%
Bastrop,34.67%,64.50%,0.13%,0.15%,,0.04%,0.51%,0.69%,$20,418.00,$26,250.00,$30,477.00,$15,813.00,$10,769.00,29.60%,35.30%,46.20%,30.50%
Baton Rouge,,,,,,,,,,,,,,,,,Baton Rouge
Bawcomville,,,,,,,,,,,,,,,,,
Bayou Blue,,,,,,,,,,,,,,,,,
Bayou Cane,85.68%,9.81%,1.95%,0.70%,0.02%,0.49%,1.35%,2.35%,$40,955.00,$45,443.00,$35,081.00,$20,995.00,$17,450.00,11.30%,13.10%,18.50%,12.90%
Bayou Country Club,,,,,,,,,,,,,,,,,
Bayou Gauche,96.84%,1.53%,0.28%,0.11%,,0.85%,0.40%,1.47%,$51,667.00,$52,212.00,$45,982.00,$23,966.00,$22,170.00,0.00%,1.70%,0.00%,0.00%
Bayou Goula,22.56%,76.82%,,0.21%,,0.10%,0.31%,1.44%,$19,435.00,$24,236.00,$25,170.00,$15,885.00,$12,246.00,25.40%,31.30%,43.00%,18.80%
Bayou L%Ourse,,,,,,,,,,,,,,,,,
Bayou Vista,91.89%,3.63%,1.03%,0.25%,0.05%,1.36%,1.79%,2.55%,$30,234.00,$34,526.00,$32,066.00,$21,645.00,$14,516.00,15.10%,18.40%,17.70%,23.00%
Beauregard Parish,84.25%,12.92%,0.66%,0.60%,0.05%,0.30%,1.23%,1.42%,$32,582.00,$37,886.00,$35,268.00,$19,639.00,$15,514.00,13.00%,15.60%,19.50%,15.50%
Belcher,75.37%,23.90%,0.74%,,,,,,$39,167.00,$40,469.00,$28,750.00,$20,000.00,$16,954.00,6.30%,4.80%,0.00%,4.30%
Belle Chasse,82.12%,5.23%,0.61%,3.85%,0.12%,0.85%,1.31%,7.60%,$47,271.00,$52,064.00,$39,957.00,$22,332.00,$19,385.00,6.50%,7.70%,8.40%,7.80%
Belle Rose,39.92%,59.83%,0.15%,,,,0.10%,1.34%,$30,313.00,$35,865.00,$40,089.00,$24,583.00,$13,606.00,27.90%,28.00%,33.70%,27.60%
Belmont,,,,,,,,,,,,,,,,,
Benton,54.64%,42.16%,0.49%,0.05%,0.25%,0.44%,1.97%,3.10%,$25,708.00,$31,953.00,$29,423.00,$18,472.00,$12,289.00,20.00%,24.20%,34.10%,26.10%
Bernice,36.87%,56.94%,0.17%,0.50%,,4.98%,0.55%,6.63%,$20,602.00,$27,708.00,$20,903.00,$17,083.00,$11,279.00,24.90%,30.80%,39.40%,26.50%
