,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Abington,92.50%,2.10%,0.30%,1.80%,0.00%,1.90%,1.40%,1.90%,,,,,,,,,
Abington (CDP),92.50%,2.10%,0.30%,1.80%,0.00%,1.90%,1.40%,1.90%,$74,589.00,$68,826.00,$44,151.00,$30,923.00,$23,380.00,2.10%,3.60%,4.10%,7.20%
Acton,77.30%,1.10%,0.10%,18.60%,,1.20%,1.70%,,,,,,,,,,
Acushnet,97.20%,0.42%,0.17%,0.17%,0.02%,0.78%,1.25%,0.79%,,,,,,,,,
Acushnet Center,96.88%,0.66%,0.32%,0.09%,0.03%,0.73%,1.29%,1.01%,$41,890.00,$52,446.00,$36,321.00,$24,087.00,$21,181.00,2.40%,5.70%,5.00%,11.20%
Adams,98.02%,0.36%,0.08%,0.24%,0.05%,0.27%,0.98%,0.82%,,,,,,,,,
Adams (CDP),98.24%,0.35%,0.12%,0.21%,0.03%,0.36%,0.69%,1.02%,$28,703.00,$37,574.00,$31,096.00,$23,802.00,$18,210.00,7.90%,11.80%,16.70%,11.90%
Agawam,96.71%,0.91%,0.17%,0.98%,0.01%,0.43%,0.80%,1.83%,,,,,,,,,
Alford,99.00%,0.75%,,,,,0.25%,,,,,,,,,,
Amesbury,97.20%,0.60%,0.22%,,,,,0.90%,,,,,,,,,
Amherst,76.90%,5.40%,0.20%,10.90%,0.03%,2.40%,4.10%,7.30%,,,,,,,,,
Amherst Center,81.00%,5.15%,0.22%,8.02%,0.06%,2.48%,3.07%,5.37%,$35,754.00,$57,050.00,$38,547.00,$32,219.00,$13,791.00,6.20%,21.60%,11.80%,5.60%
Andover,91.60%,0.75%,0.06%,5.73%,0.04%,0.84%,0.99%,1.81%,,,,,,,,,
Andover (CDP),93.84%,1.08%,0.08%,3.14%,0.05%,0.95%,0.87%,1.82%,$60,040.00,$87,516.00,$70,074.00,$41,601.00,$34,760.00,8.30%,5.80%,11.10%,8.40%
Aquinnah,53.49%,0.29%,36.63%,,,0.87%,8.72%,1.16%,,,,,,,,,
Arlington,83.60%,2.30%,0.10%,8.30%,,0.40%,2.10%,3.30%,,,,,,,,,
Ashburnham,97.66%,0.22%,0.04%,0.61%,,0.31%,1.17%,1.66%,,,,,,,,,
Ashby,97.10%,0.40%,0.20%,0.30%,,0.40%,1.60%,1.90%,,,,,,,,,
Ashfield,97.33%,0.61%,0.11%,0.33%,,0.06%,1.56%,0.44%,,,,,,,,,
Ashland,84.20%,2.40%,0.10%,8.80%,,2.60%,1.90%,4.50%,,,,,,,,,
Athol,96.33%,0.65%,0.35%,0.42%,0.03%,0.73%,1.48%,1.96%,,,,,,,,,
Athol (CDP),96.01%,0.76%,0.42%,0.42%,0.02%,0.70%,1.66%,2.19%,$31,630.00,$39,556.00,$33,222.00,$22,563.00,$16,062.00,9.20%,10.30%,11.00%,8.70%
Attleboro,87.10%,3.00%,0.20%,4.50%,0.10%,2.80%,2.20%,,,,,,,,,,
Avon,93.45%,3.74%,0.27%,0.92%,,0.77%,0.86%,1.44%,,,,,,,,,
Ayer,84.30%,5.90%,0.30%,3.60%,,2.30%,3.40%,5.70%,,,,,,,,,
Ayer (CDP),88.31%,4.93%,0.24%,2.64%,0.14%,1.08%,2.67%,3.11%,$41,808.00,$55,375.00,$39,879.00,$32,083.00,$23,574.00,5.20%,9.40%,8.60%,17.80%
Baldwinville,97.84%,0.16%,0.16%,0.49%,,0.81%,0.54%,1.78%,$41,771.00,$50,170.00,$37,542.00,$25,551.00,$17,108.00,6.00%,9.60%,9.30%,18.20%
Barnstable,91.85%,2.74%,0.59%,0.81%,0.04%,1.67%,2.30%,1.70%,,,,,,,,,
Barnstable County,92.70%,1.90%,0.60%,1.10%,,1.50%,2.20%,2.20%,,,,,,,,,
Barre,97.63%,0.51%,0.10%,0.33%,,0.29%,1.13%,0.80%,,,,,,,,,
