,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Acme Township,97.30%,0.23%,0.28%,0.35%,,1.06%,0.78%,2.10%,$50,425.00,$58,886.00,$36,201.00,$26,607.00,$24,219.00,4.50%,6.50%,3.50%,9.70%
Ada Township,95.57%,0.47%,0.16%,2.35%,0.01%,0.51%,0.94%,1.07%,,,,,,,,,
Adams Township, Arenac County,97.45%,,1.27%,0.18%,,,1.09%,0.55%,$36,346.00,$40,227.00,$26,029.00,$19,625.00,$14,776.00,11.40%,15.40%,26.30%,13.10%
Adams Township, Hillsdale County,98.44%,0.52%,0.16%,0.36%,,0.12%,0.40%,1.28%,$42,708.00,$45,739.00,$32,481.00,$24,509.00,$19,821.00,2.20%,5.40%,5.40%,7.70%
Adams Township, Houghton County,92.61%,5.17%,0.15%,0.55%,0.04%,0.22%,1.27%,0.62%,$28,776.00,$35,903.00,$26,739.00,$20,099.00,$12,741.00,8.00%,11.90%,14.60%,14.40%
Addison,98.41%,,0.16%,0.96%,,0.16%,0.32%,2.07%,$35,781.00,$45,313.00,$31,875.00,$23,000.00,$15,883.00,6.00%,8.10%,7.20%,7.80%
Addison Township,97.10%,1.07%,0.33%,0.23%,0.02%,0.26%,0.99%,1.94%,$69,266.00,$79,019.00,$60,281.00,$30,720.00,$29,350.00,3.80%,5.70%,6.10%,6.30%
Adrian,84.47%,3.52%,0.62%,0.83%,0.02%,7.72%,2.83%,16.99%,$32,405.00,$42,069.00,$31,500.00,$23,359.00,$16,528.00,9.80%,13.80%,15.50%,19.80%
Aetna Township, Mecosta County,95.60%,0.39%,1.52%,0.05%,,0.59%,1.86%,0.83%,$34,571.00,$36,683.00,$31,397.00,$19,635.00,$14,141.00,10.20%,18.30%,23.20%,10.00%
Aetna Township, Missaukee County,97.76%,0.20%,0.41%,0.20%,,0.61%,0.81%,0.81%,$36,964.00,$41,406.00,$30,000.00,$21,875.00,$15,530.00,4.10%,5.40%,1.90%,8.30%
Ahmeek,99.30%,,0.70%,,,,,,$24,231.00,$33,750.00,$21,563.00,$21,250.00,$16,188.00,8.30%,11.50%,0.00%,5.90%
Akron,97.61%,,0.22%,,,0.43%,1.74%,6.07%,$35,208.00,$35,313.00,$31,806.00,$23,295.00,$14,570.00,12.20%,17.10%,26.20%,0.00%
Akron Township,95.85%,0.19%,0.76%,0.19%,,1.76%,1.26%,4.59%,$36,891.00,$43,056.00,$32,326.00,$21,548.00,$16,487.00,6.20%,11.70%,12.90%,14.30%
Alabaster Township,96.22%,,,1.39%,,0.80%,1.59%,0.99%,$44,000.00,$50,341.00,$40,417.00,$25,500.00,$23,384.00,6.00%,6.10%,8.30%,1.50%
Alaiedon Township,89.82%,6.15%,0.63%,1.40%,0.06%,0.86%,1.09%,2.37%,$64,680.00,$69,261.00,$52,500.00,$35,028.00,$24,048.00,1.90%,5.20%,5.20%,7.40%
Alamo Township,96.60%,0.97%,0.47%,0.52%,,0.21%,1.23%,0.89%,$50,409.00,$58,964.00,$40,536.00,$29,566.00,$22,116.00,4.30%,5.20%,7.60%,7.20%
Alanson,89.55%,0.89%,5.61%,0.13%,,0.51%,3.31%,1.02%,$33,125.00,$38,333.00,$23,929.00,$20,568.00,$20,703.00,4.00%,8.10%,5.70%,15.00%
Albee Township,93.03%,1.92%,0.51%,0.04%,,2.44%,2.05%,5.99%,$42,000.00,$43,917.00,$38,000.00,$22,008.00,$16,415.00,6.50%,9.20%,12.90%,1.60%
Albert Township,98.37%,0.15%,0.26%,0.04%,,0.33%,0.85%,0.89%,$30,445.00,$35,597.00,$33,795.00,$18,241.00,$18,206.00,7.50%,10.70%,18.30%,5.40%
Albion Township,94.58%,2.67%,0.33%,,0.08%,0.58%,1.75%,2.67%,$40,625.00,$44,531.00,$33,500.00,$24,167.00,$16,849.00,7.10%,8.80%,10.70%,7.90%
Alcona County,98.04%,0.16%,0.62%,0.18%,0.01%,0.06%,0.93%,0.69%,$31,362.00,$35,669.00,$29,712.00,$20,566.00,$17,653.00,9.10%,12.60%,17.80%,9.00%
Alcona Township,97.89%,,0.83%,0.09%,,0.18%,1.01%,0.73%,$34,125.00,$39,934.00,$33,250.00,$21,364.00,$20,160.00,4.30%,8.70%,17.10%,4.90%
Algansee Township,98.69%,0.19%,0.19%,,,0.29%,0.63%,0.92%,$42,794.00,$44,130.00,$30,625.00,$22,051.00,$18,299.00,4.80%,7.70%,8.40%,3.60%
Alger County,86.30%,6.40%,4.10%,0.30%,,0.10%,2.70%,1.20%,$38,231.00,$46,154.00,,,$19,858.00,9.30%,14.00%,19.30%,8.20%
Algoma Township,97.54%,0.22%,0.29%,0.45%,0.01%,0.72%,0.76%,1.67%,$58,285.00,$62,863.00,$45,281.00,$28,870.00,$23,150.00,2.60%,3.70%,4.50%,2.10%
Algonac,97.36%,0.15%,0.95%,0.20%,0.02%,0.17%,1.15%,1.02%,$42,133.00,$55,000.00,$41,644.00,$25,000.00,$22,441.00,8.60%,9.40%,10.70%,15.20%
