,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Ada,96.44%,0.06%,0.66%,0.54%,,1.03%,1.27%,2.78%,$29,583.00,$43,162.00,$30,924.00,$23,088.00,$16,921.00,7.00%,13.70%,14.50%,21.50%
Adams,99.25%,,0.12%,0.38%,,0.25%,,0.62%,$31,289.00,$38,125.00,$31,083.00,$22,639.00,$16,550.00,4.40%,6.30%,5.80%,8.20%
Adrian,96.43%,0.24%,,0.32%,,1.94%,1.05%,2.92%,$35,927.00,$44,125.00,$30,972.00,$21,042.00,$16,925.00,3.50%,7.20%,8.10%,14.80%
Afton,96.65%,0.25%,,1.02%,,0.39%,1.69%,0.95%,$89,095.00,$96,087.00,$64,135.00,$37,300.00,$36,338.00,0.00%,0.60%,0.00%,0.00%
Aitkin,97.33%,0.15%,1.31%,0.25%,0.05%,0.35%,0.55%,0.76%,$47,574.00,$58,071.00,$50,577.00,$31,641.00,$26,471.00,7.10%,9.20%,11.00%,20.90%
Aitkin County,95.63%,0.35%,2.40%,0.17%,0.03%,0.13%,1.29%,0.90%,$44,139.00,$58,290.00,$51,604.00,$30,633.00,$21,848.00,5.20%,7.60%,15.50%,11.00%
Akeley,96.60%,,2.67%,0.49%,,0.24%,,1.21%,$26,719.00,$33,611.00,$26,023.00,$19,063.00,,17.20%,17.50%,27.80%,14.50%
Albany,97.60%,0.20%,0.20%,0.20%,,0.70%,1.00%,0.90%,,,,,,,,,
Albert Lea,92.80%,0.37%,0.29%,0.80%,0.03%,4.54%,1.18%,9.48%,$32,841.00,$42,407.00,$31,383.00,$21,114.00,$17,979.00,6.90%,10.20%,10.60%,10.90%
Alberta,100.00%,,,,,,,,$43,500.00,$44,000.00,$29,250.00,$20,250.00,$15,296.00,0.00%,0.00%,,
Albertville,98.51%,0.30%,0.22%,0.25%,,0.08%,0.64%,0.66%,$58,260.00,$63,578.00,$41,783.00,$30,244.00,$21,424.00,6.70%,6.90%,9.90%,0.00%
Alden,97.70%,,,0.92%,,1.23%,0.15%,3.07%,$40,000.00,$42,250.00,$32,125.00,$20,909.00,$17,689.00,3.70%,6.00%,1.30%,12.40%
