,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Aberdeen,38.78%,60.20%,0.09%,0.39%,0.05%,0.06%,0.42%,0.56%,$23,530.00,$27,611.00,$27,857.00,$17,090.00,$11,584.00,26.30%,29.60%,42.20%,26.70%
Ackerman,62.97%,34.85%,0.24%,0.59%,,0.94%,0.41%,1.47%,$21,287.00,$30,511.00,$30,588.00,$20,739.00,$13,486.00,17.80%,24.70%,33.20%,20.10%
Adams County,46.04%,52.76%,0.14%,0.25%,0.01%,0.21%,0.59%,0.79%,$25,234.00,$29,591.00,$30,260.00,$20,383.00,$15,778.00,22.90%,25.90%,36.80%,19.20%
Alcorn County,87.37%,11.07%,0.10%,0.21%,0.06%,0.59%,0.60%,1.28%,$29,041.00,$36,899.00,$29,752.00,$20,583.00,$15,418.00,13.10%,16.60%,18.60%,22.60%
Algoma,77.17%,21.65%,,,,,1.18%,2.36%,$32,333.00,$38,250.00,$24,625.00,$18,750.00,$13,213.00,10.60%,15.00%,15.40%,37.70%
Alligator,20.91%,77.27%,,,,,1.82%,,$16,667.00,$17,083.00,$21,875.00,$14,063.00,$9,567.00,41.50%,47.20%,69.30%,35.30%
Amite County,56.42%,42.65%,0.13%,0.08%,0.01%,0.21%,0.49%,0.83%,$26,033.00,$31,256.00,$28,306.00,$16,173.00,$14,048.00,19.30%,22.60%,29.70%,22.20%
Amory,69.85%,29.18%,0.12%,0.06%,,0.16%,0.63%,0.79%,$28,789.00,$37,891.00,$30,913.00,$21,356.00,$14,092.00,17.10%,20.70%,31.60%,17.40%
Anguilla,21.20%,77.80%,,0.10%,,,0.70%,0.00%,$19,712.00,$21,964.00,$28,125.00,$15,833.00,$10,452.00,41.00%,47.50%,66.60%,24.00%
Arcola,4.80%,95.03%,,,,,0.18%,0.18%,$18,409.00,$18,594.00,$22,321.00,$13,466.00,$6,827.00,43.40%,49.70%,63.20%,53.20%
Arnold Line,,,,,,,,,,,,,,,,,
Artesia,19.88%,79.32%,,0.20%,0.40%,,0.20%,0.80%,$18,438.00,$21,429.00,$20,000.00,$13,750.00,$8,716.00,42.20%,43.00%,60.00%,13.00%
Ashland,95.10%,0.80%,0.50%,0.40%,,0.20%,3.10%,1.70%,$28,088.00,$29,911.00,$24,375.00,$20,455.00,$14,073.00,14.60%,19.40%,30.20%,22.10%
Attala County,58.34%,40.00%,0.17%,0.27%,,0.65%,0.57%,1.42%,$24,794.00,$30,796.00,$26,180.00,$17,394.00,$13,782.00,18.30%,21.80%,28.60%,21.40%
Baldwyn,54.53%,43.87%,0.24%,,,0.30%,1.05%,0.99%,$26,016.00,$37,598.00,$27,162.00,$21,174.00,$15,430.00,19.90%,24.00%,32.90%,23.30%
Bassfield,64.13%,35.56%,0.32%,,,,,1.27%,$18,500.00,$27,500.00,$17,292.00,$14,250.00,$13,283.00,22.70%,25.00%,24.10%,34.80%
Batesville,56.43%,41.88%,0.06%,0.38%,0.04%,0.82%,0.39%,1.60%,$29,875.00,$38,849.00,$30,998.00,$22,029.00,$15,814.00,21.90%,28.70%,36.10%,27.00%
Bay Springs,50.02%,49.64%,,,,0.05%,0.29%,0.57%,$22,895.00,$30,938.00,$31,806.00,$19,091.00,$14,199.00,26.00%,28.80%,36.50%,33.10%
Bay St. Louis,80.23%,16.59%,0.40%,1.11%,0.05%,0.19%,1.43%,1.68%,$34,106.00,$41,957.00,$32,261.00,$21,308.00,$18,483.00,10.00%,13.20%,17.20%,11.50%
