,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Adair County,95.82%,1.20%,0.26%,1.39%,0.05%,0.41%,0.88%,1.26%,$26,677.00,$38,085.00,$26,323.00,$21,837.00,$15,484.00,11.90%,23.30%,16.80%,12.00%
Adrian,98.65%,,0.39%,0.17%,0.06%,0.11%,0.62%,1.01%,$31,436.00,$39,125.00,$32,798.00,$22,727.00,$15,856.00,10.70%,12.80%,19.80%,10.00%
Advance,98.31%,0.08%,0.56%,0.16%,,,0.88%,0.32%,$27,734.00,$38,167.00,$27,833.00,$19,702.00,$15,036.00,8.10%,12.90%,16.60%,13.50%
Alba,94.39%,0.68%,3.23%,0.34%,,0.17%,1.19%,0.34%,$30,333.00,$32,500.00,$23,625.00,$16,364.00,$11,588.00,9.50%,15.20%,18.20%,19.40%
Albany,99.07%,0.05%,0.21%,0.10%,,0.05%,0.52%,0.31%,$25,912.00,$36,042.00,$24,321.00,$21,813.00,$17,552.00,9.80%,11.10%,10.80%,10.80%
Alexandria,98.80%,1.20%,,,,,,,$30,000.00,$32,000.00,$30,000.00,$20,833.00,$13,404.00,6.70%,6.40%,0.00%,16.70%
Allendale,100.00%,,,,,,,,,,,,,,,,
Alma,99.50%,,,,,,0.50%,,$37,426.00,$49,375.00,$28,942.00,$21,607.00,$24,000.00,0.90%,4.10%,3.40%,13.50%
Altenburg,99.35%,,,,,,0.65%,,$40,417.00,$46,136.00,$33,125.00,$20,208.00,$19,174.00,0.00%,5.00%,0.00%,13.00%
Alton,97.01%,0.30%,1.95%,,,,0.75%,0.60%,$16,667.00,$21,667.00,$21,184.00,$13,929.00,$10,071.00,18.00%,27.40%,28.10%,33.60%
Amazonia,99.28%,0.36%,,,,,0.36%,,$36,250.00,$42,813.00,$29,167.00,$14,444.00,$17,609.00,9.40%,12.00%,16.20%,23.80%
Amoret,98.10%,,,,,,1.90%,0.95%,$26,250.00,$34,063.00,$22,188.00,$28,056.00,$10,071.00,20.80%,23.90%,30.30%,8.00%
Amsterdam,98.22%,,0.71%,,,,1.07%,,$29,821.00,$34,545.00,$23,333.00,$21,625.00,$11,670.00,15.00%,16.00%,25.00%,5.00%
Anderson,90.68%,0.59%,3.50%,0.16%,0.11%,1.94%,3.02%,3.45%,$23,966.00,$31,406.00,$24,018.00,$17,679.00,$12,967.00,21.50%,25.10%,35.80%,22.10%
Andrew County,98.38%,0.42%,0.34%,0.22%,0.01%,0.18%,0.45%,0.84%,$40,688.00,$46,067.00,$32,955.00,$22,586.00,$19,375.00,6.40%,8.20%,10.50%,8.00%
Annapolis,99.35%,,0.32%,,,,0.32%,,$28,389.00,$24,464.00,$25,019.00,$12,746.00,$10,015.00,11.20%,17.41%,9.80%,27.00%
Anniston,97.54%,2.46%,,,,,,0.35%,$22,232.00,$26,000.00,$20,625.00,$17,031.00,$9,626.00,11.10%,15.40%,22.10%,12.00%
Appleton City,98.17%,,0.08%,,,0.38%,1.37%,0.46%,$23,674.00,$30,365.00,$25,000.00,$18,864.00,$12,566.00,16.50%,23.10%,32.40%,18.90%
Arbyrd,94.30%,,0.20%,,,4.72%,0.79%,8.25%,$25,438.00,$28,929.00,$24,432.00,$16,563.00,$12,504.00,14.30%,23.80%,28.80%,28.70%
Arcadia,95.77%,0.71%,0.35%,0.18%,,0.53%,2.47%,0.53%,$24,333.00,$31,875.00,$31,250.00,$16,750.00,$15,374.00,10.90%,21.30%,31.20%,15.70%
Archie,98.99%,,0.79%,,,,0.22%,0.34%,$36,944.00,$42,404.00,$37,583.00,$23,750.00,$17,051.00,3.50%,5.70%,2.30%,15.00%
Armstrong,92.33%,5.92%,,,,,1.74%,,$24,167.00,$27,500.00,$19,250.00,$25,000.00,$13,055.00,9.00%,16.50%,30.60%,10.80%
Arnold,97.91%,0.30%,0.21%,0.38%,0.02%,0.27%,0.92%,1.04%,$47,188.00,$53,664.00,$37,972.00,$27,222.00,$20,378.00,3.00%,4.40%,6.10%,3.60%
Asbury,97.25%,0.00%,0.46%,0.46%,,,1.83%,1.38%,$28,125.00,$35,417.00,$24,875.00,$20,625.00,$15,205.00,4.80%,10.00%,14.60%,0.00%
Ash Grove,97.69%,0.07%,1.05%,0.07%,,0.42%,0.70%,0.49%,$31,250.00,$39,318.00,$28,750.00,$20,329.00,$15,548.00,9.10%,13.40%,15.20%,15.20%
Ashland,97.27%,0.43%,0.43%,0.43%,,0.80%,0.64%,1.34%,,,,,,,,,
Atchison County,97.00%,2.05%,0.19%,0.14%,,0.31%,0.31%,0.67%,$30,959.00,$38,279.00,$27,468.00,$18,855.00,$16,956.00,9.30%,11.60%,13.70%,12.40%
Atlanta,99.11%,,0.22%,,,,0.67%,,$33,571.00,$39,271.00,$25,673.00,$16,875.00,$14,940.00,7.30%,9.10%,8.50%,11.50%
Audrain County,,,,,,,,,$32,057.00,$40,448.00,$28,550.00,$20,712.00,$16,441.00,11.10%,14.80%,23.30%,9.80%
Augusta,99.08%,,,0.46%,,,0.46%,,$35,000.00,$54,375.00,$32,500.00,$24,375.00,$21,065.00,0.00%,2.30%,0.00%,10.90%
