Location,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Alberton,97.59%,0.27%,1.07%,,,0.27%,0.80%,0.53%,$26,000.00,$26,500.00,$24,792.00,$20,000.00,$13,120.00,19.60%,19.60%,25.20%,3.70%
Bainville,89.54%,,5.23%,,,,5.23%,0.65%,$26,250.00,$29,643.00,$27,000.00,$13,750.00,$14,997.00,16.70%,14.80%,18.40%,9.10%
Baker,98.11%,0.24%,0.53%,0.29%,0.06%,0.12%,0.65%,0.24%,$30,893.00,$42,375.00,$30,667.00,$17,500.00,$17,461.00,7.70%,10.70%,15.30%,6.30%
Bearcreek,96.39%,1.20%,,,,,2.41%,,$32,917.00,$32,500.00,$20,250.00,$25,000.00,$13,572.00,3.80%,12.60%,20.00%,0.00%
Beaverhead County,94.80%,0.20%,1.40%,0.40%,0.40%,1.20%,1.60%,3.70%,$38,264.00,$53,036.00,$35,568.00,$27,314.00,$21,110.00,10.80%,15.00%,14.40%,6.00%
Belgrade,96.49%,0.09%,1.06%,0.30%,0.09%,0.79%,1.19%,1.94%,$37,392.00,$40,378.00,$27,154.00,$20,689.00,$15,266.00,8.10%,11.40%,15.70%,7.10%
Belt,94.94%,1.42%,1.42%,,0.32%,0.16%,1.74%,1.11%,$25,469.00,$30,104.00,$21,477.00,$20,192.00,$14,970.00,10.20%,12.90%,19.80%,16.50%
Big Horn County,31.40%,0.20%,64.30%,0.50%,,1.00%,2.60%,4.00%,$36,550.00,$41,985.00,$32,216.00,$27,917.00,$15,066.00,20.70%,23.50%,32.40%,15.40%
Big Sandy,95.31%,,2.84%,,0.14%,0.57%,1.14%,0.71%,$28,523.00,$35,417.00,$23,000.00,$17,917.00,$14,801.00,10.20%,14.10%,19.70%,11.00%
Big Timber,96.61%,,0.79%,0.30%,0.06%,0.73%,1.52%,1.70%,$30,595.00,$38,869.00,$29,000.00,$17,596.00,$17,569.00,9.30%,10.80%,15.90%,7.60%
Billings,89.60%,0.80%,4.40%,0.70%,0.10%,1.40%,2.90%,5.20%,,,,,,,,,
Blaine County,48.20%,0.10%,49.40%,0.10%,,0.20%,2.00%,1.80%,$37,034.00,$40,890.00,$32,320.00,$28,986.00,$16,813.00,23.60%,29.00%,44.60%,10.60%
Boulder,94.23%,0.23%,2.31%,0.69%,0.08%,0.31%,2.15%,1.15%,$29,276.00,$37,411.00,$26,985.00,$22,500.00,$14,657.00,10.70%,15.60%,19.70%,13.30%
Bozeman,94.73%,0.33%,1.24%,1.62%,0.07%,0.54%,1.47%,1.59%,$32,156.00,$41,723.00,$28,794.00,$20,743.00,$16,104.00,9.20%,20.20%,14.80%,4.40%
Bridger,98.12%,,0.40%,,,0.13%,1.34%,3.62%,$26,103.00,$32,981.00,$24,063.00,$18,929.00,$17,060.00,10.70%,16.20%,21.80%,10.40%
Broadview,96.67%,,0.67%,,,,2.67%,2.67%,$29,500.00,$34,688.00,$35,417.00,$16,250.00,$12,882.00,6.40%,9.80%,10.60%,16.70%
Broadwater County,96.20%,0.30%,1.30%,0.20%,0.20%,0.30%,1.50%,2.20%,$44,667.00,$46,949.00,$34,500.00,$32,014.00,$19,606.00,5.80%,10.10%,10.00%,7.10%
Brockton,13.06%,,84.90%,,0.41%,,1.63%,1.22%,$19,167.00,$19,167.00,$30,625.00,$25,625.00,$8,231.00,43.50%,50.80%,53.30%,85.70%
Browning,6.57%,0.09%,90.52%,,,0.09%,2.72%,1.88%,$23,879.00,$25,000.00,$24,375.00,$20,972.00,$8,955.00,28.30%,29.20%,33.40%,23.60%
Butte,95.38%,0.16%,1.99%,0.43%,0.06%,0.59%,1.39%,2.74%,$30,516.00,$40,186.00,$31,409.00,$21,626.00,$17,068.00,10.70%,15.00%,19.20%,9.00%
Carbon County,97.20%,0.30%,0.80%,0.20%,,0.40%,1.00%,1.90%,$49,010.00,$59,823.00,$41,241.00,$26,150.00,$24,983.00,8.10%,12.20%,14.10%,11.10%
Carter County,97.80%,0.10%,0.90%,0.10%,,0.30%,0.80%,0.70%,$35,703.00,$47,955.00,$26,736.00,$18,274.00,$20,681.00,8.50%,14.00%,20.40%,10.80%
Cascade,97.56%,0.37%,1.22%,,,,0.85%,0.73%,$30,602.00,$34,938.00,$30,446.00,$18,542.00,$14,219.00,10.00%,12.10%,16.20%,10.70%
Cascade County,89.20%,1.20%,4.30%,0.80%,0.10%,0.60%,3.60%,3.30%,$42,389.00,$53,540.00,$37,904.00,$27,944.00,$22,963.00,10.90%,13.50%,20.40%,8.80%
Chester,98.74%,,0.23%,0.57%,,,0.46%,,$27,578.00,$42,639.00,$26,154.00,$17,417.00,$16,077.00,14.60%,13.50%,17.10%,13.50%
Chinook,91.34%,0.36%,6.35%,0.07%,,0.29%,1.59%,0.58%,$25,461.00,$35,577.00,$26,667.00,$20,179.00,$16,038.00,12.10%,17.30%,20.80%,20.10%
Choteau,93.94%,0.06%,2.92%,0.11%,,0.22%,2.75%,1.18%,$25,708.00,$35,655.00,$22,429.00,$17,098.00,$14,999.00,12.70%,17.60%,30.20%,12.50%
Chouteau County,75.80%,0.10%,61.50%,0.40%,0.10%,0.30%,1.60%,1.60%,$41,064.00,$50,201.00,$33,866.00,$25,077.00,$20,202.00,14.80%,21.00%,33.60%,6.20%
Circle,96.89%,0.78%,0.93%,,,,1.40%,1.09%,$27,500.00,$36,354.00,$28,125.00,$12,917.00,$13,412.00,16.20%,18.30%,17.90%,15.30%
Clyde Park,100.00%,,,,,,,0.32%,$28,194.00,$35,278.00,$27,500.00,$20,556.00,$15,646.00,2.20%,10.00%,11.50%,11.80%
Colstrip,83.93%,0.68%,11.30%,0.13%,,0.51%,3.45%,3.15%,$55,650.00,$60,352.00,$54,241.00,$25,234.00,$20,336.00,5.90%,7.00%,10.70%,0.00%
