,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Abie,100.00%,,,,,,,5.56%,,,,,,,,,
Adams,99.18%,,,,,,0.82%,1.23%,,,,,,,,,
Adams County,94.54%,0.64%,0.36%,1.60%,0.04%,1.99%,0.83%,4.58%,$37,160.00,$45,620.00,$29,842.00,$21,236.00,$18,308.00,5.50%,9.30%,10.40%,6.70%
Ainsworth,98.55%,,0.21%,0.38%,0.05%,0.21%,0.59%,0.48%,,,,,,,,,
Albion,99.11%,,0.06%,,0.06%,0.33%,0.45%,0.95%,,,,,,,,,
Alda,95.55%,0.31%,0.31%,0.15%,,2.91%,0.77%,7.06%,,,,,,,,,
Alexandria,99.54%,,,,,,0.46%,1.85%,,,,,,,,,
Allen,99.03%,,,,,0.49%,0.49%,0.97%,,,,,,,,,
Alliance,89.09%,0.49%,3.40%,0.60%,0.01%,4.31%,2.09%,8.94%,,,,,,,,,
Alma,99.18%,,0.08%,0.08%,,0.08%,0.58%,0.58%,,,,,,,,,
Almeria,,,,,,,,,,,,,,,,,
Alvo,97.89%,,,,,,2.11%,,,,,,,,,,
Amelia,,,,,,,,,,,,,,,,,
Ames,,,,,,,,,,,,,,,,,
Amherst,98.92%,,0.36%,0.36%,,,0.36%,,,,,,,,,,
Angora,,,,,,,,,,,,,,,,,
Anoka,100.00%,,,,,,,,,,,,,,,,
Anselmo,98.11%,,0.63%,,,,1.26%,,,,,,,,,,
Ansley,99.04%,,0.38%,,,0.19%,0.38%,1.54%,,,,,,,,,
Antelope County,98.82%,0.05%,0.31%,0.05%,,0.28%,0.48%,0.70%,$30,114.00,$36,240.00,$26,288.00,$16,926.00,$14,601.00,10.30%,13.60%,17.20%,11.90%
Antioch,,,,,,,,,,,,,,,,,
Arapahoe,97.57%,,0.29%,0.58%,,0.39%,1.17%,1.65%,,,,,,,,,
Arcadia,98.89%,0.56%,,0.28%,,,0.28%,0.84%,,,,,,,,,
Archer,,,,,,,,,,,,,,,,,
Arlington,98.75%,,0.08%,0.17%,0.08%,0.17%,0.75%,1.09%,,,,,,,,,
Arnold,98.73%,,0.48%,,,0.48%,0.32%,1.75%,,,,,,,,,
Arthur,97.93%,,0.69%,0.69%,,0.69%,,2.07%,$24,821.00,$31,458.00,$25,417.00,$15,625.00,$15,196.00,13.70%,18.40%,20.80%,0.00%
Arthur County,96.40%,,0.23%,0.68%,0.23%,0.90%,1.58%,1.35%,$27,375.00,$31,979.00,$21,544.00,$13,125.00,$15,810.00,7.90%,13.80%,15.10%,7.80%
Ashby,,,,,,,,,,,,,,,,,
Ashland,98.76%,0.13%,0.27%,0.40%,,0.18%,0.27%,1.64%,,,,,,,,,
Ashton,97.89%,,0.42%,,,,1.69%,0.42%,,,,,,,,,
Assumption,,,,,,,,,,,,,,,,,
Aten,,,,,,,,,,,,,,,,,
Atkinson,98.95%,0.08%,0.08%,0.32%,,,0.56%,0.88%,,,,,,,,,
Atlanta,98.46%,,1.54%,,,,,,,,,,,,,,
Auburn,97.19%,0.36%,0.27%,1.04%,0.03%,0.30%,0.81%,0.81%,,,,,,,,,
Aurora,97.92%,0.19%,0.05%,0.43%,,0.57%,0.85%,1.56%,,,,,,,,,
Avoca,100.00%,,,,,,,2.59%,,,,,,,,,
Axtell,98.85%,,0.14%,0.29%,,0.43%,0.29%,1.58%,,,,,,,,,
Ayr,96.94%,,,1.02%,,,2.04%,,,,,,,,,,
Bancroft,97.69%,,0.96%,,0.58%,,0.77%,,$28,500.00,$36,667.00,$31,250.00,$20,385.00,$17,244.00,11.10%,10.80%,5.30%,22.10%
Banner County,95.85%,0.12%,0.24%,0.12%,,3.05%,0.61%,5.62%,$31,339.00,$41,538.00,$25,250.00,$18,750.00,$17,149.00,12.30%,13.60%,19.00%,11.10%
Barada,100.00%,,,,,,,,,,,,,,,,
Barneston,99.18%,,0.82%,,,,,3.28%,,,,,,,,,
Bartlett,100.00%,,,,,,,,,,,,,,,,
Bartley,97.75%,,,,,1.13%,1.13%,2.54%,,,,,,,,,
Bassett,98.25%,,0.67%,0.27%,,0.13%,0.67%,0.67%,,,,,,,,,
Battle Creek,97.41%,0.09%,1.38%,,,0.43%,0.69%,1.04%,,,,,,,,,
Bayard,90.86%,0.08%,0.88%,0.16%,,6.74%,1.28%,15.88%,,,,,,,,,
Bazile Mills,100.00%,,,,,,,,,,,,,,,,
Beatrice,97.50%,0.34%,0.45%,0.33%,0.03%,0.30%,1.05%,0.96%,,,,,,,,,
Beaver City,97.97%,0.31%,0.31%,,,0.31%,1.09%,1.87%,,,,,,,,,
Beaver Crossing,95.19%,1.53%,1.97%,0.22%,,,1.09%,0.66%,,,,,,,,,
Bee,99.10%,,,,,,0.90%,,,,,,,,,,
Beemer,95.47%,,0.39%,0.39%,,2.98%,0.78%,3.62%,,,,,,,,,
Belden,100.00%,,,,,,,,,,,,,,,,
Belgrade,100.00%,,,,,,,,,,,,,,,,
Bellevue,85.83%,6.13%,0.50%,2.11%,0.11%,2.78%,2.54%,5.88%,,,,,,,,,
Bellwood,100.00%,,,,,,,0.45%,,,,,,,,,
Belmar,,,,,,,,,,,,,,,,,
Belvidere,100.00%,,,,,,,,,,,,,,,,
Benedict,93.88%,3.96%,2.16%,,,,,,,,,,,,,,
Benkelman,97.51%,,0.80%,0.60%,0.10%,0.10%,0.89%,0.30%,,,,,,,,,
Bennet,98.25%,0.18%,,0.18%,,0.35%,1.05%,0.70%,,,,,,,,,
Bennington,98.40%,,0.21%,0.53%,,,0.85%,1.49%,,,,,,,,,
Berea,,,,,,,,,,,,,,,,,
Bertrand,98.85%,0.13%,0.38%,0.25%,,0.38%,,0.76%,,,,,,,,,
Berwyn,99.25%,,,0.75%,,,,2.24%,,,,,,,,,
Big Springs,95.93%,,0.48%,,,3.35%,0.24%,5.26%,,,,,,,,,
Bingham,,,,,,,,,,,,,,,,,
Bladen,98.97%,,,0.34%,,,0.69%,,,,,,,,,,
Blaine County,98.97%,,0.51%,,,,0.51%,0.17%,$25,278.00,$28,472.00,$17,917.00,$20,000.00,$12,323.00,18.70%,19.40%,21.70%,9.40%
Blair,97.43%,0.44%,0.29%,0.33%,0.27%,0.33%,0.91%,1.34%,,,,,,,,,
Bloomfield,98.31%,,0.89%,0.09%,,,0.71%,0.27%,,,,,,,,,
Bloomington,97.58%,,0.81%,,,,1.61%,,,,,,,,,,
Blue Hill,97.81%,0.35%,0.46%,0.69%,,0.46%,0.23%,0.81%,,,,,,,,,
Blue Springs,95.30%,,3.13%,,0.26%,,1.31%,0.26%,,,,,,,,,
Boone,,,,,,,,,,,,,,,,,
