,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Acworth,96.77%,0.84%,0.84%,0.24%,,,1.32%,1.08%,,,,,,,,,
Albany,98.47%,0.15%,0.31%,0.15%,0.31%,,0.61%,0.76%,,,,,,,,,
Alexandria,97.82%,0.08%,0.30%,0.38%,,,1.43%,0.23%,,,,,,,,,
Allenstown,97.83%,0.50%,0.23%,0.37%,,0.27%,0.81%,1.18%,,,,,,,,,
Alstead,98.20%,0.21%,0.62%,0.51%,,,0.46%,0.51%,,,,,,,,,
Alton,98.40%,0.10%,0.10%,0.30%,0.04%,0.20%,0.90%,1.10%,,,,,,,,,
Amherst,95.80%,0.50%,0.10%,1.70%,0.04%,0.40%,1.50%,1.90%,,,,,,,,,
Andover,98.20%,0.38%,0.14%,0.05%,0.05%,0.05%,1.14%,0.19%,,,,,,,,,
Antrim,97.40%,0.30%,0.20%,0.40%,0.04%,0.20%,1.60%,1.20%,,,,,,,,,
Ashland,96.10%,0.40%,0.20%,1.30%,0.00%,0.20%,1.70%,0.90%,,,,,,,,,
Atkinson,97.62%,0.26%,0.06%,1.18%,,0.21%,0.66%,0.70%,,,,,,,,,
Auburn,98.29%,0.21%,0.23%,0.41%,,0.23%,0.62%,0.94%,,,,,,,,,
Barnstead,97.74%,0.62%,0.31%,0.59%,,0.05%,0.69%,0.59%,,,,,,,,,
Barrington,98.11%,0.25%,0.13%,0.41%,0.05%,0.23%,0.80%,0.92%,,,,,,,,,
Bartlett,97.70%,0.30%,0.30%,0.40%,0.00%,0.00%,1.30%,0.90%,,,,,,,,,
Bath,99.33%,0.22%,0.22%,,,,0.22%,,,,,,,,,,
Bedford,94.50%,0.60%,0.10%,2.90%,0.01%,0.40%,1.40%,1.70%,,,,,,,,,
Belknap County,96.60%,0.50%,0.20%,1.20%,,0.20%,1.30%,1.20%,,,,,,,,,
Belmont,97.00%,0.40%,0.10%,0.70%,0.04%,0.30%,1.40%,1.30%,,,,,,,,,
Bennington,97.40%,0.40%,0.10%,0.60%,0.00%,0.40%,1.10%,0.90%,,,,,,,,,
Benton,97.45%,,,0.32%,,,2.23%,,,,,,,,,,
Berlin,96.50%,0.80%,0.40%,0.30%,0.00%,0.20%,1.80%,1.50%,,,,,,,,,
Bethlehem,97.20%,0.10%,0.50%,0.60%,0.04%,0.20%,1.30%,1.70%,,,,,,,,,
Boscawen,97.74%,0.57%,0.30%,0.46%,,0.16%,0.76%,0.82%,,,,,,,,,
Bow,97.79%,0.13%,0.10%,1.04%,,0.29%,0.66%,0.49%,,,,,,,,,
Bradford,97.50%,0.10%,0.40%,0.20%,0.10%,0.20%,1.60%,1.30%,,,,,,,,,
Brentwood,96.30%,0.70%,0.10%,1.00%,0.10%,0.50%,1.30%,1.50%,,,,,,,,,
Bridgewater,99.08%,,0.10%,0.51%,,0.21%,0.10%,0.62%,,,,,,,,,
Bristol,96.90%,0.30%,0.20%,0.70%,0.00%,0.30%,1.60%,1.10%,,,,,,,,,
Brookfield,99.01%,,0.33%,,0.17%,,0.50%,0.33%,,,,,,,,,
Brookline,97.87%,0.14%,0.19%,0.62%,0.05%,0.22%,0.91%,0.91%,,,,,,,,,
Campton,98.01%,0.04%,0.04%,0.70%,0.15%,,1.07%,0.40%,,,,,,,,,
Canaan,97.10%,0.10%,0.20%,1.00%,,0.20%,1.30%,0.80%,,,,,,,,,
Candia,98.11%,0.43%,0.46%,0.59%,0.03%,0.10%,0.28%,0.87%,,,,,,,,,
Canterbury,98.59%,0.25%,,0.25%,0.05%,0.10%,0.76%,0.51%,,,,,,,,,
Carroll,98.79%,,,0.75%,,0.15%,0.30%,0.60%,,,,,,,,,
Carroll County,97.50%,0.30%,0.30%,0.60%,,0.20%,1.10%,1.00%,,,,,,,,,
Center Harbor,98.80%,,,0.80%,,,,1.00%,,,,,,,,,
Charlestown,97.80%,0.40%,0.20%,0.40%,0.00%,0.10%,1.00%,0.80%,,,,,,,,,
Chatham,98.08%,,,,,1.15%,0.77%,,,,,,,,,,
Cheshire County,96.30%,0.50%,0.30%,1.20%,,0.40%,1.40%,1.40%,,,,,,,,,
Chester,97.97%,0.26%,0.42%,0.32%,,0.16%,0.87%,0.82%,,,,,,,,,
Chesterfield,97.80%,0.23%,0.56%,0.17%,,0.08%,1.16%,0.56%,,,,,,,,,
Chichester,98.17%,0.18%,0.36%,0.13%,,0.18%,0.98%,0.67%,,,,,,,,,
Claremont,95.90%,0.60%,0.30%,0.90%,0.03%,0.40%,1.80%,1.30%,,,,,,,,,
Clarksville,95.92%,,1.02%,0.00%,0.00%,0.00%,3.06%,1.70%,,,,,,,,,
Co%C3%B6s County,96.90%,0.40%,0.40%,0.50%,,0.30%,1.40%,1.20%,,,,,,,,,
Colebrook,97.40%,0.20%,0.30%,0.70%,0.00%,0.20%,1.20%,1.20%,,,,,,,,,
Columbia,97.60%,0.13%,0.27%,0.27%,,,1.73%,0.67%,,,,,,,,,
Concord,91.80%,2.20%,0.30%,3.40%,0.00%,0.40%,1.80%,2.10%,,,,,,,,,
Conway,96.90%,0.30%,0.40%,1.00%,0.04%,0.20%,1.20%,1.00%,,,,,,,,,
Cornish,97.71%,0.30%,0.30%,0.12%,0.12%,0.30%,1.14%,0.48%,,,,,,,,,
Croydon,97.43%,,0.45%,0.15%,,0.76%,1.21%,0.61%,,,,,,,,,
Dalton,96.76%,0.76%,0.54%,0.22%,,0.22%,1.51%,1.94%,,,,,,,,,
Danville,97.59%,0.57%,0.27%,0.35%,0.02%,0.30%,0.89%,0.85%,,,,,,,,,
Deerfield,98.53%,0.16%,0.14%,0.14%,,0.22%,0.82%,0.30%,,,,,,,,,
Deering,97.00%,0.30%,0.20%,,,0.10%,1.50%,1.30%,,,,,,,,,
Derry,94.50%,1.00%,0.20%,1.50%,0.00%,0.90%,1.70%,3.30%,,,,,,,,,
Dorchester,97.17%,0.28%,0.28%,0.85%,,0.85%,0.57%,0.57%,,,,,,,,,
Dover,90.60%,1.70%,0.20%,4.60%,0.05%,0.60%,2.30%,2.20%,,,,,,,,,
Dublin,97.29%,0.34%,0.54%,0.95%,,0.41%,0.47%,1.15%,,,,,,,,,
Dummer,98.71%,,,0.32%,,,0.97%,,,,,,,,,,
Dunbarton,98.43%,0.09%,0.45%,0.45%,,0.04%,0.54%,0.31%,,,,,,,,,
Durham,93.80%,0.90%,0.10%,3.20%,0.01%,0.40%,1.60%,2.00%,,,,,,,,,
East Kingston,98.04%,0.11%,0.06%,0.34%,0.06%,0.95%,0.45%,0.34%,,,,,,,,,
Easton,96.48%,,0.78%,,,,2.73%,0.78%,,,,,,,,,
Eaton,98.67%,0.27%,,0.27%,,,0.80%,,,,,,,,,,
Effingham,98.35%,0.39%,0.31%,0.24%,,0.08%,0.63%,0.39%,,,,,,,,,
Ellsworth,96.55%,,3.45%,,,,,,,,,,,,,,
Enfield,96.80%,0.40%,0.30%,0.90%,0.00%,0.20%,1.40%,1.20%,,,,,,,,,
Epping,96.20%,0.30%,0.20%,1.30%,0.03%,0.30%,1.60%,1.60%,,,,,,,,,
Epsom,98.63%,0.10%,0.10%,0.32%,,0.10%,0.75%,0.45%,,,,,,,,,
Errol,98.66%,,,,0.34%,0.67%,0.34%,1.01%,,,,,,,,,
Exeter,95.50%,0.60%,0.10%,2.00%,,0.20%,1.60%,1.77%,,,,,,,,,
Farmington,96.80%,0.50%,0.30%,0.50%,0.10%,0.20%,1.70%,0.80%,,,,,,,,,
Fitzwilliam,97.52%,0.37%,0.33%,0.19%,0.19%,0.05%,1.35%,0.75%,,,,,,,,,
Francestown,97.30%,0.07%,0.34%,0.27%,,0.47%,1.55%,0.54%,,,,,,,,,
Franconia,97.51%,0.11%,0.65%,0.87%,,0.11%,0.76%,0.32%,,,,,,,,,
Franklin,96.20%,0.50%,0.50%,0.80%,0.02%,0.30%,1.70%,1.60%,,,,,,,,,
Freedom,98.80%,0.10%,,0.30%,,0.10%,0.70%,,,,,,,,,,
Fremont,98.15%,0.06%,0.06%,0.34%,,0.51%,0.88%,0.77%,,,,,,,,,
Gilford,98.32%,0.19%,0.15%,0.51%,,0.07%,0.75%,0.57%,,,,,,,,,
Gilmanton,98.59%,0.10%,0.20%,0.13%,,,0.98%,0.29%,,,,,,,,,
Gilsum,98.46%,,0.39%,0.13%,,,1.03%,0.51%,,,,,,,,,
Goffstown,96.60%,0.90%,0.20%,0.80%,0.03%,0.40%,1.20%,1.80%,,,,,,,,,
Gorham,97.00%,0.10%,0.20%,1.10%,0.00%,0.04%,1.50%,0.90%,,,,,,,,,
Goshen,97.03%,,1.62%,0.13%,,0.13%,1.08%,0.40%,,,,,,,,,
Grafton,96.70%,0.30%,0.20%,0.40%,,0.10%,2.20%,1.50%,,,,,,,,,
Grafton County,93.60%,0.90%,0.40%,3.00%,,0.40%,1.80%,1.80%,,,,,,,,,
Grantham,98.29%,0.28%,0.09%,0.42%,,0.09%,0.83%,0.55%,,,,,,,,,
Greenfield,97.28%,0.72%,0.84%,0.24%,,0.48%,0.42%,0.60%,,,,,,,,,
Greenland,97.79%,0.28%,0.03%,1.22%,0.03%,0.12%,0.53%,0.72%,,,,,,,,,
Greenville,97.00%,0.60%,0.50%,0.10%,0.20%,0.20%,1.40%,2.20%,,,,,,,,,
