,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Aberdeen Township,78.82%,12.02%,0.14%,5.51%,0.01%,1.75%,1.75%,7.02%,$68,125.00,$76,648.00,$51,649.00,$35,707.00,$28,984.00,3.80%,4.70%,7.10%,4.60%
Absecon,83.31%,6.01%,0.17%,7.46%,,1.51%,1.54%,3.77%,$55,745.00,$61,563.00,$47,984.00,$31,663.00,$23,615.00,3.20%,4.80%,5.90%,4.30%
Alexandria Township,97.02%,0.79%,0.11%,0.72%,0.04%,0.45%,0.87%,1.72%,$92,730.00,$93,619.00,$70,996.00,$39,904.00,$34,622.00,4.30%,5.00%,7.70%,2.70%
Allamuchy,97.44%,0.00%,0.00%,0.00%,1.28%,0.00%,1.28%,12.82%,,,,,,,,,
Allamuchy Township,93.45%,1.78%,0.14%,2.73%,0.02%,0.39%,1.48%,4.49%,,,,,,,,,
Allamuchy-Panther Valley,95.90%,0.96%,0.03%,2.08%,,0.51%,0.51%,2.37%,$67,301.00,$89,303.00,$54,732.00,$41,782.00,$45,829.00,0.30%,1.60%,0.80%,2.30%
Allendale,92.48%,0.39%,0.06%,6.09%,,0.46%,0.52%,2.54%,$105,704.00,$113,390.00,$88,210.00,$50,781.00,$47,772.00,1.60%,1.80%,2.70%,0.00%
Allenhurst,94.76%,1.01%,0.00%,1.01%,0.00%,1.41%,1.81%,4.44%,$85,000.00,$109,180.00,$70,625.00,$32,171.00,$42,710.00,1.00%,3.80%,1.60%,2.10%
Allentown,90.65%,6.43%,0.58%,0.64%,,0.58%,1.12%,1.91%,$71,193.00,$79,843.00,$55,441.00,$38,667.00,$29,455.00,1.00%,2.30%,2.60%,2.10%
Allenwood,97.75%,,0.11%,1.50%,,0.11%,0.53%,1.71%,$117,071.00,$120,472.00,$61,985.00,$47,500.00,$40,148.00,0.00%,0.00%,,
Alloway,93.09%,4.34%,0.71%,0.09%,0.00%,0.35%,1.42%,1.06%,$56,477.00,$66,346.00,$40,357.00,$32,083.00,$25,121.00,4.40%,11.20%,10.50%,11.80%
Alloway Township,90.70%,6.89%,0.54%,0.43%,,0.40%,1.05%,2.38%,$56,528.00,$65,132.00,$43,839.00,$27,188.00,$22,935.00,4.50%,8.20%,8.10%,4.60%
Alpha,97.06%,0.28%,0.04%,1.21%,,0.64%,0.77%,1.89%,$42,209.00,$45,435.00,$39,957.00,$26,576.00,$20,104.00,5.50%,7.60%,14.10%,9.70%
Alpine,77.37%,1.51%,0.23%,19.10%,0.05%,0.32%,1.42%,2.52%,$130,740.00,$134,068.00,$87,544.00,$45,536.00,$76,995.00,5.40%,6.20%,8.50%,6.40%
Anderson,63.16%,25.73%,2.05%,2.92%,0.00%,2.34%,3.80%,11.70%,,,,,,,,,
Andover,92.71%,2.28%,0.76%,2.28%,0.15%,1.22%,0.61%,2.58%,$60,000.00,$69,688.00,$38,056.00,$30,950.00,$25,914.00,0.00%,2.80%,0.00%,9.10%
Andover Township,94.45%,1.86%,0.08%,2.30%,0.03%,0.60%,0.68%,2.25%,$75,748.00,$78,439.00,$57,098.00,$36,268.00,$29,180.00,1.30%,3.50%,1.90%,5.30%
Annandale,96.47%,0.63%,,2.19%,,0.63%,0.08%,1.72%,$80,738.00,$104,009.00,$65,814.00,$37,171.00,$30,176.00,0.00%,1.00%,0.00%,8.00%
Asbury,99.27%,0.00%,0.00%,0.37%,0.00%,0.37%,0.00%,0.73%,,,,,,,,,
