,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Accord,92.44%,2.41%,0.80%,1.45%,,0.16%,2.73%,3.86%,$52,083.00,$48,542.00,$25,368.00,$35,455.00,,4.10%,,2.20%,24.50%
Adams,97.97%,0.29%,0.27%,0.36%,0.02%,0.21%,0.88%,0.65%,$38,012.00,$48,354.00,$34,000.00,$25,610.00,$27,059.00,0.00%,0.30%,12.70%,7.00%
Adams (village),97.91%,0.74%,0.25%,0.12%,,0.18%,0.80%,1.11%,,,,,,,,,
Adams Center,98.67%,0.07%,0.20%,0.27%,0.07%,0.13%,0.60%,0.47%,$41,938.00,$49,485.00,$35,441.00,$24,219.00,$20,833.00,0.00%,14.30%,7.90%,0.00%
Addison,98.45%,0.30%,0.34%,0.04%,,0.08%,0.80%,0.61%,$31,942.00,$37,813.00,$32,159.00,$22,708.00,$19,236.00,0.00%,2.80%,23.10%,9.70%
Addison (village),98.66%,0.17%,0.39%,,,,0.78%,0.45%,$31,532.00,$37,708.00,$30,313.00,$21,053.00,$15,215.00,14.00%,17.50%,23.80%,9.20%
Afton,98.66%,0.27%,0.54%,0.07%,,0.07%,0.40%,0.74%,$33,730.00,$40,122.00,$30,656.00,$25,247.00,$20,704.00,0.00%,6.70%,15.40%,7.30%
Afton (village),98.44%,0.12%,1.08%,0.12%,,,0.24%,1.32%,$34,412.00,$38,194.00,$30,972.00,$21,250.00,$17,299.00,9.30%,9.80%,16.90%,9.00%
Airmont,86.30%,3.50%,0.17%,2.53%,0.03%,1.00%,1.36%,5.26%,$87,678.00,$97,960.00,$67,663.00,$36,550.00,$29,788.00,1.60%,3.30%,2.20%,5.90%
Akron,97.57%,0.39%,1.39%,0.03%,,0.13%,0.49%,0.65%,$35,313.00,$48,083.00,$33,250.00,$24,327.00,$17,712.00,4.90%,8.20%,7.00%,8.80%
Alabama,95.16%,0.85%,2.23%,0.21%,0.11%,,1.44%,0.85%,$40,223.00,$45,947.00,$32,454.00,$23,456.00,$18,377.00,0.00%,10.50%,5.90%,7.20%
Albany,,,,,,,,,$71,943.00,$74,666.00,,$67,732.00,$55,036.00,16.00%,21.70%,28.80%,12.50%
Albany County,78.20%,12.70%,0.20%,4.80%,0.00%,1.60%,2.50%,4.90%,$42,935.00,$56,724.00,$39,838.00,$30,127.00,,13.10%,,14.90%,6.30%
Albertson,70.40%,0.30%,0.02%,24.30%,,1.27%,1.83%,5.50%,$66,516.00,$77,516.00,$55,000.00,$44,792.00,,4.70%,,5.40%,5.50%
Albion (town), Orleans County,76.30%,17.60%,0.60%,0.50%,,2.30%,2.60%,7.40%,$39,986.00,,,,,16.90%,,,
Albion (village),73.88%,18.20%,0.69%,0.58%,0.08%,4.99%,1.59%,9.32%,$30,010.00,$34,881.00,$31,660.00,$22,157.00,$13,531.00,13.00%,14.90%,18.50%,8.70%
Albion, Oswego County,98.42%,0.05%,0.34%,0.14%,,0.10%,0.96%,0.62%,$38,083.00,$40,000.00,$32,667.00,$21,875.00,$20,268.00,0.00%,9.00%,16.30%,9.90%
Alden,90.96%,6.77%,0.29%,0.23%,0.06%,1.43%,0.27%,2.72%,$47,472.00,$53,969.00,$32,458.00,$26,302.00,$65,489.00,0.00%,0.00%,8.00%,7.00%
Alden (village),98.72%,0.34%,0.08%,0.56%,0.11%,,0.19%,0.19%,$41,630.00,$51,161.00,$34,821.00,$24,245.00,$20,864.00,4.90%,7.60%,9.80%,6.50%
Alexander,98.45%,0.29%,0.20%,0.33%,,0.08%,0.65%,0.49%,$43,500.00,$51,364.00,$37,553.00,$21,020.00,,6.90%,,10.30%,3.90%
Alexander (village),98.34%,,0.21%,0.83%,,,0.62%,0.42%,$51,528.00,$60,000.00,$42,917.00,$21,071.00,$26,837.00,0.00%,0.80%,0.00%,0.00%
Alexandria,98.54%,0.29%,0.22%,0.02%,0.05%,0.17%,0.71%,0.63%,$33,333.00,$42,813.00,$30,870.00,$21,050.00,$22,588.00,0.00%,0.00%,17.20%,12.20%
Alexandria Bay,99.08%,0.09%,0.09%,,,,0.74%,0.37%,$29,338.00,$36,979.00,$31,250.00,$21,429.00,$16,875.00,11.00%,13.50%,16.30%,18.70%
Alfred,91.79%,3.46%,0.25%,2.47%,0.02%,0.95%,1.05%,2.26%,$32,067.00,$57,159.00,$28,667.00,$29,821.00,$15,955.00,0.00%,7.60%,3.30%,3.10%
Alfred (village),90.21%,4.40%,0.33%,2.71%,0.03%,1.21%,1.11%,2.73%,$21,313.00,$70,694.00,$15,750.00,$39,375.00,$8,224.00,2.00%,37.70%,0.00%,2.80%
Allegany (town),96.40%,0.79%,0.33%,1.32%,0.02%,0.26%,0.87%,0.94%,$38,818.00,$45,972.00,$36,801.00,$24,420.00,$19,642.00,0.00%,11.90%,6.60%,7.50%
Allegany (village),96.55%,0.53%,0.21%,2.02%,0.05%,0.11%,0.53%,0.69%,$35,000.00,$51,354.00,$39,844.00,$21,761.00,$17,306.00,6.00%,18.80%,11.90%,13.00%
Allegany County,97.03%,0.72%,0.28%,0.72%,,0.37%,0.88%,0.91%,$32,106.00,$38,580.00,$30,401.00,$21,466.00,$18,568.00,0.00%,25.00%,19.20%,7.50%
Allen,98.92%,,0.43%,,,,0.65%,0.22%,$27,386.00,$29,688.00,$26,528.00,$21,563.00,$17,432.00,0.00%,10.50%,19.20%,14.30%
Alma,97.99%,0.12%,0.35%,0.24%,,0.24%,1.06%,,$32,063.00,$35,833.00,$31,023.00,$17,778.00,$13,061.00,8.00%,12.00%,16.20%,8.80%
Almond,96.95%,0.06%,,2.12%,,0.56%,0.31%,0.50%,$38,472.00,$48,839.00,$32,026.00,$25,000.00,$7,923.00,0.00%,38.90%,13.80%,8.90%
Almond (village),97.83%,,,0.87%,,0.87%,0.43%,0.87%,$31,000.00,$42,000.00,$35,714.00,$21,563.00,$18,509.00,11.50%,16.60%,27.30%,8.20%
Altamont,97.64%,1.09%,,0.12%,0.06%,0.17%,0.92%,1.04%,$52,500.00,$61,750.00,$45,865.00,$32,721.00,$23,232.00,2.70%,4.00%,3.50%,5.90%
Altmar,98.01%,,,,,,1.99%,,$31,786.00,$33,750.00,$25,250.00,$21,250.00,$19,333.00,15.90%,21.40%,28.70%,29.40%
Altona,82.50%,11.96%,0.35%,0.13%,,4.75%,0.32%,8.10%,$37,500.00,$41,442.00,$31,217.00,$25,491.00,$18,982.00,0.00%,6.60%,13.70%,25.70%
Altona,49.43%,35.42%,0.76%,0.19%,,13.83%,0.38%,23.58%,$44,688.00,$51,528.00,$24,628.00,$23,864.00,$25,694.00,0.00%,2.20%,20.80%,10.90%
Amagansett,96.44%,1.69%,0.28%,0.37%,,0.28%,0.94%,4.03%,$56,406.00,$69,306.00,$48,750.00,$36,500.00,,5.30%,,4.70%,4.90%
Amboy,96.57%,1.14%,0.38%,0.08%,,0.61%,1.22%,0.76%,$33,315.00,$34,702.00,$30,000.00,$22,833.00,$18,252.00,0.00%,7.40%,14.90%,6.80%
Amenia,91.03%,3.32%,0.90%,0.72%,,1.35%,2.69%,3.50%,$42,404.00,$50,700.00,$30,845.00,$29,671.00,,6.50%,,0.00%,0.00%
Amenia (town),93.40%,2.94%,0.59%,0.47%,,0.77%,1.83%,3.36%,$39,231.00,$51,294.00,$32,038.00,$28,769.00,,8.10%,,2.00%,12.70%
Ames,99.42%,,,,,,0.58%,,$32,500.00,$38,750.00,$30,000.00,$23,750.00,$17,794.00,8.70%,8.80%,13.20%,16.70%
Amherst,83.80%,5.70%,0.20%,7.90%,0.00%,0.50%,1.80%,2.30%,$55,427.00,$68,951.00,$51,667.00,$32,030.00,,6.40%,,6.60%,5.40%
Amity,97.68%,0.76%,0.04%,0.09%,,0.09%,1.34%,0.76%,$34,153.00,$40,387.00,$31,394.00,$21,065.00,$18,967.00,0.00%,5.80%,15.30%,4.20%
Amityville,81.70%,9.70%,0.30%,1.80%,0.00%,4.10%,2.50%,13.10%,$74,366.00,$35,411.00,,,,,6.50%,,
Amsterdam (city),80.40%,3.80%,0.60%,0.90%,0.00%,,3.40%,26.20%,$33,750.00,$38,654.00,$27,361.00,$22,063.00,$15,076.00,9.80%,9.90%,11.70%,
Amsterdam (town),,,,,,,,,$37,097.00,$46,667.00,$34,476.00,$23,533.00,$9,508.00,0.00%,23.70%,4.80%,8.60%
Ancram,97.69%,1.06%,0.13%,0.13%,,,0.99%,0.93%,$45,726.00,$47,708.00,$31,196.00,$25,625.00,,7.40%,,5.40%,12.00%
Andes,96.90%,0.44%,0.29%,0.59%,,1.03%,0.74%,1.92%,$35,119.00,$39,474.00,$28,074.00,$22,847.00,,9.40%,,14.40%,6.80%
Andes,96.89%,0.69%,,0.35%,,1.73%,0.35%,3.11%,$32,857.00,$47,500.00,$28,281.00,$23,333.00,$22,716.00,6.80%,7.60%,3.60%,2.70%
Andes (hamlet),96.89%,0.69%,,0.35%,,1.73%,0.35%,3.11%,$32,857.00,$47,500.00,$28,281.00,$23,333.00,$22,716.00,6.80%,7.60%,3.60%,2.70%
Andover,97.89%,0.15%,0.10%,0.51%,,0.46%,0.87%,1.13%,$34,107.00,$40,341.00,$30,742.00,$21,012.00,,10.40%,,13.30%,3.60%
Andover (village),97.02%,0.19%,0.19%,0.56%,,0.65%,1.40%,1.21%,$31,563.00,$38,125.00,$30,417.00,$20,804.00,$17,766.00,7.30%,12.00%,16.10%,3.00%
Angelica,97.87%,0.28%,0.50%,0.07%,,,1.28%,0.35%,$33,750.00,$37,891.00,$28,958.00,$21,328.00,$21,037.00,0.00%,3.10%,16.10%,9.30%
Angelica (village),98.01%,,0.78%,0.11%,,,1.11%,0.44%,$32,734.00,$37,500.00,$27,440.00,$20,893.00,$15,486.00,10.20%,12.50%,18.10%,8.70%
Angola,96.60%,0.44%,1.32%,0.35%,,0.40%,0.88%,1.46%,$40,050.00,$48,352.00,$37,931.00,$27,298.00,$17,598.00,7.60%,11.20%,18.80%,2.60%
Angola on the Lake,98.76%,0.34%,0.28%,,,0.06%,0.56%,0.85%,$28,641.00,$38,167.00,$29,167.00,$22,750.00,,13.00%,,19.30%,1.50%
Annsville,96.75%,2.33%,0.24%,0.07%,,0.10%,0.51%,0.88%,$35,804.00,$42,841.00,$30,000.00,$21,541.00,$18,615.00,0.00%,23.10%,19.70%,0.00%
Antwerp,97.99%,0.39%,0.06%,0.33%,,0.39%,0.84%,1.56%,$34,250.00,$40,192.00,$28,824.00,$21,250.00,$16,849.00,0.00%,6.30%,22.50%,10.60%
Antwerp (village),96.51%,0.28%,0.14%,0.84%,,0.98%,1.26%,2.93%,$33,472.00,$40,833.00,$36,042.00,$23,542.00,$12,881.00,15.70%,19.20%,26.50%,9.20%
Apalachin,96.54%,0.98%,0.27%,0.62%,,0.53%,1.07%,0.53%,$38,636.00,$42,647.00,$21,902.00,$25,357.00,$18,502.00,0.00%,2.60%,19.40%,0.00%
Aquebogue,92.77%,5.24%,0.04%,0.31%,,0.53%,1.11%,3.24%,$54,453.00,$60,375.00,$38,776.00,$37,750.00,,10.80%,,10.60%,16.50%
Arcade,98.52%,0.22%,0.22%,0.38%,0.02%,0.17%,0.48%,0.86%,$35,982.00,$43,077.00,$32,936.00,$22,222.00,$22,351.00,0.00%,2.10%,7.30%,9.90%
Arcade (village),98.82%,0.35%,0.15%,0.25%,,0.10%,0.35%,1.33%,$33,724.00,$42,688.00,$33,646.00,$25,441.00,$16,577.00,4.90%,8.80%,11.70%,8.50%
Arcadia,89.30%,4.60%,0.30%,0.50%,0.10%,2.20%,2.90%,6.80%,$44,993.00,$54,415.00,$38,636.00,$33,172.00,,15.00%,,22.30%,10.80%
Ardsley,84.00%,1.52%,0.09%,12.34%,0.02%,0.73%,1.29%,4.26%,$105,293.00,$126,239.00,$88,012.00,$57,216.00,$47,086.00,0.40%,1.30%,0.40%,3.80%
Argyle,98.94%,0.22%,0.03%,0.03%,,0.27%,0.52%,1.03%,$41,133.00,$44,414.00,$32,253.00,$21,250.00,,7.60%,,11.30%,7.70%
Argyle (village),97.92%,0.35%,,,,1.73%,,2.08%,$36,500.00,$41,667.00,$24,792.00,$26,563.00,$18,396.00,8.80%,10.50%,16.70%,3.90%
