,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Abercrombie,96.62%,,1.35%,0.34%,,,1.69%,,$34,167.00,$37,125.00,$30,000.00,$17,321.00,$17,507.00,0.00%,5.80%,19.50%,0.00%
Adams,94.58%,,,,,1.97%,3.45%,7.39%,$25,938.00,$30,750.00,$29,750.00,$15,833.00,$17,750.00,0.00%,5.70%,24.00%,13.50%
Adams County,97.30%,0.30%,0.70%,0.40%,0.10%,0.20%,1.10%,0.90%,$35,966.00,$50,227.00,$31,290.00,$25,145.00,$20,118.00,5.70%,10.60%,7.10%,14.20%
Alamo,100.00%,,,,,,,,$27,917.00,$29,792.00,$30,000.00,$11,667.00,$23,619.00,0.00%,2.50%,100.00%,14.30%
Alexander,93.55%,,5.99%,,,0.46%,,1.38%,$26,042.00,$35,625.00,$25,000.00,$20,000.00,$16,206.00,0.00%,8.40%,24.70%,21.10%
Alice,98.21%,,,,,,1.79%,,$35,750.00,$36,750.00,$26,250.00,$18,750.00,$17,364.00,0.00%,10.10%,,
Almont,100.00%,,,,,,,,$25,625.00,$30,625.00,$24,375.00,$15,000.00,$17,374.00,,8.30%,38.90%,
Alsen,97.06%,,,,,,2.94%,1.47%,$57,500.00,$65,000.00,$51,250.00,$41,250.00,$16,777.00,0.00%,19.70%,70.60%,28.60%
Ambrose,100.00%,,,,,,,,$56,250.00,$75,138.00,$55,417.00,$8,750.00,,,,100.00%,
Amenia,100.00%,,,,,,,,$41,250.00,$51,250.00,$31,250.00,$18,438.00,$21,304.00,,4.60%,15.40%,
Amidon,100.00%,,,,,,,,$27,188.00,$31,250.00,$36,250.00,$16,250.00,$7,655.00,0.00%,31.90%,,
Anamoose,99.65%,,,,,,0.35%,0.00%,$28,438.00,$40,192.00,$28,750.00,$19,688.00,$18,731.00,0.00%,6.10%,11.90%,22.80%
Aneta,97.54%,,1.06%,0.70%,,0.35%,0.35%,0.70%,$24,792.00,$33,125.00,$25,500.00,$15,625.00,$18,410.00,0.00%,5.70%,8.60%,4.00%
