,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Aberdeen,96.88%,1.37%,0.81%,0.19%,,0.37%,0.37%,1.25%,$30,202.00,$33,906.00,$32,500.00,$23,889.00,$16,287.00,18.60%,21.90%,31.90%,18.30%
Ada,95.50%,1.58%,0.13%,1.25%,,0.30%,1.24%,0.59%,$24,665.00,$39,300.00,$32,143.00,$23,750.00,$12,561.00,11.70%,21.90%,10.90%,19.40%
Adams County,97.70%,0.30%,0.40%,0.10%,,0.20%,1.30%,0.90%,$32,791.00,$40,305.00,$37,277.00,$25,746.00,$17,693.00,18.80%,23.00%,30.00%,16.80%
Adamsville,100.00%,,,,,,,,$35,000.00,$40,000.00,$27,813.00,$16,964.00,$11,703.00,7.90%,4.80%,13.30%,0.00%
Addyston,87.82%,8.42%,0.50%,0.40%,,1.09%,1.78%,1.78%,$33,000.00,$34,808.00,$29,583.00,$25,536.00,$13,266.00,9.20%,11.60%,14.40%,14.80%
Adelphi,96.23%,2.96%,,,,,0.81%,0.54%,$33,125.00,$37,143.00,$30,250.00,$24,375.00,$14,657.00,13.20%,13.60%,18.40%,23.30%
Adena,98.28%,1.23%,,0.12%,,,0.37%,,$25,341.00,$30,156.00,$30,313.00,$17,679.00,$14,941.00,16.90%,20.60%,30.20%,14.40%
Akron,62.20%,31.50%,0.20%,2.10%,,0.80%,3.20%,2.10%,,,,,,,,,
Albany,97.28%,1.11%,0.12%,0.12%,0.12%,0.87%,0.37%,1.49%,$31,534.00,$42,750.00,$30,750.00,$22,083.00,$16,047.00,8.30%,13.20%,22.60%,15.00%
Alexandria,98.82%,,1.18%,,,,,1.18%,$29,688.00,$41,250.00,$26,250.00,$0.00,$16,235.00,0.00%,0.00%,,
Alger,99.44%,,0.11%,,,,0.45%,0.11%,$26,447.00,$33,438.00,$29,250.00,$18,636.00,$14,742.00,13.50%,18.80%,25.00%,15.90%
Allen County,83.80%,11.90%,0.20%,0.70%,,0.80%,2.60%,2.40%,$43,632.00,$55,549.00,$43,277.00,$31,148.00,$21,713.00,12.00%,16.30%,25.10%,6.80%
Alliance,85.51%,11.19%,0.17%,0.77%,0.02%,0.41%,1.93%,1.17%,$30,078.00,$37,011.00,$31,033.00,$20,063.00,$18,804.00,0.00%,13.10%,26.80%,10.70%
Alvordton,94.43%,1.31%,0.98%,,,1.64%,1.64%,3.61%,$36,250.00,$43,375.00,$25,000.00,$19,205.00,$16,525.00,8.40%,11.50%,18.10%,14.70%
Alvordton,94.43%,1.31%,0.98%,,,1.64%,1.64%,3.61%,$36,250.00,$43,375.00,$25,000.00,$19,205.00,$16,525.00,8.40%,11.50%,18.10%,14.70%
Amanda,98.59%,,0.28%,,,,1.13%,0.71%,$40,114.00,$43,750.00,$36,563.00,$21,176.00,$16,208.00,3.60%,3.60%,2.30%,1.80%
Amberley,87.42%,8.85%,0.09%,2.39%,,0.32%,0.93%,0.53%,$81,492.00,$92,684.00,$61,220.00,$37,750.00,$51,225.00,3.50%,3.50%,3.50%,5.10%
Amelia,96.77%,0.58%,0.07%,0.29%,,0.73%,1.56%,1.27%,$44,900.00,$51,699.00,$37,500.00,$26,295.00,$17,772.00,5.00%,7.60%,5.70%,14.10%
Amesville,95.65%,1.09%,1.63%,,,,1.63%,2.17%,$35,000.00,$44,000.00,$29,583.00,$24,063.00,$16,554.00,8.30%,8.00%,11.50%,0.00%
Amherst,96.84%,0.53%,0.14%,0.73%,0.01%,0.78%,0.98%,2.93%,$53,516.00,$57,990.00,$47,750.00,$27,880.00,,2.10%,,0.30%,3.50%
Amsterdam,98.59%,0.18%,1.23%,,,,,0.35%,$24,583.00,$29,107.00,$28,125.00,$14,750.00,$11,225.00,18.50%,23.70%,38.60%,8.10%
Anderson Township, Hamilton County,86.90%,7.10%,,,,6.00%,,,$88,008.00,,,,,,,,
Andersonville,,,,,,,,,,,,,,,,,
Andover,95.82%,3.07%,,,,0.32%,0.79%,1.18%,$31,250.00,$45,526.00,$31,845.00,$22,679.00,$14,702.00,8.20%,10.70%,11.30%,20.70%
Anna,97.40%,0.40%,0.40%,0.20%,,0.10%,1.50%,0.60%,$48,676.00,$51,797.00,$36,250.00,$25,463.00,$19,835.00,3.40%,3.60%,2.70%,3.80%
Ansonia,99.13%,,0.26%,,,0.52%,0.09%,1.40%,$35,882.00,$38,529.00,$28,452.00,$22,460.00,$16,633.00,4.20%,7.00%,12.70%,1.70%
Antioch,100.00%,,,,,,,3.37%,$25,313.00,$41,250.00,$28,750.00,$20,750.00,$14,547.00,3.80%,10.80%,5.60%,31.80%
Antwerp,97.82%,0.34%,0.34%,,,0.69%,0.80%,2.18%,$33,139.00,$40,441.00,$33,684.00,$23,158.00,$18,785.00,5.60%,8.90%,12.10%,6.60%
Apple Creek,98.10%,,,0.50%,0.10%,0.20%,1.10%,0.50%,$41,574.00,$47,500.00,$30,917.00,$24,226.00,$18,113.00,3.50%,5.50%,5.30%,7.00%
Apple Valley,,,,,,,,,,,,,,,,,
Aquilla,98.39%,0.27%,,0.81%,,,0.54%,0.27%,$48,750.00,$50,750.00,$29,643.00,$19,583.00,$16,256.00,0.00%,1.60%,0.00%,0.00%
Arcadia,98.51%,,0.37%,,,1.12%,,2.05%,$48,125.00,$51,538.00,$36,167.00,$20,227.00,$18,525.00,7.50%,8.20%,11.00%,2.90%
Arcanum,98.75%,,0.05%,0.19%,,,1.01%,0.39%,$42,649.00,$51,429.00,$36,850.00,$21,597.00,$19,597.00,2.50%,3.50%,2.00%,5.90%
Archbold,91.54%,0.47%,0.33%,0.51%,,5.78%,1.38%,12.42%,$43,155.00,$52,050.00,$37,243.00,$25,990.00,$21,971.00,1.80%,4.40%,4.80%,3.10%
Arlington,99.48%,0.15%,,,,,0.37%,0.22%,$39,115.00,$51,324.00,$36,118.00,$22,917.00,$18,333.00,3.90%,5.40%,7.00%,3.80%
