,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Achille,71.34%,0.20%,22.33%,0.40%,,0.40%,5.34%,0.59%,$28,333.00,$24,000.00,$21,190.00,$14,904.00,$16,089.00,,8.10%,39.60%,9.80%
Adair,,,,,,,,,$35,250.00,$38,500.00,$31,313.00,$17,500.00,$17,922.00,0.00%,12.20%,22.20%,2.80%
Adair County,,,,,,,,,$27,258.00,$32,930.00,$28,370.00,$23,384.00,$17,188.00,0.00%,5.50%,36.80%,18.70%
Addington,92.31%,,2.56%,,,3.42%,1.71%,5.98%,,,,,,,,,
Afton,77.46%,0.09%,14.58%,0.09%,,,7.78%,1.70%,$21,964.00,$28,036.00,$22,361.00,$16,964.00,$15,990.00,0.00%,6.80%,32.60%,5.10%
Akins,70.16%,1.56%,15.81%,,,0.22%,12.25%,1.34%,$28,750.00,$27,143.00,$22,083.00,$16,750.00,$11,996.00,18.00%,20.60%,29.60%,12.50%
Albany,,,,,,,,,,,,,,,,,
Alderson,67.05%,3.45%,18.77%,0.38%,,0.38%,9.96%,1.92%,$23,750.00,$31,250.00,$23,750.00,$17,292.00,$16,159.00,0.00%,3.90%,18.20%,26.70%
Alex,91.18%,,6.30%,0.16%,,0.79%,1.57%,1.89%,$27,353.00,$31,364.00,$29,750.00,$21,563.00,$17,110.00,0.00%,8.80%,18.70%,10.10%
Alfalfa County,,,,,,,,,$42,730.00,$56,444.00,,,$24,080.00,0.00%,11.00%,7.40%,
Aline,95.79%,,0.93%,,,0.47%,2.80%,1.40%,$25,556.00,$28,333.00,$26,500.00,$17,083.00,$16,656.00,0.00%,11.30%,21.10%,33.30%
Allen,77.29%,0.42%,14.30%,0.11%,,0.95%,6.94%,2.00%,$22,632.00,$26,845.00,$21,739.00,$17,500.00,$15,969.00,0.00%,16.00%,24.20%,23.40%
Altus,72.62%,10.41%,1.48%,1.38%,0.20%,10.32%,3.59%,17.25%,$30,217.00,$38,400.00,$28,041.00,$18,856.00,$19,101.00,0.00%,8.50%,22.70%,12.80%
Alva,94.99%,1.30%,1.34%,0.78%,0.04%,0.23%,1.32%,1.82%,$27,432.00,$38,041.00,$27,531.00,$17,981.00,$29,832.00,0.00%,0.70%,13.80%,7.00%
Amber,89.18%,0.20%,4.90%,,1.22%,0.20%,4.29%,2.04%,$32,083.00,$34,688.00,$24,531.00,$20,375.00,$16,322.00,0.00%,18.60%,9.20%,22.20%
Ames,97.99%,,,,,2.01%,,4.52%,$26,563.00,$33,438.00,$26,563.00,$18,750.00,$16,567.00,0.00%,12.40%,46.90%,14.00%
