,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Adair Village,87.87%,0.75%,2.43%,1.31%,1.49%,1.12%,5.04%,4.48%,$49,000.00,$51,667.00,$38,750.00,$29,286.00,$20,932.00,0.00%,1.60%,9.80%,0.00%
Adams,95.96%,,2.02%,0.67%,,0.34%,1.01%,0.34%,$42,500.00,$45,556.00,$33,750.00,$21,538.00,$14,974.00,4.30%,6.40%,3.10%,0.00%
Adrian,85.03%,,0.68%,,,10.88%,3.40%,14.97%,$30,000.00,$38,438.00,$31,250.00,$26,667.00,$15,946.00,0.00%,7.10%,3.10%,22.50%
Albany,91.68%,0.53%,1.22%,1.14%,0.21%,2.65%,2.56%,6.09%,$39,409.00,$46,094.00,$36,457.00,$24,480.00,$53,046.00,0.00%,2.40%,14.10%,7.50%
Aloha,79.40%,1.35%,0.78%,7.69%,0.37%,6.70%,3.72%,12.93%,$52,299.00,$56,566.00,$40,369.00,$29,921.00,$19,685.00,5.60%,7.90%,9.40%,5.20%
Altamont,,,,,,,,,$31,831.00,$37,715.00,$31,229.00,$22,495.00,$20,160.00,0.00%,2.50%,19.40%,6.40%
Amity,90.73%,0.14%,1.42%,0.68%,0.07%,5.01%,1.96%,11.50%,$40,556.00,$42,375.00,$30,417.00,$25,662.00,$17,189.00,0.00%,8.00%,9.70%,17.50%
Antelope,91.30%,,2.20%,2.20%,,,4.30%,,,,,,,,,,
Arlington,95.42%,,1.72%,,,1.72%,1.15%,3.24%,$35,714.00,$45,875.00,$34,250.00,$21,161.00,$28,723.00,0.00%,2.50%,15.60%,9.70%
Ashland,90.00%,1.00%,1.00%,2.00%,0.30%,1.40%,4.00%,5.00%,,,,,,,,,
Astoria,,,,,,,,,$33,011.00,$41,446.00,$29,813.00,$22,121.00,$7,550.00,0.00%,33.50%,22.00%,9.60%
Athena,90.17%,,3.69%,0.16%,0.08%,3.60%,2.29%,5.16%,$36,875.00,$40,234.00,$30,323.00,$20,598.00,$19,407.00,0.00%,6.10%,15.30%,9.30%
Aumsville,86.75%,0.30%,1.83%,0.47%,0.17%,6.06%,4.43%,11.39%,$40,704.00,$41,316.00,$32,723.00,$24,514.00,$17,793.00,0.00%,6.90%,23.70%,11.10%
Aurora,94.20%,0.46%,0.61%,1.07%,,1.98%,1.68%,6.26%,$55,938.00,$65,556.00,$45,938.00,$29,444.00,,1.60%,,7.50%,
Baker City,94.57%,0.44%,1.12%,0.53%,0.01%,0.97%,2.35%,3.52%,,,,,,,,,
Baker County,94.60%,0.40%,1.10%,0.50%,0.10%,1.00%,2.40%,3.30%,$39,704.00,$50,507.00,$43,849.00,$30,167.00,$21,683.00,12.70%,19.90%,27.20%,10.60%
Bandon,92.48%,0.25%,1.94%,0.60%,0.11%,0.95%,3.67%,2.75%,$29,492.00,$37,188.00,$28,636.00,$22,722.00,,16.00%,,34.10%,6.00%
Banks,91.14%,0.39%,0.31%,1.79%,0.47%,2.80%,3.11%,3.81%,$57,500.00,$61,932.00,$42,330.00,$26,818.00,,3.20%,,2.10%,4.60%
Barlow,90.71%,,,0.71%,,3.57%,5.00%,9.29%,$41,250.00,$46,250.00,$35,156.00,$37,917.00,$17,966.00,0.00%,6.80%,7.90%,0.00%
Barview,91.83%,0.21%,3.26%,1.44%,0.05%,0.59%,2.62%,2.99%,$28,098.00,$30,257.00,$28,714.00,$17,347.00,$16,802.00,0.00%,6.90%,24.70%,13.00%
Bay City,93.73%,0.44%,1.74%,0.70%,0.17%,0.87%,2.35%,3.13%,$33,375.00,$41,563.00,$33,558.00,$21,827.00,$7,415.00,0.00%,42.10%,17.20%,8.40%
Beaver,93.10%,,1.38%,,,,5.52%,,$34,286.00,$38,542.00,$21,250.00,$13,750.00,$24,188.00,0.50%,7.90%,0.00%,26.10%
Beaverton,73.00%,2.60%,0.60%,10.50%,0.50%,8.20%,4.50%,16.30%,,,,,,,,,
Bend,93.98%,0.28%,0.79%,1.00%,0.08%,1.75%,2.12%,4.61%,$40,857.00,$58,800.00,$33,377.00,$25,094.00,$21,624.00,6.90%,10.50%,13.80%,5.80%
Benton County,87.10%,0.90%,0.70%,5.20%,0.20%,2.30%,3.60%,6.40%,$48,012.00,$71,763.00,$50,282.00,$35,387.00,$26,177.00,7.70%,19.10%,13.60%,5.50%
Biggs Junction,68.00%,,,6.00%,,26.00%,,26.00%,$19,167.00,$66,250.00,$40,750.00,$18,750.00,,22.50%,,0.00%,
Boardman,55.24%,0.39%,1.93%,0.70%,0.11%,38.74%,2.91%,50.12%,,,,,,,,,
Bonanza,85.54%,0.48%,0.96%,0.24%,0.72%,5.54%,6.51%,13.00%,$31,944.00,$36,786.00,$21,979.00,$18,750.00,$15,833.00,0.00%,7.50%,21.90%,11.90%
Brookings,92.20%,0.30%,1.80%,0.90%,0.10%,0.90%,3.60%,6.60%,,,,,,,,,
Brooks,82.68%,0.24%,1.22%,,0.24%,15.12%,0.49%,22.20%,$25,938.00,$26,318.00,$27,375.00,$18,750.00,$16,321.00,0.00%,10.10%,10.40%,18.90%
Brownsville,93.65%,0.35%,1.66%,0.14%,,0.55%,3.66%,2.07%,$35,486.00,$39,671.00,$37,400.00,$24,643.00,$18,908.00,0.00%,7.30%,11.00%,7.40%
Bunker Hill,88.58%,0.34%,3.35%,0.68%,0.07%,3.49%,3.49%,6.57%,$24,556.00,$28,600.00,$28,750.00,$18,750.00,$15,902.00,0.00%,8.00%,37.30%,22.90%
Burns,92.20%,0.30%,2.60%,0.70%,,0.70%,3.30%,4.70%,$32,877.00,$42,885.00,,,$19,567.00,0.00%,,,20.00%
Butte Falls,93.85%,,2.73%,0.23%,,0.91%,2.28%,2.51%,$23,750.00,$30,132.00,$27,188.00,$14,875.00,$16,158.00,0.00%,4.10%,25.20%,28.60%
Butteville,95.56%,,2.05%,0.34%,,1.71%,0.34%,2.73%,$36,429.00,$65,625.00,$71,875.00,$26,607.00,,12.40%,,0.00%,0.00%
Canby,88.42%,0.47%,0.77%,1.00%,0.13%,7.47%,1.74%,15.52%,$45,811.00,$49,690.00,$42,145.00,$28,775.00,,7.40%,,9.30%,5.70%
Cannon Beach,92.57%,0.19%,0.88%,0.31%,,3.27%,2.77%,10.52%,$39,271.00,$45,329.00,$31,250.00,$21,641.00,,12.00%,,16.30%,2.10%
Canyon City,90.58%,0.15%,2.84%,,,2.09%,4.33%,4.63%,$29,940.00,$41,458.00,$31,167.00,$23,438.00,$14,404.00,,7.80%,9.20%,0.00%
