,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Ashaway,94.14%,0.88%,1.55%,0.88%,,,1.48%,2.83%,$47,271.00,$49,125.00,$41,375.00,$25,556.00,$21,149.00,6.60%,7.90%,12.50%,9.60%
Barrington,,,,,,,,,$94,591.00,$124,657.00,$59,722.00,$36,195.00,$55,881.00,3.00%,3.40%,2.50%,7.20%
Bradford,96.33%,0.67%,0.73%,0.60%,,0.40%,1.27%,1.94%,$42,130.00,$40,370.00,$36,250.00,$24,353.00,$14,004.00,12.40%,13.10%,17.40%,0.00%
Bridgeton,,,,,,,,,,,,,,,,,
Bristol,,,,,,,,,,,,,,,,,
Bristol County,95.70%,0.80%,0.20%,1.40%,,0.40%,1.50%,2.00%,,,,,,,,,
Burrillville,98.56%,0.22%,0.20%,0.22%,0.03%,0.25%,0.53%,0.84%,,,,,,,,,
Carolina,,,,,,,,,,,,,,,,,
Central Falls,57.16%,5.82%,0.57%,0.68%,0.40%,28.35%,7.38%,47.77%,,,,,,,,,
Charlestown,96.26%,0.38%,1.26%,0.61%,0.03%,0.53%,0.93%,1.11%,,,,,,,,,
Chepachet,,,,,,,,,,,,,,,,,
Clayville,,,,,,,,,,,,,,,,,
Coventry,97.60%,0.39%,0.15%,0.56%,0.03%,0.31%,0.97%,1.14%,,,,,,,,,
Cranston,89.19%,3.69%,0.30%,3.28%,0.04%,1.93%,1.57%,4.56%,,,,,,,,,
Cumberland,92.80%,1.50%,0.30%,2.30%,0.03%,1.40%,1.70%,4.50%,,,,,,,,,
Cumberland Hill,96.89%,0.39%,0.03%,1.28%,0.04%,0.53%,0.85%,1.25%,$57,697.00,$68,361.00,$44,332.00,$31,650.00,$28,879.00,2.20%,2.90%,1.10%,6.80%
East Greenwich,96.64%,0.69%,0.06%,2.50%,0.01%,0.29%,0.82%,0.90%,,,,,,,,,
East Providence,86.49%,5.02%,0.46%,1.15%,0.05%,2.80%,4.03%,1.89%,,,,,,,,,
Exeter,96.36%,0.66%,0.60%,0.74%,0.02%,0.33%,1.29%,1.27%,,,,,,,,,
Foster,97.26%,0.21%,0.23%,0.58%,0.09%,0.26%,1.36%,0.80%,,,,,,,,,
Foster Center,,,,,,,,,,,,,,,,,
