,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Abbeville County,69.60%,28.30%,0.20%,0.30%,,0.40%,1.10%,1.00%,$33,143.00,$45,147.00,$39,217.00,$29,199.00,$16,653.00,16.30%,20.70%,26.80%,16.20%
Aiken,77.63%,10.30%,0.25%,1.28%,0.01%,0.44%,1.09%,1.49%,$49,100.00,$63,520.00,$51,988.00,$28,009.00,,14.40%,,21.00%,10.50%
Aiken County,69.60%,24.60%,0.40%,0.80%,,2.60%,1.90%,4.90%,$44,468.00,$57,064.00,$44,436.00,$33,207.00,$24,172.00,13.40%,16.60%,23.70%,13.30%
Alcolu,,,,,,,,,,,,,,,,,
Allendale,18.19%,80.03%,,0.17%,0.17%,0.96%,0.47%,2.25%,$16,632.00,$21,167.00,$22,800.00,$20,873.00,$15,875.00,0.00%,23.50%,59.50%,21.10%
Allendale County,23.70%,73.60%,0.20%,0.40%,,1.30%,0.80%,2.30%,$20,081.00,$25,146.00,$30,440.00,$28,889.00,$14,190.00,35.70%,42.40%,53.80%,27.40%
Anderson,63.12%,34.01%,0.22%,0.78%,0.04%,0.68%,1.16%,1.48%,,,,,,,,,
Anderson County,80.10%,16.00%,0.30%,0.80%,,1.30%,1.50%,2.90%,$42,871.00,$53,229.00,$41,885.00,$30,920.00,$22,117.00,12.40%,15.80%,23.00%,10.20%
Andrews,37.55%,60.76%,0.23%,,,0.88%,0.59%,1.43%,$19,375.00,$22,750.00,$24,891.00,$17,344.00,$16,367.00,0.00%,5.50%,45.80%,21.40%
Antreville,74.58%,22.88%,1.69%,,,,0.85%,,$32,031.00,$40,000.00,$23,056.00,$16,797.00,$17,961.00,15.20%,17.60%,52.20%,0.00%
Arcadia,,,,,,,,,,,,,,,,,
Arcadia Lakes,94.90%,3.63%,,0.79%,,0.23%,0.45%,0.79%,$66,382.00,$79,179.00,$56,125.00,$35,682.00,,2.90%,,2.10%,0.00%
Arial,93.82%,4.18%,0.08%,0.15%,,0.96%,0.81%,1.88%,$29,240.00,$36,445.00,$29,219.00,$20,511.00,$17,646.00,6.00%,10.80%,7.10%,11.30%
Atlantic Beach,9.69%,82.05%,,,,7.12%,1.14%,9.97%,$24,375.00,$20,313.00,$16,477.00,$17,000.00,$16,533.00,0.00%,13.30%,37.00%,27.60%
Awendaw,34.39%,64.60%,,0.08%,,0.59%,0.33%,0.92%,$35,250.00,$42,917.00,$31,696.00,$21,422.00,$19,818.00,0.00%,7.40%,12.60%,18.10%
Aynor,86.20%,11.75%,0.51%,,,1.19%,0.34%,1.53%,$29,583.00,$35,417.00,$30,781.00,$22,500.00,$20,361.00,0.00%,19.90%,25.30%,15.40%
Bamberg,45.22%,53.58%,0.21%,0.32%,,0.11%,0.56%,0.48%,$21,736.00,$28,309.00,$38,068.00,$20,815.00,$17,138.00,0.00%,6.30%,37.20%,18.90%
Bamberg County,36.10%,61.50%,0.30%,0.40%,,0.70%,1.00%,1.60%,$32,538.00,$41,625.00,$33,893.00,$27,324.00,$16,236.00,23.60%,29.90%,40.70%,27.00%
Barnwell,49.81%,47.37%,0.40%,1.05%,0.04%,0.34%,0.99%,0.62%,$26,722.00,$37,841.00,$35,039.00,$21,912.00,$17,709.00,20.40%,22.00%,30.50%,16.70%
Barnwell County,52.60%,44.30%,0.40%,0.60%,,0.70%,1.50%,1.80%,$33,816.00,$41,764.00,$35,957.00,$30,291.00,$17,592.00,20.80%,25.40%,39.60%,11.50%
Batesburg-Leesville,52.82%,45.66%,0.29%,0.20%,,0.40%,0.63%,1.61%,$32,865.00,$40,040.00,$32,447.00,$22,196.00,$20,367.00,0.00%,9.70%,25.90%,12.50%
Beaufort,67.10%,25.70%,0.30%,1.40%,0.10%,1.98%,2.60%,6.70%,,,,,,,,,
Beaufort County,71.90%,19.30%,0.30%,1.20%,0.10%,5.20%,2.10%,12.10%,$55,286.00,$65,071.00,$41,059.00,$33,959.00,$32,731.00,7.40%,10.50%,16.30%,5.80%
Belton,80.52%,17.51%,0.38%,0.27%,,0.34%,0.99%,1.79%,$28,191.00,$36,531.00,$30,100.00,$22,470.00,$22,917.00,0.00%,12.30%,23.20%,12.00%
Belvedere,74.39%,23.64%,0.09%,0.39%,0.04%,0.52%,0.94%,1.81%,$36,045.00,$40,264.00,$31,768.00,$21,374.00,$16,336.00,11.00%,12.00%,15.30%,5.40%
Belvedere,74.39%,23.64%,0.09%,0.39%,0.04%,0.52%,0.94%,1.81%,$36,045.00,$40,264.00,$31,768.00,$21,374.00,$21,000.00,0.00%,4.00%,15.30%,5.40%
Bennettsville,34.80%,63.15%,0.85%,0.50%,,0.11%,0.59%,0.63%,$22,389.00,$29,272.00,$24,697.00,$21,054.00,$17,512.00,0.00%,1.90%,39.20%,22.10%
Berea,60.60%,18.10%,0.51%,1.20%,0.01%,16.90%,2.70%,25.40%,$29,964.00,$37,955.00,$32,387.00,$30,692.00,$17,257.00,25.10%,31.70%,49.80%,13.60%
Berkeley County,66.50%,25.00%,0.60%,2.30%,0.10%,2.80%,2.70%,6.00%,$50,777.00,$56,869.00,$40,534.00,$30,997.00,$22,865.00,9.90%,12.60%,18.20%,10.30%
Bethune,89.77%,9.66%,,,0.28%,0.28%,,2.84%,$32,083.00,$40,972.00,$37,250.00,$26,406.00,$8,322.00,0.00%,14.00%,15.50%,10.70%
Bishopville,32.83%,65.83%,0.11%,0.44%,,0.22%,0.57%,1.31%,$24,400.00,$37,660.00,$31,005.00,$18,635.00,$20,500.00,0.00%,3.90%,42.70%,27.30%
Blacksburg,74.52%,23.56%,0.21%,0.11%,0.05%,,1.54%,0.53%,$26,453.00,$35,208.00,$27,384.00,$21,207.00,$22,401.00,0.00%,4.70%,20.30%,29.40%
Blackville,23.65%,75.61%,0.07%,0.20%,0.07%,0.03%,0.37%,0.50%,$21,316.00,$28,537.00,$25,150.00,$20,742.00,$16,285.00,0.00%,12.00%,40.60%,28.50%
Blenheim,43.07%,54.74%,2.19%,,,,,,$26,667.00,$40,625.00,$28,750.00,$18,750.00,$28,478.00,0.00%,7.50%,44.00%,
Bluffton,71.40%,16.10%,0.30%,2.00%,0.10%,7.30%,2.90%,18.80%,,,,,,,,,
Blythewood,69.80%,27.00%,0.40%,1.00%,0.10%,0.20%,1.50%,2.80%,,,,,,,,,
Boiling Springs,90.82%,6.34%,0.24%,1.50%,,0.51%,0.59%,1.21%,$65,640.00,$70,256.00,$39,625.00,$33,279.00,$20,814.00,4.70%,6.40%,7.70%,3.30%
Bonneau,76.55%,20.34%,0.85%,,,1.13%,1.13%,0.85%,$30,938.00,$36,250.00,$33,333.00,$25,833.00,$19,848.00,0.00%,3.80%,20.00%,32.70%
Bonneau Beach,,,,,,,,,,,,,,,,,
Bowman,29.47%,68.86%,0.33%,0.17%,,0.33%,0.83%,0.67%,$22,750.00,$29,167.00,$25,583.00,$18,828.00,$16,217.00,0.00%,6.80%,39.40%,25.00%
Boykin, Kershaw County,,,,,,,,,,,,,,,,,
Bradley,57.89%,40.94%,,,,1.17%,,,$43,542.00,$45,000.00,$21,875.00,$26,786.00,$18,864.00,12.20%,9.70%,100.00%,
Branchville,54.48%,43.12%,0.18%,0.09%,,1.11%,1.02%,1.39%,$22,429.00,$34,625.00,$26,607.00,$20,917.00,$18,052.00,0.00%,9.70%,27.80%,18.60%
Briarcliffe Acres,98.72%,0.85%,,0.21%,,,0.21%,0.43%,$82,437.00,$100,000.00,$100,000.00,$29,688.00,,1.90%,,1.50%,
Brookdale,0.95%,98.05%,0.17%,0.08%,0.02%,0.21%,0.51%,0.64%,$21,984.00,$27,128.00,$25,857.00,$20,000.00,$12,852.00,28.90%,32.40%,44.70%,29.10%
Brunson,55.35%,42.44%,,,,1.36%,0.85%,1.53%,$30,556.00,$32,778.00,$30,833.00,$21,042.00,$17,966.00,0.00%,4.30%,21.70%,10.10%
Bucksport,2.24%,96.60%,0.45%,,,0.18%,0.54%,0.09%,$24,038.00,$23,750.00,$31,618.00,$19,186.00,$10,832.00,14.90%,20.90%,28.60%,35.60%
Buffalo,83.03%,15.36%,0.07%,0.35%,0.28%,0.42%,0.49%,1.26%,$36,285.00,$38,438.00,$27,159.00,$19,286.00,$13,545.00,7.40%,10.40%,13.90%,0.00%
Burnettown,86.40%,11.88%,0.26%,0.59%,,0.26%,0.62%,0.74%,$33,140.00,$38,017.00,$29,063.00,$22,364.00,$20,043.00,0.00%,2.10%,8.20%,13.70%
Burton,47.80%,45.55%,0.32%,1.32%,0.01%,2.53%,2.47%,6.02%,$39,753.00,$41,636.00,$30,405.00,$20,716.00,$15,654.00,12.30%,14.10%,18.20%,27.90%
Calhoun County,53.90%,42.60%,0.30%,0.20%,0.10%,1.80%,1.20%,3.00%,$36,790.00,$51,975.00,$42,394.00,$31,001.00,$20,845.00,11.60%,15.80%,22.40%,15.60%
Calhoun Falls,45.25%,52.67%,0.04%,0.09%,0.13%,0.52%,1.30%,1.74%,,,,,,,,,
Camden,62.20%,35.10%,0.20%,0.70%,0.00%,2.70%,1.10%,2.40%,$48,313.00,$62,140.00,$42,597.00,$32,524.00,,15.40%,,19.30%,13.20%
Cameron,59.47%,40.53%,,,,,,,$39,792.00,$50,000.00,$33,542.00,$20,417.00,,12.50%,,19.30%,9.60%
Campobello,85.97%,8.69%,0.45%,4.01%,,,0.89%,0.89%,$36,250.00,$41,250.00,$29,500.00,$21,875.00,$20,071.00,0.00%,8.10%,8.50%,8.10%
Cane Savannah,64.33%,34.71%,0.28%,0.62%,,,0.07%,1.03%,$41,607.00,$42,197.00,$27,540.00,$21,049.00,$14,529.00,10.20%,12.80%,25.30%,4.70%
Carlisle,7.86%,92.14%,,,,,,0.40%,$21,875.00,$33,750.00,$26,667.00,$16,447.00,$15,824.00,0.00%,9.00%,36.00%,39.00%
Catawba,,,,,,,,,,,,,,,,,
Cayce,74.55%,22.50%,0.26%,1.08%,0.15%,0.67%,0.80%,1.28%,$35,850.00,$43,560.00,$30,317.00,$24,408.00,$17,745.00,,17.00%,20.00%,8.80%
Centerville,90.48%,7.43%,0.08%,1.08%,0.02%,0.35%,0.56%,1.00%,$43,764.00,$50,496.00,$36,358.00,$25,208.00,$21,534.00,6.10%,8.40%,12.60%,3.70%
Central,79.70%,15.25%,0.03%,1.79%,,2.13%,1.11%,4.32%,$23,869.00,$39,524.00,$26,855.00,$22,207.00,$17,926.00,0.00%,4.80%,19.00%,8.20%
Central Pacolet,93.26%,2.25%,,3.37%,,1.12%,,0.75%,$25,625.00,$36,125.00,$29,167.00,$20,833.00,$16,219.00,0.00%,9.80%,7.70%,13.60%
Charleston County,64.20%,29.80%,0.30%,1.30%,0.10%,2.70%,1.60%,5.40%,$48,433.00,$61,525.00,$42,569.00,$34,195.00,$29,401.00,11.50%,16.50%,24.50%,10.80%
Cheraw,45.80%,52.20%,0.40%,0.81%,,0.31%,0.54%,0.80%,$21,897.00,$31,136.00,$27,405.00,$22,003.00,$17,413.00,0.00%,2.70%,43.10%,21.90%
Cherokee County,75.00%,20.40%,0.40%,0.60%,,2.20%,1.40%,3.70%,$34,132.00,$46,164.00,$39,048.00,$27,390.00,$17,862.00,14.30%,19.50%,27.50%,11.00%
Cherryvale,48.64%,47.66%,0.37%,1.06%,,1.18%,1.10%,1.95%,$26,893.00,$26,202.00,$26,385.00,$20,625.00,$14,560.00,20.30%,24.50%,41.20%,0.00%
Chesnee,68.20%,27.52%,0.30%,0.10%,,1.99%,1.89%,4.69%,$25,089.00,$33,438.00,$30,000.00,$17,500.00,$16,779.00,0.00%,9.00%,37.60%,6.60%
Chester,36.37%,62.26%,0.15%,0.28%,0.03%,0.25%,0.66%,0.83%,$27,518.00,$32,973.00,$27,321.00,$20,802.00,$17,043.00,0.00%,5.80%,28.30%,13.60%
Chester County,59.80%,37.40%,0.40%,0.30%,,0.60%,1.50%,1.40%,$32,743.00,$42,074.00,$39,008.00,$27,701.00,$17,687.00,18.60%,21.40%,30.00%,18.00%
Chesterfield,64.64%,34.67%,0.15%,0.09%,,0.29%,0.15%,0.83%,$25,833.00,$36,806.00,$31,488.00,$20,625.00,$21,342.00,0.00%,6.20%,39.00%,22.20%
Chesterfield County,62.80%,32.60%,0.50%,0.40%,,2.00%,1.60%,3.60%,$32,979.00,$41,225.00,$35,965.00,$26,881.00,$17,162.00,17.60%,22.70%,33.60%,18.00%
City View,63.08%,31.50%,0.88%,0.24%,,2.63%,1.67%,7.50%,$21,920.00,$25,208.00,$25,847.00,$18,824.00,$9,532.00,27.60%,29.00%,37.30%,9.70%
Clarendon County,47.00%,50.10%,0.20%,0.60%,,1.20%,0.80%,2.60%,$33,066.00,$40,492.00,$31,860.00,$26,851.00,$16,562.00,17.50%,23.00%,36.30%,13.80%
Clarks Hill,14.36%,85.64%,,,,,,0.27%,$28,269.00,$29,464.00,$26,731.00,$22,411.00,$10,305.00,21.10%,16.30%,12.50%,50.00%
Clearwater,79.92%,16.08%,0.60%,0.33%,0.02%,1.67%,1.38%,3.74%,$30,693.00,$36,528.00,$32,135.00,$21,020.00,$14,902.00,13.80%,20.20%,28.40%,17.70%
Clemson,80.98%,11.38%,0.11%,5.73%,0.03%,0.73%,1.05%,1.82%,$26,892.00,$61,176.00,$39,318.00,$28,663.00,,33.10%,,13.10%,8.40%
Clifton,,,,,,,,,,,,,,,,,
Clinton,58.90%,36.80%,0.20%,0.60%,,,,2.20%,,,,,,,,,
Clio,36.05%,57.11%,6.20%,,,0.13%,0.52%,0.52%,$25,313.00,$31,875.00,$26,364.00,$18,092.00,$17,742.00,0.00%,8.50%,39.10%,21.30%
Clover,75.96%,21.03%,0.27%,0.45%,0.07%,1.30%,0.92%,1.94%,$37,335.00,$43,276.00,$33,945.00,$19,840.00,$22,194.00,0.00%,6.50%,19.50%,13.40%
Cokesbury,25.09%,72.76%,1.08%,,,,1.08%,,$31,908.00,$31,447.00,$16,927.00,$30,625.00,$13,592.00,7.40%,13.50%,0.00%,51.70%
Colleton County,57.00%,39.00%,0.80%,0.30%,,1.30%,1.50%,2.80%,$33,263.00,$40,955.00,$36,622.00,$25,898.00,$17,842.00,17.70%,21.30%,28.30%,17.20%
Columbia,51.27%,42.20%,0.25%,2.20%,0.30%,1.50%,2.00%,4.30%,$31,141.00,$39,589.00,$30,925.00,$24,679.00,$8,056.00,0.00%,28.30%,29.70%,16.90%
Converse,,,,,,,,,,,,,,,,,
Conway,55.82%,41.85%,0.21%,0.74%,0.03%,0.64%,0.72%,1.87%,$32,155.00,$39,189.00,$26,720.00,$21,310.00,$21,692.00,0.00%,6.40%,32.90%,16.00%
Cope,41.12%,58.88%,,,,,,2.80%,$28,056.00,$28,125.00,$25,625.00,$30,417.00,$34,633.00,0.00%,1.00%,36.20%,21.40%
Cordova,97.45%,1.27%,,,,,1.27%,,$43,125.00,$46,875.00,$36,750.00,$25,000.00,$37,833.00,0.00%,0.00%,26.20%,0%
Coronaca,75.29%,23.53%,,,,1.18%,,1.76%,$33,500.00,$50,114.00,$42,000.00,$18,882.00,$18,219.00,0.00%,8.20%,0.00%,50.00%
Cottageville,85.71%,11.88%,0.42%,0.42%,0.14%,0.28%,1.13%,0.42%,$38,281.00,$44,583.00,$29,886.00,$22,019.00,$22,155.00,0.00%,1.30%,33.30%,10.30%
Coward,84.15%,14.00%,,0.15%,,0.62%,1.08%,1.38%,$28,182.00,$30,208.00,$28,977.00,$17,039.00,$16,656.00,0.00%,11.50%,37.20%,43.20%
Cowpens,75.65%,21.37%,0.13%,,,2.06%,0.79%,3.25%,$30,815.00,$39,387.00,$35,978.00,$22,778.00,$18,405.00,0.00%,0.40%,19.40%,16.40%
Cross Anchor,,,,,,,,,,,,,,,,,
Cross Hill,42.60%,55.57%,0.33%,0.50%,,,1.00%,0.17%,$28,083.00,$32,500.00,$25,288.00,$18,846.00,$16,635.00,0.00%,12.40%,23.80%,18.50%
Dalzell,61.11%,33.98%,0.53%,1.11%,0.04%,1.46%,1.77%,3.27%,$40,750.00,$41,979.00,$29,006.00,$22,000.00,$15,124.00,12.00%,14.90%,24.30%,4.00%
Darlington,42.50%,56.04%,0.16%,0.36%,0.01%,0.51%,0.42%,1.01%,$24,869.00,$33,971.00,$28,110.00,$20,206.00,$19,215.00,0.00%,7.10%,38.90%,29.50%
Darlington County,55.90%,41.60%,0.30%,0.30%,,0.90%,1.10%,1.70%,$38,379.00,$46,894.00,$40,089.00,$29,255.00,$20,096.00,14.60%,20.00%,30.70%,15.10%
Denmark,12.74%,85.91%,0.09%,0.51%,,0.06%,0.69%,0.75%,$17,578.00,$22,346.00,$22,110.00,$13,767.00,$16,064.00,0.00%,2.60%,51.90%,30.80%
Dentsville,36.05%,58.28%,0.21%,2.54%,0.05%,1.30%,1.58%,2.90%,$38,721.00,$46,996.00,$32,015.00,$23,726.00,$19,916.00,7.10%,8.60%,9.90%,5.90%
Dillon County,48.00%,46.10%,2.50%,0.20%,,1.50%,1.60%,2.60%,$26,818.00,$34,693.00,$31,973.00,$22,100.00,$14,684.00,26.20%,30.50%,43.80%,23.70%
Donalds,83.62%,14.97%,,,0.28%,,1.13%,1.98%,$32,083.00,$35,417.00,$32,045.00,$17,321.00,$17,862.00,0.00%,10.60%,18.10%,0.00%
Dorchester County,67.80%,25.80%,0.70%,1.50%,0.10%,1.40%,2.60%,4.40%,$55,034.00,$63,847.00,$45,659.00,$32,221.00,$24,497.00,9.00%,11.20%,16.40%,9.10%
Due West,79.24%,18.61%,0.08%,0.99%,,0.25%,0.83%,0.74%,$39,375.00,$53,000.00,$35,917.00,$27,000.00,,13.50%,,20.00%,14.00%
Duncan,65.68%,30.84%,0.14%,0.66%,,1.67%,1.01%,3.41%,$27,974.00,$28,547.00,$27,236.00,$21,585.00,$16,924.00,0.00%,10.40%,29.40%,13.00%
Dunean,67.99%,26.29%,0.31%,0.51%,,3.08%,1.83%,8.10%,$25,319.00,$32,563.00,$25,332.00,$21,651.00,$13,833.00,16.90%,18.80%,21.60%,14.20%
Easley,85.35%,11.81%,0.14%,0.52%,0.03%,1.25%,0.90%,2.82%,$38,204.00,$47,867.00,$35,399.00,$25,443.00,,10.90%,,12.20%,11.90%
East Gaffney,77.64%,20.39%,0.09%,0.33%,0.03%,0.87%,0.66%,2.57%,$24,527.00,$32,167.00,$26,156.00,$21,009.00,$12,902.00,16.00%,22.60%,28.50%,13.00%
East Sumter,57.13%,41.89%,,0.25%,,0.16%,0.57%,0.82%,$26,938.00,$30,257.00,$26,169.00,$21,438.00,$13,010.00,16.10%,15.40%,21.40%,18.60%
Eastover,6.87%,92.26%,,0.41%,,0.12%,0.48%,0.24%,,,,,,,,,
Edgefield,38.82%,59.92%,0.49%,0.31%,,0.18%,0.27%,4.47%,$24,977.00,$30,721.00,$25,478.00,$23,462.00,,25.00%,,35.10%,23.20%
Edgefield County,58.60%,37.20%,0.20%,0.40%,,2.20%,1.30%,5.20%,$42,834.00,$57,114.00,$41,759.00,$29,660.00,$19,901.00,17.80%,21.20%,33.10%,17.10%
Edisto,59.60%,39.10%,0.20%,0.00%,,0.60%,0.50%,1.40%,$25,962.00,$31,000.00,$24,609.00,$19,131.00,$17,500.00,18.20%,20.80%,22.30%,34.50%
Edisto Island,59.60%,39.10%,0.20%,0.00%,,0.60%,0.50%,1.40%,$25,962.00,$31,000.00,$24,609.00,$19,131.00,$25,440.00,0.00%,2.30%,22.30%,34.50%
Ehrhardt,40.07%,56.84%,,,,1.95%,1.14%,2.77%,$22,813.00,$41,250.00,$31,875.00,$21,250.00,$20,014.00,0.00%,4.30%,27.60%,23.00%
Elgin, Lancaster County,78.65%,19.91%,0.29%,0.21%,,0.37%,0.58%,0.62%,$45,391.00,$48,485.00,$35,893.00,$21,512.00,$16,576.00,6.50%,9.70%,13.60%,19.70%
Elko,41.51%,58.49%,,,,,,,$23,571.00,$37,500.00,$35,536.00,$27,083.00,$20,192.00,0.00%,4.90%,36.10%,51.50%
Elloree,55.66%,43.94%,0.13%,,,,0.27%,0.13%,$22,574.00,$35,380.00,$26,838.00,$21,641.00,,21.10%,,33.30%,14.60%
Enoree,,,,,,,,,,,,,,,,,
Estill,16.00%,77.70%,0.60%,,,0.10%,0.70%,4.80%,,,,,,,,,
