,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Aberdeen,94.61%,0.37%,3.17%,0.54%,0.13%,0.19%,0.99%,0.79%,,,,,,,,,
Agar,98.78%,,1.22%,,,,,2.44%,$28,125.00,$38,750.00,$31,250.00,$12,083.00,,,,6.90%,
Agency Township, Roberts County,26.00%,,71.80%,,,,2.20%,,,,,,,,,,
Agency Village,,,,,,,,,,,,,,,,,
Akaska,90.32%,,9.68%,,,,,,$26,250.00,$26,250.00,$22,500.00,$31,250.00,$17,309.00,0.00%,7.10%,33.30%,0%
Albee,100.00%,,,,,,,,$23,750.00,$27,500.00,$18,750.00,$0.00,$15,947.00,,7.80%,,
Alcester,98.41%,,0.23%,0.91%,,,0.45%,,$29,432.00,$44,286.00,$28,047.00,$21,167.00,$21,659.00,0.00%,2.30%,3.80%,16.00%
Alden Township, Hand County,100.00%,,,,,,,,$116,860.00,$200,000.00,$100,000.00,$0.00,$74,845.00,0.00%,0.00%,,
Alexandria,99.29%,,0.18%,0.18%,,,0.36%,0.18%,$31,875.00,$45,333.00,$30,500.00,$19,500.00,$20,443.00,0.00%,4.70%,3.80%,9.70%
Allen,4.30%,,94.03%,,,,1.67%,1.43%,$7,578.00,$3,819.00,$0.00,$12,188.00,$1,539.00,95.90%,96.10%,97.10%,100.00%
Alpena,99.62%,,,0.38%,,,,0.38%,$35,455.00,$38,000.00,$25,625.00,$16,607.00,$17,159.00,0.00%,5.50%,18.50%,0.00%
Altamont,100.00%,,,,,,,,$36,875.00,$67,500.00,$43,750.00,$16,875.00,$21,582.00,,5.20%,100.00%,
Anderson,,,,,,,,,,,,,,,,,
Andover,100.00%,,,,,,,,$20,625.00,$41,250.00,$38,125.00,$18,750.00,$19,775.00,0.00%,3.00%,17.60%,
Antelope,2.19%,,96.89%,,,,0.92%,2.65%,$8,125.00,$11,923.00,$15,167.00,$17,273.00,$4,105.00,62.40%,65.90%,72.10%,63.40%
Arlington,98.49%,,0.20%,0.71%,,,0.60%,,$34,688.00,$43,813.00,$29,083.00,$19,531.00,$28,539.00,0.00%,7.50%,5.80%,8.00%
Armour,98.08%,,0.77%,,,0.13%,1.02%,0.64%,$28,438.00,$41,797.00,$27,500.00,$18,897.00,$19,911.00,0.00%,1.20%,18.40%,12.40%
Artas,100.00%,,,,,,,,$3,750.00,$0.00,$0.00,$0.00,,,,100.00%,
Artesian,100.00%,,,,,,,,$36,875.00,$43,750.00,$22,500.00,$23,125.00,$19,117.00,6.90%,5.60%,27.30%,
Ashland Heights,87.22%,1.43%,6.09%,0.48%,0.12%,1.08%,3.58%,2.51%,$29,148.00,$30,833.00,$27,222.00,$18,281.00,$13,564.00,19.00%,16.30%,27.40%,5.10%
Ashton,100.00%,,,,,,,,$25,625.00,$36,875.00,$21,719.00,$20,179.00,$16,458.00,0.00%,10.40%,6.40%,0.00%
Astoria,97.33%,,,1.33%,,,1.33%,2.00%,$24,375.00,$34,375.00,$26,250.00,$18,750.00,$18,189.00,0.00%,3.60%,35.90%,17.90%
Aurora,98.00%,,1.40%,,,,0.60%,,$38,456.00,$43,500.00,$26,953.00,$20,089.00,$19,887.00,8.20%,2.40%,8.80%,
Aurora Center,100.00%,,,,,,,,$4,583.00,$0.00,$0.00,$0.00,$4,700.00,0.00%,66.70%,0.00%,0%
Aurora County,95.10%,0.40%,1.50%,0.70%,,1.80%,0.50%,3.70%,$45,230.00,$55,588.00,$30,185.00,$27,206.00,$21,291.00,4.50%,8.20%,7.40%,12.80%
Avon,97.86%,,2.14%,,,,,0.36%,$27,656.00,$35,000.00,$27,500.00,$16,607.00,$20,383.00,0.00%,7.80%,9.90%,7.90%
Badger,99.31%,,,0.69%,,,,,$30,278.00,$32,361.00,$25,500.00,$30,000.00,$21,435.00,5.00%,3.00%,11.10%,
Baltic,98.89%,,0.49%,,,,0.62%,0.12%,,,,,,,,,
Bancroft,97.00%,,,,,,,,$43,500.00,$44,000.00,$23,333.00,$16,250.00,$18,310.00,,7.80%,,
Batesland,13.64%,,86.36%,,,,,,$32,250.00,$27,500.00,$30,000.00,$28,750.00,$17,348.00,0.00%,4.00%,39.40%,100.00%
Bath,,,,,,,,,,,,,,,,,
Bath Corner,,,,,,,,,,,,,,,,,
Beadle County,89.70%,0.80%,1.10%,3.60%,0.10%,3.00%,1.60%,7.70%,$40,716.00,$56,288.00,$37,020.00,$25,824.00,$23,409.00,6.30%,13.10%,12.80%,12.50%
Belle Fourche,95.03%,0.15%,1.91%,0.33%,,1.27%,1.31%,3.70%,,,,,,,,,
Belvidere,82.46%,,17.54%,,,0.00%,,,,,,,,,,,
Bennett County,33.70%,0.10%,61.50%,0.40%,0.10%,0.20%,4.00%,2.00%,$32,841.00,$38,487.00,$40,158.00,$31,406.00,$16,153.00,24.30%,32.10%,42.30%,15.40%
Beresford,98.90%,,0.55%,0.30%,,0.05%,0.20%,0.40%,,,,,,,,,
Big Stone City,99.17%,,0.50%,,,,0.33%,,$31,250.00,$39,583.00,$22,875.00,$17,417.00,,11.20%,,17.70%,16.50%
Bijou Hills,,,,,,,,,,,,,,,,,
Bison,99.73%,,0.27%,,,,,0.27%,,,,,,,,,
Blackhawk,94.86%,0.29%,2.75%,0.21%,0.04%,0.04%,1.81%,1.60%,$44,414.00,$47,154.00,$34,135.00,$24,444.00,$17,364.00,10.10%,12.20%,22.00%,4.50%
Blucksberg Mountain,,,,,,,,,,,,,,,,,
Blunt,94.86%,,2.70%,,,1.35%,1.08%,1.35%,$28,571.00,$31,667.00,$22,727.00,$19,500.00,$17,699.00,0.00%,3.50%,6.60%,8.80%
Bon Homme County,89.80%,1.00%,7.10%,0.10%,,0.60%,1.40%,1.80%,$41,107.00,$51,910.00,$34,478.00,$28,464.00,$20,074.00,10.10%,12.40%,16.70%,12.60%
Bonesteel,90.57%,,7.07%,,,,2.36%,0.34%,$26,389.00,$30,833.00,$21,500.00,$21,250.00,$17,253.00,0.00%,6.80%,17.60%,17.30%
Bowdle,99.30%,0.18%,0.18%,0.18%,,,0.18%,,$25,417.00,$34,091.00,$23,750.00,$17,500.00,$18,311.00,0.00%,5.20%,23.90%,16.50%
Box Elder,83.42%,2.29%,5.60%,2.08%,0.11%,0.70%,5.81%,3.56%,,,,,,,,,
Bradley,96.43%,,,,0.89%,,2.68%,,$23,750.00,$32,500.00,$28,125.00,$21,875.00,$16,081.00,0.00%,13.20%,13.50%,
Brandon,96.80%,0.60%,0.50%,0.60%,,0.30%,1.20%,1.20%,,,,,,,,,
Brandt,98.23%,0.88%,,,,,0.88%,,$30,417.00,$31,250.00,$23,750.00,$13,750.00,$19,070.00,0.00%,2.90%,47.40%,13.60%
Brant Lake,,,,,,,,,,,,,,,,,
