,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Adams,90.11%,8.48%,0.18%,0.35%,,0.88%,,1.94%,$32,500.00,$40,179.00,$31,932.00,$21,190.00,$18,681.00,0.00%,10.10%,18.20%,7.40%
Adamsville,98.13%,1.01%,0.05%,0.10%,,,0.71%,0.50%,$30,929.00,$37,993.00,$31,154.00,$21,250.00,$7,938.00,0.00%,12.50%,13.90%,36.00%
Alamo,76.25%,21.32%,0.13%,0.13%,,1.42%,0.75%,2.34%,$25,750.00,$38,295.00,$26,167.00,$21,650.00,$17,691.00,0.00%,2.60%,22.90%,23.80%
Alcoa,81.15%,16.01%,0.19%,0.34%,0.01%,0.78%,1.53%,1.89%,$33,520.00,$44,333.00,$31,464.00,$23,212.00,,11.90%,,18.10%,10.90%
Alexandria,90.17%,7.74%,0.25%,0.12%,,0.49%,1.23%,0.25%,$29,219.00,$38,250.00,$27,083.00,$21,429.00,$17,026.00,0.00%,12.80%,26.50%,17.80%
Algood,93.13%,4.93%,0.07%,0.41%,,0.24%,1.22%,1.09%,$27,205.00,$34,234.00,$32,443.00,$22,872.00,$19,247.00,0.00%,4.90%,19.70%,14.00%
Allardt,98.91%,,0.16%,0.16%,,,0.78%,0.31%,$34,412.00,$35,938.00,$27,333.00,$18,929.00,$4,562.00,0.00%,59.70%,16.20%,7.40%
Altamont,97.89%,0.09%,0.53%,0.09%,,0.88%,0.53%,2.02%,$21,767.00,$25,000.00,$26,944.00,$15,000.00,$15,810.00,0.00%,7.20%,34.40%,32.40%
Anderson County,93.36%,3.88%,0.32%,0.83%,0.01%,0.38%,1.22%,1.10%,$35,483.00,$42,584.00,$33,710.00,$23,467.00,$9,137.00,0.00%,30.60%,18.40%,8.80%
Ardmore,96.86%,1.76%,0.65%,0.09%,,0.37%,0.28%,1.39%,$33,571.00,$40,329.00,$35,486.00,$25,391.00,$31,028.00,0.00%,0.70%,21.50%,21.00%
Arlington,74.23%,23.01%,0.47%,0.62%,,0.54%,1.13%,1.13%,$52,870.00,$55,602.00,$38,438.00,$29,138.00,,11.30%,,4.40%,23.20%
Ashland City,94.04%,3.74%,0.27%,0.25%,,1.04%,0.66%,2.03%,$35,282.00,$39,550.00,$29,694.00,$22,454.00,$24,013.00,0.00%,2.30%,10.30%,12.60%
Athens,86.33%,9.32%,0.23%,1.38%,0.07%,1.34%,1.33%,3.01%,$29,277.00,$39,563.00,$32,170.00,$20,917.00,$22,584.00,0.00%,0.00%,22.60%,22.10%
Atoka,87.88%,9.30%,0.25%,0.53%,0.06%,0.31%,1.67%,2.10%,$58,583.00,$61,643.00,$38,721.00,$24,487.00,,4.40%,,7.10%,3.70%
Atwood,83.00%,15.90%,0.10%,,,0.30%,0.70%,0.80%,,,,,,,,,
Auburntown,98.41%,0.40%,,0.40%,,,0.79%,,$32,857.00,$38,750.00,$31,429.00,$26,250.00,$24,149.00,0.00%,1.90%,12.00%,9.80%
Baileyton,98.21%,0.99%,0.20%,,,0.40%,0.20%,0.79%,$20,139.00,$34,375.00,$26,389.00,$18,056.00,$16,502.00,0.00%,13.60%,26.00%,25.90%
Baneberry,96.90%,0.40%,0.20%,,,,0.40%,2.10%,,,,,,,,,
Bartlett,92.44%,4.86%,0.28%,1.24%,0.04%,0.37%,0.77%,1.14%,$66,369.00,$69,962.00,$45,281.00,$32,382.00,,2.70%,,3.20%,5.70%
Baxter,97.89%,,0.70%,,0.08%,0.47%,0.86%,1.72%,$25,078.00,$30,083.00,$21,731.00,$19,118.00,$16,652.00,0.00%,3.80%,28.20%,17.70%
Bedford County,86.84%,11.48%,0.28%,0.45%,0.05%,2.73%,1.16%,7.48%,$36,729.00,$33,691.00,$25,485.00,$15,673.00,$17,314.00,0.00%,9.60%,15.90%,17.80%
Beersheba Springs,99.82%,,,,,,0.18%,0.54%,$22,045.00,$26,250.00,$27,083.00,$20,000.00,$17,310.00,0.00%,5.50%,38.80%,26.40%
Bell Buckle,84.80%,2.80%,,8.20%,,,1.00%,3.20%,$27,188.00,$40,000.00,$30,417.00,$15,556.00,$20,689.00,0.00%,5.10%,3.40%,18.30%
Belle Meade,98.64%,0.34%,0.03%,0.48%,,0.20%,0.31%,0.71%,$144,720.00,$194,016.00,$100,000.00,$71,944.00,$15,984.00,0.60%,0.90%,1.20%,0.00%
Bells,67.11%,21.19%,0.46%,,,10.78%,0.46%,22.80%,$29,238.00,$31,827.00,$26,184.00,$19,602.00,$16,516.00,0.00%,6.30%,28.60%,15.30%
Benton,98.86%,0.09%,0.18%,,0.09%,0.09%,0.70%,0.53%,$22,667.00,$31,146.00,$24,667.00,$23,295.00,$16,576.00,0.00%,6.50%,34.50%,20.90%
Benton County,96.44%,2.10%,0.33%,0.24%,,0.20%,0.69%,0.95%,$28,679.00,$32,727.00,$29,177.00,$19,038.00,$18,193.00,0.00%,6.70%,23.90%,11.70%
Berry Hill,76.41%,16.17%,0.15%,2.37%,,1.93%,2.97%,3.41%,,,,,,,,,
Bethel Springs,85.58%,13.50%,,0.13%,,0.26%,0.52%,1.31%,$27,500.00,$33,750.00,$26,500.00,$19,792.00,$17,931.00,0.00%,6.20%,21.10%,11.40%
Big Sandy,99.23%,,,,,0.19%,0.58%,0.19%,$22,917.00,$26,354.00,$23,125.00,$17,596.00,$17,307.00,0.00%,2.10%,43.90%,13.20%
Blaine,96.91%,1.07%,0.32%,0.13%,,0.63%,0.95%,1.01%,$30,677.00,$35,417.00,$26,213.00,$20,707.00,$21,640.00,0.00%,8.70%,19.90%,27.10%
Bledsoe County,94.44%,3.70%,0.38%,0.11%,0.02%,0.19%,1.15%,1.12%,$28,982.00,$34,593.00,$26,648.00,$20,639.00,$17,484.00,0.00%,2.70%,21.00%,23.20%
Blount County,94.73%,2.91%,0.29%,0.72%,0.03%,0.34%,0.99%,1.06%,$37,862.00,$45,038.00,$31,877.00,$23,007.00,,9.70%,,12.30%,9.10%
Bluff City,98.52%,0.19%,0.13%,0.58%,,,0.58%,0.71%,$31,587.00,$36,938.00,$26,422.00,$19,957.00,$17,717.00,0.00%,7.70%,26.30%,9.30%
Bolivar,42.33%,56.39%,0.07%,0.50%,0.02%,0.07%,0.62%,0.60%,$28,651.00,$35,298.00,$30,442.00,$21,544.00,$18,563.00,0.00%,11.20%,28.70%,28.60%
