,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Alpine,97.40%,0.18%,0.20%,0.29%,0.17%,0.35%,1.41%,1.60%,$72,880.00,$74,891.00,$57,250.00,$33,571.00,,3.60%,,3.10%,9.10%
Alta,93.00%,,,,,,,4.00%,,,,,,,,,
Altamont,96.00%,,2.00%,,,,,1.30%,,,,,,,,,
Alton,89.00%,,2.50%,,,,,5.00%,,,,,,,,,
Amalga,93.91%,,,0.47%,0.23%,4.92%,0.47%,9.84%,$42,143.00,$44,375.00,$37,500.00,$21,607.00,$17,654.00,0.00%,6.30%,12.30%,5.00%
American Fork,88.80%,0.40%,0.50%,0.90%,0.50%,,2.40%,7.40%,$67,124.00,,,,,,,,6.00%
Aneth,0.33%,0.17%,98.83%,,,,0.67%,0.67%,$17,292.00,$16,563.00,$35,536.00,$13,333.00,$15,893.00,0.00%,8.50%,64.00%,0.00%
Annabella,97.18%,,0.50%,,,1.49%,0.83%,1.49%,$40,000.00,$42,500.00,$35,662.00,$19,375.00,$17,157.00,0.00%,6.60%,11.40%,0.00%
Antimony,96.72%,,0.82%,,,,2.46%,0.82%,$22,500.00,$24,000.00,$12,250.00,$21,250.00,,18.70%,,10.40%,55.60%
Aurora,97.68%,,0.53%,0.63%,0.21%,0.84%,0.11%,1.37%,$44,911.00,$50,000.00,$38,750.00,$20,156.00,$20,106.00,0.00%,11.70%,3.50%,10.50%
Avon,96.08%,0.33%,,,3.59%,,,1.96%,$39,250.00,$41,875.00,$26,250.00,$26,094.00,$17,465.00,0.00%,5.60%,8.70%,0.00%
Ballard,95.41%,0.18%,3.00%,,,0.53%,0.88%,1.41%,$35,278.00,$36,484.00,$29,875.00,$17,361.00,$16,599.00,0.00%,2.90%,6.80%,17.00%
Bear River City,96.27%,,0.27%,,,2.27%,1.20%,3.87%,$52,212.00,$55,833.00,$40,417.00,$24,821.00,$24,208.00,,7.00%,,
Beaver,,,,,,,,,$33,646.00,$37,933.00,$29,485.00,$17,159.00,$14,412.00,6.70%,8.60%,9.00%,6.40%
Beaver County,89.00%,0.20%,1.10%,1.10%,0.30%,6.90%,1.40%,10.80%,$41,514.00,$46,426.00,$40,167.00,$26,215.00,$16,131.00,12.60%,17.90%,25.10%,15.30%
Benjamin,98.64%,,0.49%,,0.19%,0.39%,0.29%,1.46%,$46,458.00,$55,238.00,$34,643.00,$21,151.00,$52,637.00,1.60%,2.20%,9.20%,
Benson,95.11%,0.07%,0.76%,0.14%,0.14%,2.96%,0.83%,4.07%,$41,369.00,$47,895.00,$32,500.00,$19,028.00,$17,049.00,0.00%,7.40%,14.20%,8.30%
Beryl Junction,,,,,,,,,,,,,,,,,
Bicknell,97.17%,,0.28%,,,1.98%,0.57%,3.12%,$32,750.00,$34,500.00,$29,750.00,$20,750.00,$17,111.00,0.00%,4.40%,13.60%,7.20%
Big Water,94.00%,,2.88%,0.24%,0.48%,1.20%,1.20%,5.28%,$30,278.00,$37,917.00,$29,091.00,$17,917.00,$18,644.00,0.00%,9.50%,16.10%,22.20%
Blanding,66.10%,0.30%,29.40%,0.09%,0.01%,0.50%,3.30%,3.80%,$43,946.00,$50,833.00,$42,667.00,$21,615.00,,14.10%,11.10%,34.00%,10.90%
Bluebell,,,,,,,,,,,,,,,,,
Bluff,62.50%,,35.00%,,,0.94%,1.56%,4.06%,$23,906.00,$30,938.00,$31,563.00,$14,792.00,$17,195.00,0.00%,5.50%,27.70%,25.00%
Bluffdale,96.96%,0.23%,0.28%,0.23%,0.26%,1.19%,0.85%,3.34%,$66,615.00,$66,910.00,$50,136.00,$23,469.00,$28,149.00,8.60%,0.20%,0.00%,
Bonanza,,,,,,,,,,,,,,,,,
Boulder,96.67%,0.00%,0.00%,1.11%,0.00%,0.00%,2.22%,1.11%,$30,000.00,$31,429.00,$20,750.00,$12,083.00,,13.30%,,6.50%,14.30%
Bountiful,95.56%,0.24%,0.27%,1.15%,0.32%,1.12%,1.34%,2.90%,$55,993.00,$62,905.00,$45,420.00,$27,354.00,,4.00%,,5.10%,4.20%
Box Elder County,91.77%,0.34%,0.82%,0.89%,0.17%,3.77%,2.24%,8.31%,$44,630.00,$49,421.00,$38,814.00,$22,435.00,$19,547.00,0.00%,5.90%,8.30%,5.30%
Brian Head,99.15%,0.85%,,,,,,0.85%,$44,063.00,$44,375.00,$43,750.00,$28,750.00,,5.40%,,0.00%,
Brigham City,91.26%,0.24%,1.63%,0.77%,0.10%,4.07%,1.93%,7.67%,$42,335.00,$46,891.00,$39,271.00,$22,061.00,$19,301.00,0.00%,11.80%,9.70%,7.10%
Cache,100.00%,,,,,,,,$52,500.00,$52,500.00,$36,250.00,$21,250.00,,,,,
Cache County,89.12%,0.62%,0.61%,1.88%,0.39%,5.48%,1.90%,9.96%,,,,,,,,,
Cannonville,95.27%,,,,0.68%,3.38%,0.68%,4.05%,$28,750.00,$32,250.00,$23,750.00,$12,083.00,$16,149.00,11.20%,3.70%,10.90%,
Carbon County,92.31%,0.43%,1.18%,0.58%,0.01%,3.03%,2.36%,12.42%,,,,,,,,,
Carbonville,,,,,,,,,,,,,,,,,
Castle Dale,95.47%,0.06%,0.66%,0.54%,0.18%,0.91%,2.17%,2.17%,$44,185.00,$48,603.00,$40,515.00,$20,294.00,$17,721.00,0.00%,3.00%,12.40%,5.60%
Castle Valley,97.13%,,,,,1.15%,1.72%,2.29%,,,,,,,,,
Cedar City,92.06%,2.53%,1.11%,0.47%,0.33%,1.65%,1.86%,4.14%,$32,403.00,$37,509.00,$31,192.00,$19,601.00,$17,617.00,0.00%,22.10%,20.20%,
Cedar Fort,95.89%,,0.59%,0.29%,0.29%,0.29%,2.64%,0.88%,$44,773.00,$45,833.00,$40,000.00,$25,500.00,$17,796.00,0.00%,13.90%,18.50%,7.50%
Cedar Hills,97.09%,0.10%,0.29%,0.52%,0.19%,0.52%,1.29%,1.94%,$62,688.00,$63,625.00,$52,813.00,$32,708.00,$20,962.00,0.00%,2.70%,5.10%,5.70%
Centerfield,92.94%,,0.86%,0.10%,,4.87%,1.24%,8.49%,$35,357.00,$38,462.00,$30,795.00,$17,917.00,$16,450.00,0.00%,7.20%,19.10%,16.90%
Centerville,97.06%,0.23%,0.16%,0.75%,0.23%,0.60%,0.97%,1.95%,$64,818.00,$70,855.00,$50,033.00,$26,527.00,,2.00%,,2.20%,1.70%
Central,,,,,,,,,,,,,,,,,
Charleston,97.88%,0.26%,,,,,1.85%,5.03%,$42,813.00,$44,063.00,$40,125.00,$24,167.00,,3.10%,,4.20%,3.60%
Circleville,97.23%,0.20%,0.40%,0.20%,0.20%,0.99%,0.79%,4.36%,$32,083.00,$36,875.00,$25,536.00,$19,063.00,$16,751.00,0.00%,12.70%,15.20%,12.50%
Clarkston,95.78%,,0.29%,,,1.60%,2.33%,2.18%,$40,592.00,$42,171.00,$32,344.00,$20,000.00,$17,257.00,25.10%,0.70%,7.20%,
Clawson,96.73%,,3.27%,,,,,,$31,250.00,$35,000.00,$32,500.00,$26,250.00,,25.50%,,33.30%,18.80%
Clear Creek,,,,,,,,,,,,,,,,,
Cleveland,97.24%,,0.20%,,,0.20%,2.36%,0.59%,$33,500.00,$43,000.00,$33,750.00,$14,286.00,$16,251.00,0.00%,14.70%,8.50%,10.40%
Clinton,90.35%,1.01%,0.63%,1.78%,0.31%,3.62%,2.30%,8.03%,$53,909.00,$55,282.00,$38,797.00,$22,350.00,$23,099.00,0.00%,5.00%,5.50%,1.30%
Coalville,93.13%,0.07%,0.80%,0.29%,0.07%,4.92%,0.72%,6.87%,$39,342.00,$43,929.00,$32,727.00,$20,833.00,$28,327.00,0.00%,1.70%,11.90%,6.20%
Copperton,,,,,,,,,,,,,,,,,
Corinne,89.86%,,0.48%,2.42%,0.32%,5.96%,0.97%,8.21%,$42,125.00,$45,208.00,$32,344.00,$19,205.00,$20,324.00,0.00%,11.80%,10.90%,12.90%
Cornish,97.68%,,,0.77%,,0.39%,1.16%,2.32%,$40,417.00,$42,292.00,$33,571.00,$21,875.00,$18,931.00,0.00%,4.00%,17.50%,0%
Cottonwood Heights,93.57%,0.70%,0.27%,2.28%,0.32%,1.11%,1.75%,3.07%,$62,814.00,$70,083.00,$43,114.00,$31,046.00,,3.90%,,5.90%,0.70%
Cove,92.33%,,0.23%,0.45%,,3.39%,3.61%,3.39%,$50,667.00,$51,083.00,$43,000.00,$31,250.00,$16,472.00,0.00%,10.30%,24.10%,0.00%
Daggett County,95.94%,0.38%,0.76%,0.38%,0.09%,1.42%,1.04%,3.12%,,,,,,,,,
Dammeron Valley,,,,,,,,,,,,,,,,,
Daniel,97.14%,0.26%,0.52%,0.52%,,0.13%,1.43%,3.51%,$60,000.00,$59,773.00,$43,542.00,$16,667.00,,5.10%,,5.00%,0.00%
Davis County,90.04%,1.21%,0.46%,1.77%,0.59%,3.24%,2.69%,8.42%,,,,,,,,,
Delta,94.61%,0.06%,0.97%,0.12%,0.28%,3.15%,0.81%,10.10%,$37,773.00,$43,952.00,$37,340.00,$21,369.00,$16,975.00,0.00%,4.70%,16.50%,5.40%
Deseret,,,,,,,,,,,,,,,,,
