,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Aberdeen,84.87%,0.47%,3.70%,2.10%,0.14%,5.15%,3.57%,9.22%,$30,683.00,$37,966.00,$32,710.00,$20,446.00,$16,092.00,16.10%,22.20%,29.70%,9.60%
Aberdeen Gardens,91.00%,,1.80%,,,2.20%,5.00%,5.00%,$38,403.00,$38,819.00,$38,333.00,$16,364.00,$17,341.00,10.10%,7.50%,0.00%,4.30%
Aberdeen Junction,,,,,,,,,,,,,,,,,
Acme,93.16%,,,,,3.80%,3.04%,4.94%,$41,964.00,$48,854.00,$52,708.00,$0.00,$17,147.00,0.00%,13.20%,,
Adams,,,,,,,,,,,,,,,,,
Adams County,62.50%,0.60%,1.90%,0.70%,,31.50%,2.80%,59.30%,$40,829.00,$43,551.00,$35,695.00,$25,160.00,$16,689.00,19.00%,25.10%,36.60%,12.60%
Adco,,,,,,,,,,,,,,,,,
Addy,,,,,,,,,,,,,,,,,
Adelaide,,,,,,,,,,,,,,,,,
Adelma Beach,,,,,,,,,,,,,,,,,
Adkins,,,,,,,,,,,,,,,,,
Adna,,,,,,,,,,,,,,,,,
Adrian,,,,,,,,,,,,,,,,,
Aeneas,,,,,,,,,,,,,,,,,
Agate,,,,,,,,,,,,,,,,,
Agate Bay,,,,,,,,,,,,,,,,,
Agate Point,,,,,,,,,,,,,,,,,
Agnew,,,,,,,,,,,,,,,,,
Ahtanum,90.77%,0.74%,1.03%,0.45%,0.02%,4.81%,2.18%,8.75%,$48,352.00,$53,333.00,$37,897.00,$23,209.00,$19,677.00,4.50%,6.10%,8.70%,2.40%
Ainsworth Junction,,,,,,,,,,,,,,,,,
Airway Heights,69.51%,10.47%,3.20%,1.84%,0.38%,1.56%,3.11%,9.93%,$29,829.00,$31,344.00,$26,117.00,$22,031.00,$16,005.00,0.00%,6.30%,21.00%,3.00%
Ajlune,,,,,,,,,,,,,,,,,
Alabama Hill,,,,,,,,,,,,,,,,,
Aladdin,,,,,,,,,,,,,,,,,
Alameda,,,,,,,,,,,,,,,,,
Albion,93.51%,0.16%,0.49%,0.65%,1.46%,1.79%,1.95%,3.25%,$40,179.00,$45,893.00,$28,250.00,$23,828.00,$19,567.00,11.70%,15.80%,32.80%,0.00%
Alder,,,,,,,,,,,,,,,,,
Alder Grove,,,,,,,,,,,,,,,,,
Alderdale,,,,,,,,,,,,,,,,,
Alderton,,,,,,,,,,,,,,,,,
Alderwood,84.20%,1.11%,3.84%,5.04%,0.39%,2.84%,2.59%,5.98%,$39,902.00,$43,194.00,$35,875.00,$27,167.00,$21,322.00,11.30%,15.60%,25.50%,8.20%
Alderwood Manor,52.12%,14.62%,0.86%,9.82%,0.46%,1.59%,3.53%,26.97%,$61,199.00,$68,679.00,$45,807.00,$33,099.00,$24,012.00,2.40%,3.60%,4.00%,2.40%
Alexander Beach,,,,,,,,,,,,,,,,,
Alfalfa,20.20%,,0.79%,,,76.36%,2.65%,85.53%,$26,250.00,$28,026.00,$21,458.00,$20,000.00,$8,111.00,28.50%,34.30%,43.30%,21.40%
Alger,94.38%,,,,,5.62%,,5.62%,$13,542.00,$34,125.00,$37,614.00,$36,250.00,$18,180.00,27.60%,35.80%,0.00%,38.50%
Algona,84.80%,1.67%,1.87%,5.93%,0.12%,2.28%,3.33%,5.98%,$50,833.00,$52,462.00,$40,450.00,$28,370.00,,4.50%,,3.70%,10.40%
Alki,,,,,,,,,,,,,,,,,
Allen,,,,,,,,,,,,,,,,,
Allentown,,,,,,,,,,,,,,,,,
Allison,,,,,,,,,,,,,,,,,
Allyn,,,,,,,,,,,,,,,,,
Almira,93.38%,0.66%,2.98%,1.66%,,,1.32%,1.32%,$30,208.00,$34,107.00,$26,429.00,$36,563.00,$15,769.00,16.50%,21.00%,29.90%,12.80%
Almota,,,,,,,,,,,,,,,,,
Alpha,,,,,,,,,,,,,,,,,
Alta Vista,,,,,,,,,,,,,,,,,
Alto,,,,,,,,,,,,,,,,,
Altoona,79.50%,0.00%,7.70%,0.00%,0.00%,0.00%,12.80%,5.10%,,,,,,,,,
Amanda Park,,,,,,,,,,,,,,,,,
Amboy,95.78%,0.43%,1.25%,0.29%,0.19%,0.77%,1.29%,1.73%,$50,896.00,$52,170.00,$41,535.00,$22,128.00,$16,973.00,6.50%,6.50%,9.20%,0.00%
Ames Lake,92.89%,0.07%,0.21%,4.11%,0.14%,0.42%,2.16%,1.32%,$93,224.00,$96,679.00,$67,500.00,$41,630.00,$49,863.00,0.00%,3.30%,0.00%,0.00%
Anacortes,91.50%,0.70%,1.00%,1.90%,0.10%,1.60%,3.30%,5.00%,,,,,,,,,
Anatone,,,,,,,,,,,,,,,,,
Anderson Island,,,,,,,,,,,,,,,,,
Ankeny,,,,,,,,,,,,,,,,,
Anson,,,,,,,,,,,,,,,,,
