State,First / Middle Name,Last Name,Year,Office,Party,Result
Alabama,David C.,Abel,2002,28th House District,(R),lost
Alabama,Tom,Abernathy,1954,Governor,(R),lost
Alabama,,Abernathy,2006,88th House District,(D),lost
Alabama,Joe D.,Acker,2002,16th House District,(R),lost
Alabama,Lyn Curtis,Adams,2002,Lieutenant Governor,(L),lost
Alabama,Lyn Curtis,Adams,2006,31st Senate District,(R),lost
Alabama,Tijuana,Adetunji,2014,78th House District,(R),lost
Alabama,Tijuana,Adetunji,2018,78th House District,(I),lost
Alabama,Will,Ainsworth,2014,27th House District,(R),won
Alabama,Will,Ainsworth,2018,Lieutenant Governor,(R),won
Alabama,Lula,Albert-Kaigler,2014,Secretary of State,(D),lost
Alabama,,Albright,2006,67th House District,(F),lost
Alabama,Greg,Albritton,2002,64th House District,(R),won
Alabama,Greg,Albritton,2014,22nd Senate District,(R),won
Alabama,Greg,Albritton,2018,22nd Senate District,(R),won
Alabama,Louise,Alexander,2014,56th House District,(D),won
Alabama,Louise,Alexander,2018,56th House District,(D),won
Alabama,Gerald,Allen,2002,62nd House District,(R),won
Alabama,Gerald,Allen,2006,62nd House District,(R),won
Alabama,Gerald,Allen,2010,21st Senate District,(R),won
Alabama,Gerald,Allen,2014,21st Senate District,(R),won
Alabama,Gerald,Allen,2018,21st Senate District,(R),won
Alabama,Glenn L.,Allen,2010,75th House District,(D),won
Alabama,Jean,Allen,2002,21st Senate District,(L),lost
Alabama,Wes,Allen,2018,89th House District,(R),won
Alabama,Lee,Alley,2002,Agriculture Commissioner,(R),lost
Alabama,Mabel S.,Amos,1970,Secretary of State,(D),won
Alabama,James H.,Anderson,2010,Attorney General,(D),lost
Alabama,Steve,Andrews,2002,2nd Senate District,(R),lost
Alabama,Bill,Armistead,2002,Lieutenant Governor,(R),lost
Alabama,Nicki,Arnold‐Swindle,2018,36th House District,(D),lost
Alabama,Spencer,Bachus,1990,Attorney General,(R),lost
Alabama,Gregory Eric,Bacon,2002,7th Senate District,(L),lost
Alabama,Phillip,Bahakel,2014,52nd House District,(R),lost
Alabama,Alan,Baker,2006,66th House District,(R),won
Alabama,Alan,Baker,2010,66th House District,(R),won
