State,County,FIPS,Density,White,MHI,Bachelors,2012D,2012R,2012O,2016D,2016R,2016O
Alabama,Autauga,1001,92.9311621,0.75046161,58343,0.25,6363,17379,231,5936,18172,865
Alabama,Baldwin,1003,130.654556,0.83158893,56607,0.307,18424,66016,1051,18458,72883,3874
Alabama,Barbour,1005,29.1779676,0.4624114,32490,0.12,5912,5550,55,4871,5454,144
Alabama,Bibb,1007,36.2620065,0.74552622,45795,0.132,2202,6132,86,1874,6738,207
Alabama,Blount,1009,89.2040696,0.87499348,48253,0.131,2970,20757,333,2156,22859,573
Alabama,Bullock,1011,16.6682723,0.21693479,29113,0.134,4061,1251,10,3530,1140,40
Alabama,Butler,1013,25.7829898,0.51844825,36842,0.161,4374,5087,41,3726,4901,105
Alabama,Calhoun,1015,189.839405,0.72499087,45937,0.179,15511,30278,575,13242,32865,1757
Alabama,Chambers,1017,56.6124084,0.5578751,36883,0.133,6871,7626,132,5784,7843,273
Alabama,Cherokee,1019,46.5522846,0.91748138,44842,0.125,2132,7506,154,1547,8953,233
Alabama,Chilton,1021,63.3557047,0.80385457,46405,0.151,3397,13932,156,2911,15081,377
Alabama,Choctaw,1023,14.2846196,0.56556058,36711,0.116,3786,4152,38,3109,4106,77
Alabama,Clarke,1025,19.6607077,0.52860487,36719,0.13,6334,7470,56,5749,7140,142
Alabama,Clay,1027,22.1753096,0.8031061,39642,0.103,1777,4817,85,1237,5245,142
Alabama,Cleburne,1029,26.5184788,0.92681613,45480,0.124,971,5272,76,684,5764,145
Alabama,Coffee,1031,75.3273341,0.70689217,51998,0.227,4925,14666,230,4221,15875,671
Alabama,Colbert,1033,91.7400695,0.78812515,46100,0.188,9166,13936,342,7312,16746,857
Alabama,Conecuh,1035,14.704291,0.4962803,30796,0.088,3555,3439,31,3080,3420,85
Alabama,Coosa,1037,16.6315887,0.65388879,42442,0.11,2191,3049,42,1782,3381,89
Alabama,Covington,1039,36.2770025,0.83355626,39093,0.155,3158,12153,128,2387,13267,286
Alabama,Crenshaw,1041,22.8664345,0.71009912,38419,0.163,2050,4331,43,1664,4513,90
Alabama,Cullman,1043,112.209461,0.92138838,45925,0.149,5052,28999,504,3798,32989,1086
Alabama,Dale,1045,87.8570792,0.69473236,42572,0.168,5286,13108,207,4413,13808,528
Alabama,Dallas,1047,40.9649634,0.27382021,31329,0.142,14612,6288,64,12836,5789,167
Alabama,DeKalb,1049,91.4964805,0.80792113,39906,0.13,5239,18331,380,3622,21405,799
Alabama,Elmore,1051,131.391476,0.73463938,59652,0.228,8954,26253,339,8443,27634,1183
Alabama,Escambia,1053,39.6664833,0.60091229,37870,0.121,5489,9287,118,4605,9935,305
Alabama,Etowah,1055,192.244715,0.78101878,41791,0.169,12803,29130,691,10442,32353,1369
Alabama,Fayette,1057,26.3757448,0.84735729,39394,0.146,1817,6054,87,1362,6712,175
Alabama,Franklin,1059,49.9416238,0.77080306,41025,0.134,3171,7567,143,2197,9466,377
Alabama,Geneva,1061,46.1308125,0.8393841,38561,0.111,2039,9175,117,1525,9994,239
Alabama,Greene,1063,13.1090541,0.1702228,28108,0.114,4521,804,18,4013,838,29
Alabama,Hale,1065,23.0378607,0.39642737,34905,0.144,5411,3210,26,4775,3173,92
Alabama,Henry,1067,30.4103249,0.6887549,48094,0.171,3083,5628,55,2292,5632,148
Alabama,Houston,1069,179.778207,0.67018103,44753,0.209,12367,29270,347,10664,30728,1247
Alabama,Jackson,1071,48.2878269,0.89525054,42658,0.134,5822,14439,371,3673,16672,639
Alabama,Jefferson,1073,594.203081,0.50211562,50731,0.319,159876,141683,2964,156873,134768,12550
Alabama,Lamar,1075,23.0255435,0.86213829,39796,0.133,1646,5457,73,1036,5823,107
Alabama,Lauderdale,1077,138.47087,0.84865397,46646,0.225,12511,23911,610,9952,27899,1674
Alabama,Lawrence,1079,48.1163491,0.7673096,42912,0.102,5069,8874,205,3627,10833,369
Alabama,Lee,1081,262.20002,0.67554317,51372,0.349,21381,32194,921,21230,34617,3344
Alabama,Limestone,1083,165.805265,0.76985384,57342,0.246,9829,25295,416,9468,29067,1759
Alabama,Lowndes,1085,14.3216326,0.24207549,33130,0.137,5747,1756,20,4883,1751,50
Alabama,Macon,1087,31.3094319,0.15516156,30849,0.201,9045,1331,20,7566,1431,143
Alabama,Madison,1089,445.141531,0.65085575,62750,0.406,62015,90884,2529,62822,89520,11047
Alabama,Marengo,1091,19.9778888,0.44768395,37469,0.154,6167,5336,40,5615,5233,146
Alabama,Marion,1093,40.3669725,0.91926979,38049,0.134,2249,9697,183,1432,11274,278
