State,Year,Office,County,D#,R#,Pop.#,Prog.#,Proh.#,U#,S#,SW#,ND#,Comm.#,C#,CON#,IND#,I1#,I2#,I3#,I4#,I5#,I6#,I7#,Ref.#,NL#,L#,G#,Citizens,States' Rights,Independent African American,Statesman,Write-Ins,SM#,W/I1#,W/I2#,Det.#,W#
Alabama,1904,President,Autauga,733,73,9,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Baldwin,454,126,9,,1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Barbour,1356,49,29,,8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Bibb,185,155,48,,5,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Blount,1383,910,117,,13,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Bullock,726,0,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Butler,805,83,63,,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Calhoun,1556,287,57,,26,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Chambers,1421,74,59,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Cherokee,905,502,232,,15,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Chilton,738,648,257,,6,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Choctaw,558,45,22,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Clarke,1131,79,9,,13,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Clay,1345,990,44,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Cleburne,701,414,33,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Coffee,1106,226,380,,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Colbert,936,203,3,,5,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Conecuh,739,106,18,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Coosa,933,472,106,,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Covington,907,310,110,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1904,President,Crenshaw,1077,180,93,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
