State,Year,Office,County,D#,R#,L#,C#,G#,NL#,Ref.#,S#,I1#,I2#,I3#,I4#,Pop.#,Proh.#,Prog.#,CN#,Cit.#,PBP#,In. Al.#,USC#,NA#,Ap.#,AF#,JIA#,TBA,LB#,WW#,W/I1#,W/I2#,I#,W/I#
Arkansas,1904,President,Arkansas,753,470,,,,,,32,,,,,25,17,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Ashley,804,347,,,,,,1,,,,,6,5,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Baxter,426,236,,,,,,17,,,,,4,3,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Benton,1963,1202,,,,,,124,,,,,75,62,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Boone,910,618,,,,,,48,,,,,13,17,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Bradley,569,188,,,,,,5,,,,,9,3,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Calhoun,501,235,,,,,,0,,,,,7,0,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Carroll,925,869,,,,,,42,,,,,34,18,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Chicot,549,496,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Clark,722,732,,,,,,5,,,,,167,10,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Clay,968,752,,,,,,28,,,,,27,14,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Cleburne,394,214,,,,,,15,,,,,55,9,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Cleveland,704,330,,,,,,81,,,,,20,74,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Columbia,1445,554,,,,,,6,,,,,17,8,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Conway,1572,937,,,,,,10,,,,,16,11,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Craighead,1051,559,,,,,,37,,,,,39,35,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Crawford,875,941,,,,,,25,,,,,15,27,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Crittenden,344,412,,,,,,1,,,,,3,1,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Cross,630,321,,,,,,27,,,,,1,0,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Dallas,604,496,,,,,,7,,,,,37,8,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Desha,204,82,,,,,,0,,,,,0,1,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Drew,953,593,,,,,,14,,,,,17,7,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Faulkner,1073,764,,,,,,25,,,,,28,17,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Franklin,968,593,,,,,,39,,,,,66,31,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Fulton,481,359,,,,,,30,,,,,18,7,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Garland,804,854,,,,,,9,,,,,5,5,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Grant,406,151,,,,,,2,,,,,0,1,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Greene,922,409,,,,,,6,,,,,38,14,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Hempstead,1410,1477,,,,,,19,,,,,61,22,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Hot Spring,605,537,,,,,,7,,,,,18,8,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Howard,644,500,,,,,,5,,,,,122,10,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Independence,1052,736,,,,,,5,,,,,44,10,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Izard,605,313,,,,,,5,,,,,21,7,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Jackson,746,677,,,,,,2,,,,,3,4,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Jefferson,1520,1324,,,,,,70,,,,,14,15,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Johnson,1047,507,,,,,,27,,,,,22,17,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Lafayette,614,566,,,,,,3,,,,,24,6,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Lawrence,672,534,,,,,,16,,,,,24,13,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Lee,1682,1569,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Lincoln,544,352,,,,,,12,,,,,16,7,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Little River,557,388,,,,,,10,,,,,32,12,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Logan,1237,1007,,,,,,3,,,,,40,6,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Lonoke,1178,775,,,,,,2,,,,,17,4,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Madison,1072,1160,,,,,,36,,,,,4,5,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Marion,580,356,,,,,,6,,,,,6,4,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Miller,763,666,,,,,,12,,,,,30,5,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Mississippi,689,417,,,,,,3,,,,,3,3,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Monroe,757,555,,,,,,7,,,,,3,4,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Montgomery,342,491,,,,,,3,,,,,31,2,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Nevada,585,556,,,,,,16,,,,,329,38,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Newton,280,645,,,,,,9,,,,,4,4,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Ouachita,1083,974,,,,,,6,,,,,7,7,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Perry,477,356,,,,,,17,,,,,6,4,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Phillips,1434,251,,,,,,0,,,,,3,4,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Pike,432,517,,,,,,13,,,,,35,13,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Poinsett,599,310,,,,,,12,,,,,6,2,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Polk,528,476,,,,,,53,,,,,85,35,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Pope,1424,850,,,,,,6,,,,,31,9,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Prairie,639,648,,,,,,9,,,,,15,4,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Pulaski,3099,2450,,,,,,163,,,,,32,29,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Randolph,838,409,,,,,,22,,,,,16,3,,,,,,,,,,,,,,,,,
Arkansas,1904,President,St. Francis,737,577,,,,,,11,,,,,5,3,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Saline,588,391,,,,,,17,,,,,23,9,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Scott,458,458,,,,,,41,,,,,36,19,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Searcy,404,709,,,,,,24,,,,,9,6,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Sebastian,1645,1254,,,,,,245,,,,,75,67,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Sevier,711,412,,,,,,24,,,,,67,5,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Sharp,671,288,,,,,,28,,,,,21,10,,,,,,,,,,,,,,,,,
Arkansas,1904,President,Stone,277,233,,,,,,12,,,,,11,7,,,,,,,,,,,,,,,,,
