State,Year,County,Office,D#,R#,LD#,Prog.#,Proh.#,G#,IND#,L#,Ref.#,NL#,S#,SL#,Am.#,BE#,ADP#,NL#,Cit#,I#,SR#,Labor#,NA#,DR#,F1#,F2#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#
Delaware,1912,Kent,President,4071,3192,,567,97,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1912,New Castle,President,13009,8340,,7090,398,,,,,,547,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1912,Sussex,President,5551,4466,,1229,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1916,Kent,President,4210,3813,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1916,New Castle,President,14894,16166,,,436,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1916,Sussex,President,5649,6032,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1920,Kent,President,7211,6511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1920,New Castle,President,24252,36600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1920,Sussex,President,8448,9747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1924,Kent,President,6936,6894,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1924,New Castle,President,17842,35427,,4562,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1924,Sussex,President,8668,10120,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1928,Kent,President,5727,8335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1928,New Castle,President,22464,47641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1928,Sussex,President,7163,12884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1932,Kent,President,8829,6597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1932,New Castle,President,32872,39844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1932,Sussex,President,12618,10632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
