State,Year,Office,County,D#,R#,Prog.#,S#,SW#,Soc.Lib#,Comm.#,Proh.#,A#,SR#,AI#,Ref.#,NL#,G#,L#,PF#,NA#,Wor.#,Eco.#,Tea#,Obj.#,Just.#,Am.#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,I1#,I2#,I3#,I4#,I5#,I6#,V#,C#,Ind.#,TEA#
Florida,1912,President,Alachua,1304,221,75,75,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Baker,168,37,93,2,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Bradford,656,95,40,56,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Brevard,357,61,82,8,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Calhoun,332,67,59,50,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Citrus,417,11,44,10,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Clay,279,26,21,10,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Columbia,520,66,50,11,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,DeSoto,847,110,78,89,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Duval,3514,243,485,77,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Escambia,1593,72,202,41,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Franklin,266,58,23,5,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Gadsden,609,75,54,2,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Hamilton,405,46,24,22,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Hernando,272,18,22,29,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Hillsborough,2641,159,269,164,,,,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Holmes,411,52,110,20,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Jackson,1205,163,68,115,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Jefferson,459,47,39,2,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Lafayette,473,73,11,51,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Lake,596,92,63,21,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Lee,432,38,97,31,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Leon,546,56,46,3,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Levy,375,74,24,29,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Liberty,206,32,18,2,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Madison,480,16,30,3,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Manatee,712,55,108,63,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Marion,1165,179,117,62,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Miami-Dade,1171,99,291,33,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Monroe,1023,414,152,26,,,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Nassau,441,38,17,5,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Orange,1256,228,134,101,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Osceola,512,110,159,44,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Palm Beach,458,31,146,13,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Pasco,485,60,74,36,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Pinellas,853,87,250,39,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Polk,1520,106,141,70,,,,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Putnam,774,229,53,51,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Santa Rosa,592,70,48,95,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Saint Johns,836,45,132,15,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Saint Lucie,352,45,36,9,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Sumter,417,22,71,29,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Suwannee,714,54,29,15,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Taylor,236,56,19,43,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Volusia,942,162,72,122,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Wakulla,215,25,15,2,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Walton,612,74,296,5,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Washington,694,82,68,48,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
