State,Year,Office,County,D#,R#,Prog.#,C#,I#,Ref.#,L#,Proh.#,S#,Comm.#,U#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#,W/I12#,G/R,NP1#,NP23,NP3#,NP4#,NP5#
Georgia,1912,President,Appling,360,90,149,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Baker,183,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Baldwin,621,24,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Banks,133,9,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Bartow,963,89,553,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Ben Hill,535,34,263,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Berrien,709,35,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Bibb,1741,105,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Brooks,695,37,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Bryan,400,114,120,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Bulloch,932,17,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Burke,440,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Butts,490,27,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Calhoun,300,61,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Camden,238,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Candler,443,6,104,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Carroll,1192,81,431,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Catoosa,286,63,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Charlton,150,22,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Chatham,3864,238,332,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Chattahoochee,137,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Chattooga,578,69,220,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Cherokee,603,21,710,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Clarke,956,66,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Clay,369,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Clayton,443,3,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Clinch,283,48,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Cobb,1329,37,307,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Coffee,895,28,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Colquitt,699,8,507,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Columbia,234,2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Coweta,1044,35,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Crawford,249,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Crisp,644,12,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Dade,287,18,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Dawson,170,23,161,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Decatur,500,33,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,DeKalb,1888,48,431,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Dodge,684,12,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Dooly,609,5,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Dougherty,617,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Douglas,266,18,307,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Early,501,7,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Echols,144,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Effingham,375,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Elbert,882,13,238,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Emanuel,715,22,129,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Fannin,451,164,309,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Fayette,363,12,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
