State,Year,Office,County,D#,R#,ID#,Best#,C#,L#,Comm.#,I1#,I2#,Ref.#,G#,NL#,PF#,NA#,ER#,Cit.#,Sh.#,FE#
Hawaii,1960,President,Hawaii,11557,12251,,,,,,,,,,,,,,,,
Hawaii,1960,President,Honolulu,68915,65541,,,,,,,,,,,,,,,,
Hawaii,1960,President,Kauai,4636,5655,,,,,,,,,,,,,,,,
Hawaii,1960,President,Maui,7302,8848,,,,,,,,,,,,,,,,
Hawaii,1964,President,Hawaii,20011,4962,,,,,,,,,,,,,,,,
Hawaii,1964,President,Honolulu,121859,33536,,,,,,,,,,,,,,,,
Hawaii,1964,President,Kauai,8713,1971,,,,,,,,,,,,,,,,
Hawaii,1964,President,Maui,12666,3553,,,,,,,,,,,,,,,,
Hawaii,1968,President,Hawaii,15819,9625,,,283,,,,,,,,,,,,,
Hawaii,1968,President,Honolulu,108141,71259,,,2794,,,,,,,,,,,,,
Hawaii,1968,President,Kauai,7051,4140,,,155,,,,,,,,,,,,,
Hawaii,1968,President,Maui,10313,6401,,,237,,,,,,,,,,,,,
Hawaii,1972,President,Hawaii,11652,16832,,,,,,,,,,,,,,,,
Hawaii,1972,President,Honolulu,76957,132844,,,,,,,,,,,,,,,,
Hawaii,1972,President,Kauai,5401,7571,,,,,,,,,,,,,,,,
Hawaii,1972,President,Maui,7399,11618,,,,,,,,,,,,,,,,
Hawaii,1976,President,Hawaii,15960,15366,,,,439,,,,,,,,,,,,
Hawaii,1976,President,Honolulu,111389,108041,,,,3046,,,,,,,,,,,,
Hawaii,1976,President,Kauai,8105,6278,,,,139,,,,,,,,,,,,
Hawaii,1976,President,Maui,11921,10318,,,,299,,,,,,,,,,,,
Hawaii,1980,President,Hawaii,17630,14247,,,,535,65,3091,,,,,,,,293,,
Hawaii,1980,President,Honolulu,96472,99596,,,,2259,301,25331,,,,,,,,1036,,
Hawaii,1980,President,Kauai,9081,5883,,,,137,48,1352,,,,,,,,120,,
Hawaii,1980,President,Maui,12674,10359,,,,338,44,2237,,,,,,,,99,,
Hawaii,1984,President,Hawaii,17866,20707,,,,366,116,88,,,,,,,,,,
Hawaii,1984,President,Honolulu,107444,140323,,,,1466,560,444,,,,,,,,,,
Hawaii,1984,President,Kauai,8862,9249,,,,112,61,48,,,,,,,,,,
Hawaii,1984,President,Maui,12966,14720,,,,223,84,74,,,,,,,,,,
Hawaii,1988,President,Hawaii,24091,17125,,,,322,,,,,,,,158,72,,,
Hawaii,1988,President,Honolulu,138971,120258,,,,1366,,,,,,,,673,309,,,
Hawaii,1988,President,Kauai,11770,8298,,,,93,,,,,,,,73,32,,,
Hawaii,1988,President,Maui,17532,12944,,,,218,,,,,,,,99,57,,,
Hawaii,1992,President,Hawaii,25725,15460,,,,233,,8889,404,,,86,,119,,,,
Hawaii,1992,President,Honolulu,123908,103937,,,,706,,35728,850,,,240,,472,,,,
Hawaii,1992,President,Kauai,10715,6274,,,,125,,1756,104,,,73,,80,,,,
Hawaii,1992,President,Maui,18962,11151,,,,55,,6630,94,,,17,,49,,,,
Hawaii,1996,President,Hawaii,28670,17050,,,49,422,,,,4604,2489,102,,,,,,
Hawaii,1996,President,Honolulu,139618,101310,,,243,1627,,,,13037,6087,338,,,,,,
Hawaii,1996,President,Kauai,13470,6583,,,27,159,,,,1474,533,51,,,,,,
Hawaii,1996,President,Maui,23484,12876,,,3,285,,,,2499,1277,79,,,,,,
Hawaii,2000,President,Hawaii,28670,17050,,,52,276,,,,157,4604,51,,,,,,
Hawaii,2000,President,Honolulu,139618,101310,,,228,912,,,,708,13037,177,,,,,,
Hawaii,2000,President,Kauai,13470,6583,,,17,106,,,,84,1474,39,,,,,,
Hawaii,2000,President,Maui,23484,12876,,,46,182,,,,122,2499,39,,,,,,
Hawaii,2004,President,Hawaii,35116,22032,,,,233,,,,,321,,,,,,,
Hawaii,2004,President,Honolulu,152500,144157,,,,849,,,,,1041,,,,,,,
Hawaii,2004,President,Kauai,14916,9740,,,,96,,,,,124,,,,,,,
Hawaii,2004,President,Maui,28803,18187,,,,196,,,,,244,,,,,,,
Hawaii,2008,President,Hawaii,50819,14866,,,183,232,,619,,,197,,,,,,,
Hawaii,2008,President,Honolulu,214239,88164,,,605,790,,2437,,,578,,,,,,,
Hawaii,2008,President,Kauai,20416,6245,,,82,94,,300,,,87,,,,,,,
Hawaii,2008,President,Maui,39727,11154,,,142,195,,462,,,109,,,,,,,
Hawaii,2012,President,Hawaii,47224,14753,,,,749,,,,,728,,,,,,,
Hawaii,2012,President,Honolulu,204349,88461,,,,2252,,,,,1680,,,,,,,
Hawaii,2012,President,Kauai,18641,6121,,,,272,,,,,338,,,,,,,
Hawaii,2012,President,Maui,36052,11602,,,,565,,,,,434,,,,,,,
Hawaii,2016,President,Hawaii,41259,17501,,,785,2470,,,,,2852,,,,,,,
Hawaii,2016,President,Honolulu,175696,90326,,,2825,10467,,,,,6476,,,,,,,
Hawaii,2016,President,Kauai,16456,7574,,,304,982,,,,,1019,,,,,,,
Hawaii,2016,President,Maui,33480,13446,,,594,2035,,,,,2390,,,,,,,
Hawaii,1968,US Senate,Hawaii,20783,3683,,,,,,,,,,,371,,,,,
Hawaii,1968,US Senate,Honolulu,145809,27335,,,,,,,,,,,2760,,,,,
Hawaii,1968,US Senate,Kauai,9279,1032,,,,,,,,,,,168,,,,,
Hawaii,1968,US Senate,Maui,13377,1958,,,,,,,,,,,372,,,,,
Hawaii,1986,US Senate,Hawaii,,,,,,,,,,,,,,,,,,
Hawaii,1986,US Senate,Honolulu,,,,,,,,,,,,,,,,,,
Hawaii,1986,US Senate,Kauai,,,,,,,,,,,,,,,,,,
Hawaii,1986,US Senate,Maui,,,,,,,,,,,,,,,,,,
Hawaii,1988,US Senate,Hawaii,30270,8868,,,,1175,,,,,,,,,,,,
Hawaii,1988,US Senate,Honolulu,179819,48781,,,,6417,,,,,,,,,,,,
Hawaii,1988,US Senate,Kauai,16391,2427,,,,512,,,,,,,,,,,,
Hawaii,1988,US Senate,Maui,21641,6911,,,,844,,,,,,,,,,,,
Hawaii,1990,US Senate,Hawaii,25508,17574,,,,901,,,,,,,,,,,,
Hawaii,1990,US Senate,Honolulu,128781,118332,,,,2868,,,,,,,,,,,,
Hawaii,1990,US Senate,Kauai,13874,7020,,,,265,,,,,,,,,,,,
Hawaii,1990,US Senate,Maui,20736,13048,,,,752,,,,,,,,,,,,
Hawaii,1992,US Senate,Hawaii,27461,15130,,,,925,,,,,6715,,,,,,,
Hawaii,1992,US Senate,Honolulu,148786,66071,,,,5758,,,,,37720,,,,,,,
Hawaii,1992,US Senate,Kauai,13213,4058,,,,253,,,,,1078,,,,,,,
Hawaii,1992,US Senate,Maui,18761,12646,,,,609,,,,,4406,,,,,,,
Hawaii,1994,US Senate,Hawaii,33021,10777,,,,2434,,,,,,,,,,,,
Hawaii,1994,US Senate,Honolulu,181570,64354,,,,9829,,,,,,,,,,,,
Hawaii,1994,US Senate,Kauai,16397,3475,,,,625,,,,,,,,,,,,
Hawaii,1994,US Senate,Maui,25201,7712,,,,1504,,,,,,,,,,,,
Hawaii,1998,US Senate,Hawaii,38844,10840,,,,2223,,,,,,,,,,,,
Hawaii,1998,US Senate,Honolulu,224619,48941,,,,7831,,,,,,,,,,,,
Hawaii,1998,US Senate,Kauai,19463,3097,,,,593,,,,,,,,,,,,
Hawaii,1998,US Senate,Maui,32326,8086,,,,1261,,,,,,,,,,,,
Hawaii,2000,US Senate,Hawaii,34092,12468,,,324,755,,,,,,770,,,,,,
Hawaii,2000,US Senate,Honolulu,173345,59943,,,1696,1797,,,,,,2558,,,,,,
Hawaii,2000,US Senate,Kauai,16039,3462,,,159,225,,,,,,388,,,,,,
Hawaii,2000,US Senate,Maui,27695,8808,,,179,349,,,,,,500,,,,,,
Hawaii,2004,US Senate,Hawaii,41840,11583,,,,1272,,1250,,,,,,,,,,
Hawaii,2004,US Senate,Honolulu,218464,62027,,,,2869,,6398,,,,,,,,,,
