State,Year,Office,County,D#,R#,Pop.#,Proh.#,S#,SW#,Comm.#,I1#,I2#,I3#,I4#,Prog.#,Liberty#,U#,C#,PF#,Ref.#,NL#,G#,L#,NA#,Labor#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,Am.#,W/I#
Idaho,1892,President,Ada,,1170,1597,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Alturas,,290,596,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Bear Lake,,114,220,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Bingham,,973,933,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Boise,,377,500,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Cassia,,121,173,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Custer,,187,324,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Elmore,,188,351,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Idaho,,386,448,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Kootenai,,713,753,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Latah,,1242,1432,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Lemhi,,330,244,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Logan,,306,518,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Nez Perce,,345,428,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Oneida,,267,137,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Owyhee,,337,340,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Shoshone,,936,971,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Washington,,317,555,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Ada,2072,2706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Bannock,1581,1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Bear Lake,1077,1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Bingham,1613,1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Blaine,1345,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Boise,852,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Canyon,1314,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Cassia,624,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Custer,590,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Elmore,565,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Fremont,2153,2174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Idaho,1884,1527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Kootenai,1871,1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Latah,2004,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Lemhi,897,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Lincoln,355,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
