State,Year,Office,County,D#,R#,Pop.#,Proh.#,Wor.#,Nat.#,GS#,Prog.#,U#,UL#,S#,FL#,SL#,SW#,Comm.#,AI#,I#,NA#,Ref.#,L#,NAll.#,Labor#,SD#,UR#,IND#,ST#,Cit.#,PF#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,Am.#,W/I#,Green,Pirate
Indiana,1888,President,Adams,2936,1277,,141,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Allen,9692,5455,,162,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Bartholomew,3109,2742,,69,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Benton,1425,1626,,62,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Blackford,1232,1141,,59,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Boone,3324,3441,,104,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Brown,1538,661,,63,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Carroll,2560,2607,,130,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Cass,4221,3822,,162,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Clark,3788,3206,,46,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Clay,3773,3711,,130,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Clinton,3278,3519,,137,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Crawford,1628,1445,,22,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Daviess,2689,2691,,6,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Dearborn,3531,2648,,57,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Decatur,2400,2663,,67,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,DeKalb,3160,2879,,141,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Delaware,2368,4227,,181,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Dubois,2986,1220,,17,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Elkhart,4464,4955,,322,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Fayette,1471,1953,,24,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Floyd,3824,2947,,86,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Fountain,2525,2608,,31,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Franklin,2872,1712,,37,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Fulton,2163,2053,,76,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
