State,Year,Office,County,D#,R#,S#,SL#,SW#,S&L#,Comm.#,FL#,ND#,SD#,Proh.#,NP#,PF#,Pop.#,Prog.#,U#,AI#,I1#,I2#,I3#,Ref.#,NL#,G#,L#,W/I#,GR#,Am.F#,ER#,NT#,WL#,Pat.#,NA#,BD#,SM#,Cit.#,Labor#,Univ.#,Pet.1#,Pet.2#,UC#,ACP#,New I#,LMN#,SRD#,Peace I#,Am.#,Iowa#,New IA#,PND#,Pet.3#,Pet.4#,BQFTL#,CON#,Pet.#,Clear Water #,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,C#,NI#,All.#,Geneol.#
Iowa,1896,President,Adair,1946,2127,,1,,,,,28,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Adams,1701,1736,,3,,,,,22,,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Allamakee,1897,2471,,4,,,,,95,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Appanoose,2940,3046,,8,,,,,19,,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Audubon,1417,1705,,0,,,,,16,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Benton,2560,3604,,1,,,,,63,,38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Black Hawk,2167,4643,,1,,,,,158,,56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Boone,2801,3741,,1,,,,,26,,56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Bremer,1704,2116,,3,,,,,73,,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Buchanan,2233,2865,,1,,,,,50,,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Buena Vista,1178,2568,,3,,,,,22,,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Butler,1302,2670,,1,,,,,31,,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Calhoun,1280,2698,,0,,,,,24,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Carroll,2417,2066,,2,,,,,25,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Cass,2240,2959,,2,,,,,58,,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Cedar,2128,2717,,2,,,,,78,,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Cerro Gordo,1408,3048,,1,,,,,38,,59,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Cherokee,1464,2343,,1,,,,,25,,64,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Chickasaw,2084,1967,,2,,,,,17,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Clarke,1517,1646,,0,,,,,11,,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Clay,933,1880,,1,,,,,14,,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Clayton,2910,3302,,3,,,,,81,,32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
