State,Year,Office,County,D#,R#,UL#,Proh.#,Labor#,ND#,Soc.D#,Nat.#,Pop.#,S#,Prog.#,AI#,CON#,I1#,I2#,I3#,Ref.#,NL#,G#,L#,NA#,SM#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,Proh.,Am.#,I#,W/I#,IL#,Unnamed: 13,C#
Kansas,1888,President,Allen,1036,1886,332,77,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Anderson,960,1843,369,171,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Atchison,2603,3219,332,25,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Barber,710,977,304,11,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Barton,1228,1353,101,70,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Bourbon,1831,3569,805,49,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Brown,1803,2696,235,117,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Butler,1616,3172,721,221,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Chase,593,1126,326,36,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Chautauqua,694,1590,466,12,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Cherokee,2038,2935,1269,192,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Cheyenne,420,779,22,14,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Clark,349,473,98,2,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Clay,920,1914,794,140,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Cloud,1052,2542,557,118,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Coffey,1227,1970,440,109,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Comanche,384,490,93,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Cowley,1933,4112,1534,120,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Crawford,1875,3156,1362,120,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kansas,1888,President,Davis,731,1224,131,46,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
