State,Year,Office,County,D#,R#,Prog.#,Pop.#,S#,Proh.#,SL#,Comm.#,Am.#,AI#,CL#,SW#,I#,G#,Ref.#,NL#,L#,U#,NA#,Ind. All.#,Labor#,RfL#,Cit.#,Unity#,Delta#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I#
Kentucky,1912,President,Adair,1398,786,1024,,9,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Allen,1366,1181,757,,16,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Anderson,1391,579,419,,8,34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Ballard,1706,555,119,,197,137,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Barren,2993,1563,738,,48,55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Bath,1477,1002,263,,15,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Bell,970,1183,1705,,120,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Boone,1738,371,142,,32,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Bourbon,2362,1744,429,,16,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Boyd,1772,1271,1236,,242,26,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Boyle,1798,701,726,,22,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Bracken,1315,693,278,,89,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Breathitt,1682,910,396,,11,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Breckinridge,1967,1163,1292,,67,57,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Bullitt,1299,209,472,,15,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Butler,879,1070,988,,53,52,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Caldwell,1231,1263,296,,174,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Calloway,2380,628,325,,258,27,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Campbell,4687,2276,2630,,1307,76,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Carlisle,1409,331,126,,76,27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Carroll,1573,317,208,,3,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Carter,1506,1174,1340,,79,36,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Casey,1158,902,806,,22,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Christian,2784,3520,717,,168,36,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Clark,2321,1056,658,,15,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Clay,625,1034,516,,78,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Clinton,310,828,112,,19,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Crittenden,1230,1367,371,,35,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Cumberland,577,972,156,,3,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Daviess,4314,1506,1839,,83,92,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Edmonson,799,736,519,,26,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Elliott,1006,396,136,,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Estill,875,869,359,,12,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Fayette,5268,4060,1337,,77,52,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Fleming,1915,1400,471,,21,40,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Floyd,1553,961,465,,49,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Franklin,2980,783,604,,20,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Fulton,1609,520,92,,58,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Gallatin,906,174,112,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Garrard,1232,481,1055,,7,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Grant,1562,837,171,,11,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Graves,3838,863,939,,185,39,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Grayson,1685,1075,1146,,58,33,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Green,1117,687,670,,9,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Greenup,1172,923,889,,243,30,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Hancock,757,268,677,,58,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Hardin,2656,632,1250,,80,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Harlan,345,612,824,,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Harrison,2514,1193,246,,21,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Hart,1674,592,1314,,117,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Henderson,3098,1157,763,,362,48,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Henry,2274,805,484,,12,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Hickman,1540,365,134,,28,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Hopkins,3147,1357,1616,,382,47,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Jackson,216,577,885,,12,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Jefferson,24100,3519,23516,,1170,210,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Jessamine,1506,895,409,,12,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Johnson,1034,998,1264,,98,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Kenton,7761,2512,2272,,1210,87,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Knott,1114,387,129,,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Knox,888,1391,1231,,55,29,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Larue,1265,390,568,,22,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Laurel,1094,1085,1020,,123,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Lawrence,1648,1280,632,,48,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Lee,728,570,400,,10,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Leslie,105,606,431,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Letcher,611,978,372,,8,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Lewis,1017,1185,1063,,168,33,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Lincoln,1863,842,1001,,30,85,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Livingston,1009,732,293,,51,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Logan,2697,1632,551,,95,37,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Lyon,996,568,187,,25,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Madison,2992,2094,931,,25,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Magoffin,891,1004,406,,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Marion,1848,735,742,,17,30,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Marshall,1675,634,393,,85,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Martin,256,655,287,,11,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Mason,2475,1558,542,,30,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,McCracken,2948,1308,1085,,441,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,McCreary,225,411,501,,95,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,McLean,1304,822,381,,111,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Meade,1145,337,489,,61,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Menifee,643,254,90,,43,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Mercer,1792,887,606,,5,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Metcalfe,887,482,640,,9,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Monroe,806,1072,680,,6,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Montgomery,1615,758,410,,11,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Morgan,1800,876,219,,31,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Muhlenberg,2093,1038,1699,,766,48,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Nelson,2275,751,735,,23,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Nicholas,1611,700,276,,10,46,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Ohio,2563,1150,1825,,361,44,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Oldham,1159,261,319,,15,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Owen,2460,430,257,,21,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Owsley,221,711,353,,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Pendleton,1310,746,365,,80,35,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Perry,560,1023,114,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Pike,2583,2777,785,,47,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Powell,647,381,163,,6,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Pulaski,1980,1731,1785,,86,103,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Robertson,570,158,262,,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Rockcastle,859,1082,556,,10,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Rowan,737,417,458,,41,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Russell,713,785,273,,41,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Scott,2361,1047,480,,27,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Shelby,2487,1129,607,,25,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Simpson,1639,547,418,,6,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Spencer,1052,271,256,,6,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Taylor,1150,468,842,,21,32,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Todd,1482,1435,170,,79,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Trigg,1263,1322,101,,162,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Trimble,1183,163,138,,5,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Union,2168,642,303,,227,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Warren,3447,1342,1770,,55,57,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Washington,1288,723,912,,10,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Wayne,1329,1170,312,,14,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Webster,2168,1096,524,,89,53,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Whitley,998,905,2036,,136,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Wolfe,873,395,250,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1912,President,Woodford,1561,779,446,,9,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1916,President,Adair,1675,1863,0,,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1916,President,Allen,1647,2147,2,,4,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1916,President,Anderson,1521,1065,0,,1,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1916,President,Ballard,2222,692,1,,75,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1916,President,Barren,3370,2462,0,,23,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1916,President,Bath,1796,1360,0,,8,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1916,President,Bell,1373,3321,2,,54,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
