State,Year,Office,County,Town,D#,R#,Prog.#,U#,Proh.#,S#,Comm.#,SL#,AI#,I#,Ref.#,NL#,G#,L#,ST#,IL#,BL#,Cit.#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,I1#,I2#,I3#,I4#,T#,DN#,SW#,DS#,IHT#,Wor.#,W/I#,All.#
Maine,1908,President,Androscoggin,,3095,4381,,,96,183,,,,,,,,,,60,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Aroostook,,1157,4783,,,145,53,,,,,,,,,,29,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Cumberland,,5735,10593,,,270,372,,,,,,,,,,168,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Franklin,,930,2173,,,51,15,,,,,,,,,,8,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Hancock,,1846,3169,,,36,77,,,,,,,,,,25,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Kennebec,,2871,6133,,,132,99,,,,,,,,,,59,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Knox,,1932,2228,,,40,230,,,,,,,,,,22,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Lincoln,,1196,1693,,,50,51,,,,,,,,,,10,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Oxford,,2093,4179,,,66,63,,,,,,,,,,75,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Penobscot,,3525,7336,,,117,102,,,,,,,,,,30,,,,1,,,,,,,,,,,,,,,,,,
Maine,1908,President,Piscataquis,,828,2157,,,63,7,,,,,,,,,,5,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Sagadahoc,,838,1776,,,65,65,,,,,,,,,,31,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Somerset,,1676,3688,,,62,198,,,,,,,,,,24,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Waldo,,1335,2491,,,32,68,,,,,,,,,,14,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Washington,,2256,3507,,,47,60,,,,,,,,,,25,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,York,,4090,6700,,,215,115,,,,,,,,,,115,,,,0,,,,,,,,,,,,,,,,,,
Maine,1912,President,Androscoggin,,4516,859,4424,,61,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Aroostook,,1924,898,4799,,92,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Cumberland,,8480,5154,6537,,135,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Franklin,,1421,668,1633,,43,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Hancock,,2655,1399,1932,,20,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Kennebec,,4397,1782,5296,,76,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Knox,,2751,1097,1392,,26,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Lincoln,,1633,457,1527,,21,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Oxford,,2941,1234,3068,,38,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Penobscot,,5093,3367,5294,,183,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Piscataquis,,1210,807,1705,,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Sagadahoc,,1331,885,1129,,44,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Somerset,,2317,1235,2479,,39,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Waldo,,2145,881,1636,,33,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Washington,,3178,1862,1893,,33,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,York,,5121,3960,3751,,74,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Androscoggin,,5464,4496,,,47,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Aroostook,,2425,5770,,,50,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Cumberland,,9795,11768,,,77,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Franklin,,1908,1988,,,26,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Hancock,,3303,3192,,,21,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Kennebec,,5527,6731,,,50,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Knox,,3434,2211,,,22,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Lincoln,,1718,1781,,,14,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Oxford,,3625,4026,,,33,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Penobscot,,7294,7324,,,70,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Piscataquis,,1763,2142,,,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Sagadahoc,,1791,1828,,,20,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Somerset,,3134,3567,,,24,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Waldo,,2539,2418,,,21,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Washington,,3459,3891,,,37,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,York,,6854,6375,,,64,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1920,President,Androscoggin,,5757,9565,,,,290,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,
Maine,1920,President,Aroostook,,1407,11191,,,,36,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
Maine,1920,President,Cumberland,,10484,24623,,,,434,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,
Maine,1920,President,Franklin,,1668,3820,,,,33,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
Maine,1920,President,Hancock,,2154,5604,,,,55,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
Maine,1920,President,Kennebec,,5466,12333,,,,154,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,
Maine,1920,President,Knox,,2971,4979,,,,221,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,
Maine,1920,President,Lincoln,,1256,3668,,,,58,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Maine,1920,President,Oxford,,3906,7301,,,,89,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
Maine,1920,President,Penobscot,,6110,14145,,,,126,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,
Maine,1920,President,Piscataquis,,1788,4049,,,,31,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,
Maine,1920,President,Sagadahoc,,1709,3857,,,,73,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Maine,1920,President,Somerset,,2770,6533,,,,275,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
Maine,1920,President,Waldo,,1666,4383,,,,74,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
Maine,1920,President,Washington,,2997,6768,,,,88,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,
Maine,1920,President,York,,6852,13536,,,,177,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,
Maine,1924,President,Androscoggin,,4733,9680,1743,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Aroostook,,1510,9554,626,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Cumberland,,7078,26187,2398,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Franklin,,1123,3389,156,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Hancock,,1392,5474,195,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Kennebec,,4184,13122,827,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Knox,,1770,4919,272,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Lincoln,,878,3311,82,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Oxford,,2563,7062,466,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Penobscot,,3618,15081,1386,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Piscataquis,,974,4031,300,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Sagadahoc,,1084,3518,193,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Somerset,,1822,6855,579,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Waldo,,1125,4003,149,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Washington,,2106,6010,483,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,York,,6004,16244,1527,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1928,President,Androscoggin,,10940,11790,,,,124,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Aroostook,,5771,14545,,,,41,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Cumberland,,15648,33190,,,,157,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Maine,1928,President,Franklin,,1487,4923,,,,22,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Hancock,,1773,8140,,,,33,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Kennebec,,8226,15541,,,,92,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Knox,,2332,6660,,,,88,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Lincoln,,1181,4470,,,,18,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Oxford,,4015,9409,,,,66,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Penobscot,,9114,21750,,,,96,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Piscataquis,,1353,4792,,,,16,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Sagadahoc,,1583,4605,,,,20,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Somerset,,3251,8055,,,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Waldo,,1402,4851,,,,41,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Washington,,3073,8531,,,,35,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,York,,10030,18671,,,,119,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1932,President,Androscoggin,,14441,9838,,,,251,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Aroostook,,9409,14054,,,,122,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Cumberland,,20655,32864,,,,465,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Franklin,,3171,4521,,,,35,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Hancock,,4369,7942,,,,75,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Kennebec,,12110,14451,,,,188,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Knox,,4765,6169,,,,168,23,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Lincoln,,2602,4666,,,,37,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Oxford,,7179,8264,,,,194,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Penobscot,,13058,18987,,,,247,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Piscataquis,,2849,4198,,,,45,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Sagadahoc,,2763,4220,,,,44,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Somerset,,6040,7144,,,,258,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Waldo,,3907,4505,,,,51,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Washington,,6829,7507,,,,85,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,York,,14760,17301,,,,224,8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
