State,Year,Office,County,D#,R#,Pop.#,Prog.#,Proh.#,SD#,SL#,UR#,S#,Labor#,Comm.#,Wor.#,Am.#,L#,IND#,I#,Ref.#,NL#,G#,3rdP#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#,W/I12#,W/I13#,W/I14#,W/I15#,AI#,I1#,I2#,U#
Maryland,1900,President,Allegany,4527,5944,,,283,106,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1900,President,Anne Arundel,3297,4045,,,103,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1900,President,Baltimore,9147,9348,,,348,55,72,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1900,President,Baltimore City,51979,58880,,,1261,617,204,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1900,President,Calvert,865,1414,,,36,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1900,President,Caroline,1774,1796,,,139,8,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1900,President,Carroll,4022,4103,,,189,11,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1900,President,Cecil,2988,2959,,,95,11,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1900,President,Charles,1368,2268,,,19,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1900,President,Dorchester,2733,3366,,,128,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1900,President,Frederick,5820,6391,,,216,15,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1900,President,Garrett,1283,2259,,,30,6,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1900,President,Harford,3509,3145,,,250,9,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1900,President,Howard,1904,1800,,,72,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1900,President,Kent,2076,2426,,,64,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
