State,Year,Office,County,D1#,R#,SD#,D2#,AS#,Nat.#,Wor.#,AF#,Lib.#,TC#,NP#,HR#,Cit.#,GB#,FL#,Proh.#,Labor#,UL#,Pop.#,SW#,S#,Comm.#,SL#,SE#,CW#,ST#,Prog.#,U#,AI#,Ind.#,Tisch#,I1#,I2#,I3#,I4#,Ref.#,NL#,G#,L#,WL#,UC#,W/I#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,D#,FN#,WW#,I#,WAC#,W/I1#,IND#,Am.#,CON#,SD#.1,PU#,Tisch #,W/I7#,W/I8#,W/I9#,SqD#,CD#,T#
Michigan,1876,President,Alcona,162,155,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Allegan,3169,4281,,,0,,,,,,,,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Alpena,635,629,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Antrim,280,475,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Baraga,232,218,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Barry,1902,2966,,,9,,,,,,,,,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Bay,2840,2407,,,4,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Benzie,186,474,,,0,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Berrien,3679,4188,,,0,,,,,,,,,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Branch,2370,3998,,,6,,,,,,,,,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Calhoun,3885,5167,,,33,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Cass,2336,2750,,,0,,,,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Charlevoix,205,411,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Cheboygan,445,262,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Chippewa,283,172,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Clare,236,272,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Clinton,3074,3247,,,2,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Delta,452,505,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Eaton,2903,4010,,,100,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Emmet,426,312,,,0,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Genesee,3736,5044,,,16,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Gladwin,162,84,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Grand Traverse,330,1000,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Gratiot,1312,2150,,,0,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Hillsdale,2329,5109,,,58,,,,,,,,,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Houghton,1439,2266,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Huron,1036,1269,,,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Ingham,3994,4058,,,32,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Ionia,3230,4308,,,40,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Iosco,369,467,,,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Isabella,720,1022,,,0,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Isle Royale,44,12,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Jackson,5254,4913,,,75,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Kalamazoo,3583,4496,,,8,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Kalkaska,130,384,,,0,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Kent,5678,7403,,,3,,,,,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Keweenaw,414,735,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Lake,209,414,,,0,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Lapeer,2498,3229,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Leelanau,412,634,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Lenawee,4564,6540,,,198,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Livingston,2929,2735,,,11,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Mackinac,204,74,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Macomb,3453,3012,,,6,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Manistee,811,896,,,2,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Manitou,94,40,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Marquette,1750,2308,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Mason,680,933,,,0,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Mecosta,926,1342,,,0,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Menominee,351,393,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Midland,484,655,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Missaukee,108,159,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Monroe,3893,3032,,,1,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Montcalm,2445,3106,,,4,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Muskegon,1511,2255,,,2,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Newaygo,801,1315,,,0,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Oakland,5313,5053,,,40,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Oceana,599,1365,,,0,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Ogemaw,87,101,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Ontonagon,321,201,,,0,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Osceola,620,804,,,22,,,,,,,,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Otsego,145,184,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Ottawa,2620,3401,,,0,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Presque Isle,168,153,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Roscommon,184,54,,,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Saginaw,4850,4182,,,0,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Saint Clair,3710,4067,,,8,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Saint Joseph,2490,3165,,,0,,,,,,,,,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Sanilac,1029,1896,,,0,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Schoolcraft,103,121,,,0,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Shiawassee,2469,3191,,,21,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Tuscola,1284,2463,,,0,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Van Buren,2599,4046,,,2,,,,,,,,,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Washtenaw,5117,4565,,,23,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Wayne,15076,12580,,,19,,,,,,,,,1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1876,President,Wexford,318,618,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Alcona,252,386,,,,,,,,,,,,9,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Allegan,2376,4693,,,,,,,,,,,,1209,,4,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Alpena,834,960,,,,,,,,,,,,38,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Antrim,153,600,,,,,,,,,,,,215,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Baraga,224,173,,,,,,,,,,,,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Barry,1020,3083,,,,,,,,,,,,2129,,26,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Bay,2068,2404,,,,,,,,,,,,1734,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Benzie,170,449,,,,,,,,,,,,142,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Berrien,3536,4535,,,,,,,,,,,,540,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Branch,1195,4121,,,,,,,,,,,,1626,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Calhoun,3143,5187,,,,,,,,,,,,844,,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Cass,2180,2859,,,,,,,,,,,,415,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Charlevoix,304,784,,,,,,,,,,,,78,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Cheboygan,541,606,,,,,,,,,,,,99,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Chippewa,347,396,,,,,,,,,,,,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Clare,370,488,,,,,,,,,,,,44,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Clinton,2797,3299,,,,,,,,,,,,756,,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Crawford,142,183,,,,,,,,,,,,20,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Delta,441,708,,,,,,,,,,,,6,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Eaton,2681,4195,,,,,,,,,,,,809,,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Emmet,495,814,,,,,,,,,,,,118,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Genesee,3086,4934,,,,,,,,,,,,925,,56,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Gladwin,243,160,,,,,,,,,,,,7,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Grand Traverse,428,1356,,,,,,,,,,,,70,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Gratiot,1489,2548,,,,,,,,,,,,965,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Hillsdale,1951,4909,,,,,,,,,,,,1365,,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Houghton,1311,2100,,,,,,,,,,,,0,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Huron,1245,1713,,,,,,,,,,,,42,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,1880,President,Ingham,3412,3984,,,,,,,,,,,,1005,,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
