State,Year,Office,County,D#,R#,Prog.#,S#,AI#,L#,G#,I1#,I2#,I3#,I4#,I5#,NL#,Ref.#,W/I1#,W/2#,W/3#,D1#,D2#,D3#,D4#,D5#,I#,Ind.#,C#,O#,Others
Mississippi,1912,President,Adams,491,31,232,9,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Alcorn,1010,40,43,20,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Amite,666,5,13,2,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Attala,1060,49,38,69,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Benton,489,18,22,12,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Bolivar,324,10,14,8,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Calhoun,937,17,15,86,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Carroll,653,16,42,54,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Chickasaw,856,19,49,24,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Choctaw,609,24,39,7,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Claiborne,399,3,1,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Clarke,638,17,29,59,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Clay,628,4,24,16,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Coahoma,396,16,26,2,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Copiah,1234,10,31,27,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Covington,570,8,44,62,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,DeSoto,546,10,19,2,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Forrest,886,16,59,112,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Franklin,301,4,38,21,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,George,231,5,14,41,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Greene,268,13,21,9,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Grenada,469,3,21,2,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Hancock,365,28,56,3,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Harrison,1292,45,181,78,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Hinds,2065,40,88,30,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Holmes,936,5,20,21,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Issaquena,99,3,8,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Itawamba,914,24,67,18,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Jackson,514,14,64,21,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Jasper,860,12,31,39,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Jefferson,408,2,20,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Jefferson Davis,542,43,51,13,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Jones,1058,34,145,195,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Kemper,828,20,44,18,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Lafayette,973,28,46,19,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Lamar,399,16,83,7,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Lauderdale,2204,50,92,94,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Lawrence,332,9,24,6,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Leake,910,11,24,102,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Lee,1390,39,42,15,,,,,,,,,,,,,,,,,,,,,,,
