State,Year,Office,County,D#,R#,CN#,U#,UL#,ND#,SD#,Proh.#,NProh.#,Pop.#,S#,Comm.#,SL#,SW#,Prog.#,Am.#,I#,Ref.#,NL#,G#,L#,FW#,CL#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,I1#,I2#,Comm.,C#,W/I6#,People's#,G#,C#,W/I#
Missouri,1888,President,Adair,1531,2228,,,36,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Andrew,1691,1976,,,8,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Atchison,1465,1554,,,308,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Audrain,3152,1506,,,23,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Barry,1963,1904,,,351,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Barton,1883,1543,,,412,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Bates,3556,2674,,,633,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Benton,1374,1704,,,53,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Bollinger,1302,1090,,,5,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Boone,4068,1512,,,26,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Buchanan,6369,5011,,,139,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Butler,1189,857,,,42,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Caldwell,1528,1853,,,175,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Callaway,3912,1624,,,9,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Camden,675,1056,,,225,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Cape Girardeau,1894,2198,,,195,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Carroll,2906,2929,,,183,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Carter,455,292,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Cass,3015,2095,,,20,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Cedar,1434,1424,,,404,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Chariton,3452,2345,,,86,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Christian,795,1541,,,459,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Clark,1791,1724,,,0,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Clay,3628,1103,,,1,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Clinton,2167,1632,,,100,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Cole,1824,1708,,,8,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Cooper,2685,2416,,,30,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Crawford,1172,1255,,,2,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Dade,1479,1740,,,266,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Dallas,706,1169,,,485,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Daviess,2320,2049,,,239,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,DeKalb,1573,1598,,,61,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Dent,1172,957,,,55,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Douglas,477,1306,,,634,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Dunklin,1838,719,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Franklin,2579,3261,,,10,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Gasconade,556,1735,,,4,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
