State,Year,Office,County,D#,R#,S#,Comm.#,Liberty#,SW#,People's#,Proh.#,IND#,Labor#,Prog.#,Wor.#,FL#,U#,NRef#,Am.#,I1#,I2#,L#,Ref.#,NL#,G#,NA#,Delta#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I7#,W/I8#,W/I9#,New Ref.#,W/I#,Year / Office,C#,NPL#
Montana,1904,President,Beaverhead,650,1021,24,,,,10,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Broadwater,403,392,64,,,,10,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Carbon,464,1130,308,,,,5,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Cascade,1385,2405,470,,,,69,14,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Chouteau,568,1517,52,,,,3,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Custer,285,824,21,,,,8,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Dawson,189,769,28,,,,2,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Deer Lodge,1504,1666,228,,,,12,5,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Fergus,780,1599,131,,,,9,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Flathead,861,1969,184,,,,17,13,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Gallatin,1130,1700,151,,,,9,55,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Granite,521,576,40,,,,24,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Jefferson,580,663,192,,,,5,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Lewis and Clark,1543,2505,472,,,,27,20,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Madison,971,1314,61,,,,24,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Meagher,230,485,9,,,,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Missoula,996,2239,463,,,,9,20,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Park,583,1408,365,,,,1,9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Powell,422,721,31,,,,8,9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Ravalli,523,1083,250,,,,4,22,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Rosebud,134,460,12,,,,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1904,President,Silver Bow,5686,5149,1978,,,,1235,100,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,
