State,Year,Office,County,D#,R#,PI#,S#,MR#,Proh.#,SL#,Prog.#,U#,Am.#,I1#,I2#,I3#,Neb.#,Ref.#,NL#,Pet1.#,Pet.2#,G#,L#,NA#,W/I#,Pet.#,NPL#,Pet.#.1,W/I1#,W/I2#,W/I3#,W/I4#,Year/Office
Nebraska,1900,President,Adams,2114,1992,,5,25,70,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Antelope,1356,1342,,6,8,41,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Banner,71,186,,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Blaine,75,103,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Boone,1336,1524,,3,13,39,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Box Butte,494,707,,17,2,11,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Boyd,795,771,,5,8,46,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Brown,327,470,,3,9,10,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Buffalo,2056,1916,,34,44,75,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Burt,1174,1929,,6,8,30,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Butler,2147,1481,,4,15,59,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Cass,2259,2922,,34,12,84,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Cedar,1565,1441,,0,8,29,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Chase,274,313,,0,5,15,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Cherry,698,922,,6,9,34,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Cheyenne,509,714,,0,7,23,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Clay,1826,1932,,8,5,58,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Colfax,1357,1033,,9,8,16,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Cuming,1736,1385,,7,12,19,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Custer,2159,2145,,19,107,111,,,,,,,,,,,,,,,,,,,,,,,,
