State,Year,Office,County,D#,R#,S#,Silver#,Ind.#,Pop.#,Prog.#,Proh.#,AI#,Cit.#,None#,I#,Ref.#,NL#,G#,L#,NA#,W/I#,I1#,I2#,I3#,I4#,Tea#,IA#,Others,O#,Year / Office,D1#,D2#
Nevada,1904,President,Churchill,165,185,14,10,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1904,President,Douglas,112,262,2,6,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1904,President,Elko,508,718,69,33,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1904,President,Esmeralda,380,490,273,18,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1904,President,Eureka,107,235,5,29,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1904,President,Humboldt,356,610,64,32,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1904,President,Lander,93,227,14,33,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1904,President,Lincoln,295,405,52,11,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1904,President,Lyon,164,392,19,3,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1904,President,Nye,389,511,84,23,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1904,President,Ormsby,218,409,39,14,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1904,President,Storey,322,627,28,43,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1904,President,Washoe,721,1517,245,69,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1904,President,White Pine,152,276,17,20,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1908,President,Churchill,382,389,56,,12,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1908,President,Douglas,173,229,17,,0,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1908,President,Elko,804,737,89,,28,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1908,President,Esmeralda,2787,2208,632,,157,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1908,President,Eureka,218,224,26,,13,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1908,President,Humboldt,1009,823,194,,28,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1908,President,Lander,276,257,34,,7,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1908,President,Lincoln,768,690,139,,18,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1908,President,Lyon,364,458,74,,19,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1908,President,Nye,1219,1124,333,,97,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1908,President,Ormsby,343,350,52,,6,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1908,President,Storey,402,447,54,,12,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1908,President,Washoe,1745,2053,281,,26,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1908,President,White Pine,722,786,122,,13,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1912,President,Churchill,349,157,211,,,,304,,,,,,,,,,,,,,,,,,,,,,
Nevada,1912,President,Clark,358,110,108,,,,261,,,,,,,,,,,,,,,,,,,,,,
Nevada,1912,President,Douglas,143,80,22,,,,172,,,,,,,,,,,,,,,,,,,,,,
Nevada,1912,President,Elko,843,398,253,,,,514,,,,,,,,,,,,,,,,,,,,,,
Nevada,1912,President,Esmeralda,713,252,379,,,,481,,,,,,,,,,,,,,,,,,,,,,
Nevada,1912,President,Eureka,209,70,21,,,,124,,,,,,,,,,,,,,,,,,,,,,
Nevada,1912,President,Humboldt,719,207,339,,,,533,,,,,,,,,,,,,,,,,,,,,,
Nevada,1912,President,Lander,197,68,53,,,,200,,,,,,,,,,,,,,,,,,,,,,
Nevada,1912,President,Lincoln,275,100,28,,,,144,,,,,,,,,,,,,,,,,,,,,,
Nevada,1912,President,Lyon,438,136,239,,,,355,,,,,,,,,,,,,,,,,,,,,,
Nevada,1912,President,Mineral,219,59,131,,,,146,,,,,,,,,,,,,,,,,,,,,,
Nevada,1912,President,Nye,869,345,718,,,,427,,,,,,,,,,,,,,,,,,,,,,
Nevada,1912,President,Ormsby,294,150,65,,,,166,,,,,,,,,,,,,,,,,,,,,,
Nevada,1912,President,Storey,400,166,82,,,,212,,,,,,,,,,,,,,,,,,,,,,
Nevada,1912,President,Washoe,1446,644,362,,,,1150,,,,,,,,,,,,,,,,,,,,,,
Nevada,1912,President,White Pine,514,254,302,,,,431,,,,,,,,,,,,,,,,,,,,,,
Nevada,1916,President,Churchill,531,831,184,,,,,7,,,,,,,,,,,,,,,,,,,,,
Nevada,1916,President,Clark,529,1115,194,,,,,15,,,,,,,,,,,,,,,,,,,,,
Nevada,1916,President,Douglas,337,301,43,,,,,11,,,,,,,,,,,,,,,,,,,,,
Nevada,1916,President,Elko,1072,2020,225,,,,,32,,,,,,,,,,,,,,,,,,,,,
Nevada,1916,President,Esmeralda,709,1135,418,,,,,19,,,,,,,,,,,,,,,,,,,,,
Nevada,1916,President,Eureka,239,263,15,,,,,3,,,,,,,,,,,,,,,,,,,,,
Nevada,1916,President,Humboldt,1004,1681,291,,,,,24,,,,,,,,,,,,,,,,,,,,,
Nevada,1916,President,Lander,321,473,130,,,,,7,,,,,,,,,,,,,,,,,,,,,
Nevada,1916,President,Lincoln,202,634,51,,,,,4,,,,,,,,,,,,,,,,,,,,,
Nevada,1916,President,Lyon,669,769,174,,,,,23,,,,,,,,,,,,,,,,,,,,,
Nevada,1916,President,Mineral,385,617,99,,,,,7,,,,,,,,,,,,,,,,,,,,,
Nevada,1916,President,Nye,1019,1601,536,,,,,14,,,,,,,,,,,,,,,,,,,,,
Nevada,1916,President,Ormsby,534,610,63,,,,,20,,,,,,,,,,,,,,,,,,,,,
Nevada,1916,President,Storey,403,463,6,,,,,8,,,,,,,,,,,,,,,,,,,,,
Nevada,1916,President,Washoe,3225,3341,397,,,,,135,,,,,,,,,,,,,,,,,,,,,
Nevada,1916,President,White Pine,948,1922,239,,,,,19,,,,,,,,,,,,,,,,,,,,,
Nevada,1920,President,Churchill,506,873,237,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1920,President,Clark,620,589,111,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1920,President,Douglas,147,503,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1920,President,Elko,1029,1369,123,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1920,President,Esmeralda,347,466,127,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1920,President,Eureka,157,313,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1920,President,Humboldt,532,660,92,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1920,President,Lander,254,416,39,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1920,President,Lincoln,366,373,44,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1920,President,Lyon,344,945,119,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1920,President,Mineral,209,374,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1920,President,Nye,1007,1576,316,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1920,President,Ormsby,413,592,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1920,President,Pershing,389,563,44,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1920,President,Storey,272,324,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1920,President,Washoe,2357,4189,319,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1920,President,White Pine,902,1354,180,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1924,President,Churchill,310,655,,,,,608,,,,,,,,,,,,,,,,,,,,,,
Nevada,1924,President,Clark,288,533,,,,,815,,,,,,,,,,,,,,,,,,,,,,
Nevada,1924,President,Douglas,95,343,,,,,143,,,,,,,,,,,,,,,,,,,,,,
Nevada,1924,President,Elko,604,1113,,,,,1151,,,,,,,,,,,,,,,,,,,,,,
Nevada,1924,President,Esmeralda,150,241,,,,,335,,,,,,,,,,,,,,,,,,,,,,
Nevada,1924,President,Eureka,94,209,,,,,115,,,,,,,,,,,,,,,,,,,,,,
Nevada,1924,President,Humboldt,248,400,,,,,485,,,,,,,,,,,,,,,,,,,,,,
Nevada,1924,President,Lander,138,254,,,,,153,,,,,,,,,,,,,,,,,,,,,,
Nevada,1924,President,Lincoln,257,200,,,,,281,,,,,,,,,,,,,,,,,,,,,,
Nevada,1924,President,Lyon,231,618,,,,,454,,,,,,,,,,,,,,,,,,,,,,
Nevada,1924,President,Mineral,84,191,,,,,229,,,,,,,,,,,,,,,,,,,,,,
Nevada,1924,President,Nye,454,884,,,,,889,,,,,,,,,,,,,,,,,,,,,,
Nevada,1924,President,Ormsby,415,413,,,,,104,,,,,,,,,,,,,,,,,,,,,,
Nevada,1924,President,Pershing,164,308,,,,,382,,,,,,,,,,,,,,,,,,,,,,
Nevada,1924,President,Storey,209,283,,,,,269,,,,,,,,,,,,,,,,,,,,,,
Nevada,1924,President,Washoe,1669,3549,,,,,2548,,,,,,,,,,,,,,,,,,,,,,
Nevada,1924,President,White Pine,499,1049,,,,,808,,,,,,,,,,,,,,,,,,,,,,
Nevada,1928,President,Churchill,751,1126,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1928,President,Clark,984,1284,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1928,President,Douglas,186,456,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1928,President,Elko,1442,1876,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1928,President,Esmeralda,341,305,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1928,President,Eureka,261,251,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1928,President,Humboldt,602,783,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1928,President,Lander,314,456,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1928,President,Lincoln,542,553,,,,,,,,,,,,,,,,,,,,,,,,,,,
