State,Year,Office,County,D#,R#,Prog.#,Cit.#,SM#,PC#,CN#,New#,S#,SL#,Liberty#,Comm.#,Proh.#,FL#,U#,Workers#,AI#,SW#,I#,Ref.#,NL#,G#,L#,S&L,Delta#,NA#,W/I#,LRU#,PCP#,INM#,W/I1#,W/I2#,Year / Office,C#
New Mexico,1912,President,Bernalillo,1199,1002,1394,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Chaves,1339,465,398,,,,,,347,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Colfax,1182,1036,564,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Curry,634,123,253,,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Dona Ana,895,912,241,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Eddy,936,145,371,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Grant,1130,439,416,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Guadalupe,761,651,154,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Lincoln,461,452,109,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Luna,461,81,194,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,McKinley,224,264,237,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Mora,1002,1022,264,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Otero,420,220,201,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Quay,884,351,358,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Rio Arriba,1004,1549,101,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Roosevelt,599,107,259,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,San Juan,126,211,583,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,San Miguel,493,203,229,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Sandoval,1740,2479,207,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Santa Fe,1012,1432,390,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Sierra,352,176,86,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Socorro,1078,960,269,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Taos,765,855,277,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Torrance,390,520,231,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Union,1119,815,449,,,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1912,President,Valencia,231,1263,111,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Bernalillo,2394,2711,,,,,,,77,,,,6,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Chaves,2275,862,,,,,,,186,,,,5,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Colfax,2006,1835,,,,,,,38,,,,1,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Curry,1175,355,,,,,,,323,,,,2,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Dona Ana,1078,1606,,,,,,,22,,,,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Eddy,1402,425,,,,,,,99,,,,6,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Grant,2305,1869,,,,,,,96,,,,4,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Guadalupe,1172,1067,,,,,,,36,,,,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Lincoln,863,889,,,,,,,43,,,,1,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Luna,796,418,,,,,,,45,,,,4,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,McKinley,550,669,,,,,,,2,,,,5,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Mora,1505,1590,,,,,,,13,,,,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Otero,824,561,,,,,,,128,,,,2,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Quay,1539,598,,,,,,,234,,,,26,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Rio Arriba,1528,1992,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Roosevelt,1088,230,,,,,,,150,,,,11,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,San Juan,734,611,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,San Miguel,637,385,,,,,,,46,,,,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Sandoval,2231,2932,,,,,,,29,,,,9,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Santa Fe,1406,1830,,,,,,,15,,,,7,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Sierra,493,460,,,,,,,23,,,,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Socorro,1558,1954,,,,,,,16,,,,6,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Taos,910,1320,,,,,,,46,,,,2,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Torrance,679,948,,,,,,,68,,,,3,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Union,1996,1495,,,,,,,246,,,,12,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Valencia,383,1540,,,,,,,14,,,,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Bernalillo,4808,4969,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Chaves,2080,1765,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Colfax,2709,3351,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Curry,2143,884,,,,,,,,,,,,152,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,De Baca,693,412,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Dona Ana,1318,2627,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Eddy,1611,982,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Grant,1879,2230,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Guadalupe,1224,1599,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Hidalgo,551,443,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Lea,733,255,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Lincoln,1047,1456,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Luna,1000,834,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,McKinley,989,1525,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Mora,2179,2478,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Otero,1095,1229,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Quay,1813,1213,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Rio Arriba,2056,3986,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Roosevelt,1178,571,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,
