State,Year,Office,County,D#,R#,SPD#,WFG#,S#,Liberty#,Comm.#,Labor#,Proh.#,SD#,Pop.#,CN#,SM#,Prog.#,Indiv.#,Workers#,U#,Am.#,AI#,SW#,I1#,I2#,I3#,I4#,I5#,I6#,Ref.#,NL#,G#,L#,ER#,NA#,Cit.#,NP#,Delta#,W/I#,IR#,GFC#,CFB#,R1#,R2#,Year / Office,INOM1#,INOM2#
North Dakota,1900,President,Barnes,1077,1324,,,,,,,32,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Benson,319,1084,,,,,,,18,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Billings,51,158,,,,,,,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Bottineau,628,728,,,,,,,12,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Burleigh,339,679,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Cass,1636,3485,,,,,,,103,78,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Cavalier,1211,1361,,,,,,,32,44,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Dickey,567,763,,,,,,,14,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Eddy,235,455,,,,,,,8,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Emmons,311,433,,,,,,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Foster,241,415,,,,,,,16,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Grand Forks,1532,2603,,,,,,,58,41,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Griggs,407,527,,,,,,,29,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Kidder,70,225,,,,,,,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,LaMoure,405,597,,,,,,,10,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Logan,35,231,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,McHenry,222,595,,,,,,,8,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,McIntosh,125,658,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,McLean,110,587,,,,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Mercer,41,269,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Morton,536,1056,,,,,,,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Nelson,576,994,,,,,,,24,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Oliver,75,110,,,,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Pembina,1321,1732,,,,,,,59,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Pierce,276,535,,,,,,,5,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Ramsey,496,1147,,,,,,,15,29,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Ransom,499,924,,,,,,,30,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Richland,1399,2067,,,,,,,37,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Rolette,355,566,,,,,,,8,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Sargent,564,765,,,,,,,21,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Stark,426,780,,,,,,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Steele,214,724,,,,,,,18,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Stutsman,711,1077,,,,,,,30,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Towner,454,805,,,,,,,14,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Traill,409,1537,,,,,,,56,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1900,President,Walsh,1804,1807,,,,,,,29,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
