State,Year,Office,County,D#,R#,ST#,GB#,Proh.#,NP#,ND#,Workers#,Comm.#,SL#,CL#,AS#,RD#,UL#,IND#,People's#,S#,Prog.#,U#,AI#,I1#,I2#,I3#,I4#,I5#,I6#,I7#,Ref.#,NL#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#,Peoples#,Year / Office,C#,W/I#
Ohio,1872,President,Adams,1972,1877,,,11,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Allen,2463,2010,,,2,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Ashland,2368,2183,,,8,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Ashtabula,1678,5764,,,38,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Athens,1398,3025,,,29,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Auglaize,2535,1180,,,47,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Belmont,3647,4267,,,0,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Brown,3337,2593,,,9,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Butler,4926,2993,,,6,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Carroll,1283,1817,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Champaign,2185,3059,,,21,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Clark,2612,4095,,,28,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Clermont,3658,3408,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Clinton,1786,3105,,,65,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Columbiana,2897,4773,,,30,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Coshocton,2656,2252,,,22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Crawford,3595,2081,,,11,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Cuyahoga,8033,14451,,,178,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Darke,2760,3069,,,6,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Defiance,1720,1093,,,12,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Delaware,2013,2713,,,178,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Erie,2287,2905,,,17,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Fairfield,3888,2540,,,18,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Fayette,1545,2140,,,12,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Franklin,7345,5796,,,56,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Fulton,826,2210,,,15,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Gallia,1553,2855,,,25,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Geauga,600,2711,,,8,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Greene,1961,4069,,,72,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Guernsey,1901,2629,,,11,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Hamilton,24941,20083,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Hancock,2449,2311,,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Hardin,1970,2238,,,3,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Harrison,1695,2303,,,9,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Henry,1510,1160,,,1,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Highland,2933,3171,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Hocking,1860,1350,,,12,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Holmes,2530,1089,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Huron,2182,3812,,,55,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Jackson,1555,2258,,,4,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Jefferson,2102,3776,,,18,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1872,President,Knox,2730,2773,,,57,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
