State,Year,Office,County,D#,R#,S#,FL#,Proh.#,Prog.#,Am.#,I#,Ref.#,L#,NA#,I1#,I2#,I3#,I4#,W/I#,Year / Office
Oklahoma,1912,President,Adair,916,850,147,,11,,,,,,,,,,,,
Oklahoma,1912,President,Alfalfa,1179,1714,395,,90,,,,,,,,,,,,
Oklahoma,1912,President,Atoka,1100,669,567,,11,,,,,,,,,,,,
Oklahoma,1912,President,Beaver,926,1070,433,,74,,,,,,,,,,,,
Oklahoma,1912,President,Beckham,1566,648,874,,21,,,,,,,,,,,,
Oklahoma,1912,President,Blaine,744,831,349,,24,,,,,,,,,,,,
Oklahoma,1912,President,Bryan,2278,711,842,,14,,,,,,,,,,,,
Oklahoma,1912,President,Caddo,2514,2413,995,,55,,,,,,,,,,,,
Oklahoma,1912,President,Canadian,2047,1794,339,,42,,,,,,,,,,,,
Oklahoma,1912,President,Carter,1860,652,698,,11,,,,,,,,,,,,
Oklahoma,1912,President,Cherokee,1094,962,138,,9,,,,,,,,,,,,
Oklahoma,1912,President,Choctaw,1392,692,705,,20,,,,,,,,,,,,
Oklahoma,1912,President,Cimarron,342,263,93,,12,,,,,,,,,,,,
Oklahoma,1912,President,Cleveland,1471,938,427,,29,,,,,,,,,,,,
Oklahoma,1912,President,Coal,1109,571,574,,0,,,,,,,,,,,,
Oklahoma,1912,President,Comanche,1931,1320,599,,26,,,,,,,,,,,,
Oklahoma,1912,President,Cotton,1063,587,273,,19,,,,,,,,,,,,
Oklahoma,1912,President,Craig,1772,1391,112,,10,,,,,,,,,,,,
Oklahoma,1912,President,Creek,1681,1902,948,,48,,,,,,,,,,,,
Oklahoma,1912,President,Custer,1774,1693,503,,38,,,,,,,,,,,,
Oklahoma,1912,President,Delaware,983,732,174,,10,,,,,,,,,,,,
Oklahoma,1912,President,Dewey,1075,1086,769,,23,,,,,,,,,,,,
Oklahoma,1912,President,Ellis,918,1373,465,,37,,,,,,,,,,,,
Oklahoma,1912,President,Garfield,2353,2900,398,,68,,,,,,,,,,,,
Oklahoma,1912,President,Garvin,2114,740,1053,,15,,,,,,,,,,,,
Oklahoma,1912,President,Grady,2577,1121,753,,19,,,,,,,,,,,,
Oklahoma,1912,President,Grant,1559,1729,270,,103,,,,,,,,,,,,
Oklahoma,1912,President,Greer,1334,351,385,,19,,,,,,,,,,,,
Oklahoma,1912,President,Harmon,895,197,278,,12,,,,,,,,,,,,
Oklahoma,1912,President,Harper,523,679,275,,23,,,,,,,,,,,,
Oklahoma,1912,President,Haskell,1388,902,672,,13,,,,,,,,,,,,
Oklahoma,1912,President,Hughes,1769,1228,984,,20,,,,,,,,,,,,
Oklahoma,1912,President,Jackson,1819,588,650,,35,,,,,,,,,,,,
Oklahoma,1912,President,Jefferson,1118,361,665,,13,,,,,,,,,,,,
Oklahoma,1912,President,Johnston,1289,506,732,,17,,,,,,,,,,,,
Oklahoma,1912,President,Kay,2380,2508,302,,77,,,,,,,,,,,,
Oklahoma,1912,President,Kingfisher,1235,1527,325,,36,,,,,,,,,,,,
Oklahoma,1912,President,Kiowa,1831,1167,921,,30,,,,,,,,,,,,
Oklahoma,1912,President,Latimer,722,482,338,,7,,,,,,,,,,,,
