State,Year,Office,County,D#,R#,Jeff.#,Nat.#,Wor.#,ST#,Jobless#,Indus.#,CL#,RO#,PF#,WL#,Cons.#,SW#,Proh.#,S#,WC#,Comm.#,Pop.#,SL#,IND#,Prog.#,Labor#,UL#,Am.#,AI#,I#,NL#,Ref.#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#,W/I12#,W/I13#,W/I14#,Wash.#,GI.A.C.#,C#,WorComm#,CWL#,Consumer#,Patriot#,Mil.Wor.#,W/I#,GB#,IndGov#,MilWor#,UP#,BM#,IR#,GBL#,Peoples#,SWL#,KS#,Year / Office,Ind.Gov.#
Pennsylvania,1888,President,Adams,3794,3371,,,,,,,,,,,,,76,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Allegheny,24710,45118,,,,,,,,,,,,,1117,,,,,,,,,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Armstrong,3763,5030,,,,,,,,,,,,,193,,,,,,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Beaver,3706,5552,,,,,,,,,,,,,242,,,,,,,,,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Bedford,3822,4287,,,,,,,,,,,,,82,,,,,,,,,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Berks,18105,10626,,,,,,,,,,,,,252,,,,,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Blair,5175,7311,,,,,,,,,,,,,316,,,,,,,,,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Bradford,4552,8762,,,,,,,,,,,,,536,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Bucks,8642,8584,,,,,,,,,,,,,253,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Butler,3986,5358,,,,,,,,,,,,,434,,,,,,,,,169,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Cambria,5948,5517,,,,,,,,,,,,,237,,,,,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Cameron,551,782,,,,,,,,,,,,,12,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Carbon,3665,3279,,,,,,,,,,,,,180,,,,,,,,,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Centre,4712,4574,,,,,,,,,,,,,173,,,,,,,,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Chester,7541,11578,,,,,,,,,,,,,666,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Clarion,3880,2950,,,,,,,,,,,,,117,,,,,,,,,126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Clearfield,6266,5297,,,,,,,,,,,,,337,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Clinton,3204,2756,,,,,,,,,,,,,80,,,,,,,,,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Columbia,4676,2484,,,,,,,,,,,,,258,,,,,,,,,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Crawford,5964,8040,,,,,,,,,,,,,747,,,,,,,,,252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Cumberland,5386,4693,,,,,,,,,,,,,256,,,,,,,,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Dauphin,7684,10852,,,,,,,,,,,,,286,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Delaware,5028,8791,,,,,,,,,,,,,346,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Elk,1824,1321,,,,,,,,,,,,,52,,,,,,,,,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Erie,7111,9372,,,,,,,,,,,,,710,,,,,,,,,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Fayette,6951,7034,,,,,,,,,,,,,278,,,,,,,,,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Forest,612,917,,,,,,,,,,,,,72,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Franklin,5082,5772,,,,,,,,,,,,,174,,,,,,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Fulton,1230,951,,,,,,,,,,,,,34,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Greene,4116,2373,,,,,,,,,,,,,141,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Huntingdon,2789,4217,,,,,,,,,,,,,117,,,,,,,,,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Indiana,2231,5084,,,,,,,,,,,,,294,,,,,,,,,483,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Jefferson,3257,4090,,,,,,,,,,,,,178,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Juniata,1842,1760,,,,,,,,,,,,,96,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Lackawanna,9858,10279,,,,,,,,,,,,,1058,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Lancaster,10495,21976,,,,,,,,,,,,,525,,,,,,,,,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Lawrence,2113,4342,,,,,,,,,,,,,437,,,,,,,,,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Lebanon,3670,6096,,,,,,,,,,,,,119,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Lehigh,8927,6977,,,,,,,,,,,,,167,,,,,,,,,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Luzerne,15218,15543,,,,,,,,,,,,,790,,,,,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Lycoming,7467,6591,,,,,,,,,,,,,303,,,,,,,,,175,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,McKean,2922,4066,,,,,,,,,,,,,426,,,,,,,,,295,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Mercer,4806,6428,,,,,,,,,,,,,556,,,,,,,,,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Mifflin,2084,2321,,,,,,,,,,,,,105,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Monroe,3274,1107,,,,,,,,,,,,,56,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Montgomery,12582,13445,,,,,,,,,,,,,379,,,,,,,,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Montour,1865,1289,,,,,,,,,,,,,41,,,,,,,,,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Northampton,10027,6785,,,,,,,,,,,,,192,,,,,,,,,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Northumberland,6257,6288,,,,,,,,,,,,,231,,,,,,,,,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Perry,2738,3168,,,,,,,,,,,,,66,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Philadelphia,92786,111358,,,,,,,,,,,,,1225,,,,,,,,,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Pike,1265,559,,,,,,,,,,,,,16,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Potter,1692,2570,,,,,,,,,,,,,172,,,,,,,,,182,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Schuylkill,13054,12522,,,,,,,,,,,,,211,,,,,,,,,193,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Snyder,1493,2360,,,,,,,,,,,,,57,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Somerset,2319,4825,,,,,,,,,,,,,238,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Sullivan,1260,946,,,,,,,,,,,,,48,,,,,,,,,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Susquehanna,3328,5019,,,,,,,,,,,,,717,,,,,,,,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Tioga,2972,7808,,,,,,,,,,,,,254,,,,,,,,,245,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Union,1582,2448,,,,,,,,,,,,,50,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Venango,3475,4424,,,,,,,,,,,,,688,,,,,,,,,175,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Warren,2640,4329,,,,,,,,,,,,,676,,,,,,,,,119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Washington,5847,7801,,,,,,,,,,,,,571,,,,,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Wayne,3010,2939,,,,,,,,,,,,,375,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Westmoreland,9602,9926,,,,,,,,,,,,,430,,,,,,,,,147,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,Wyoming,1841,2026,,,,,,,,,,,,,125,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1888,President,York,12359,9047,,,,,,,,,,,,,301,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1892,President,Adams,3716,3384,,,,,,,,,,,,,56,,,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1892,President,Allegheny,30867,45788,,,,,,,,,,,,,1158,,,,578,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1892,President,Armstrong,3512,4709,,,,,,,,,,,,,199,,,,46,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1892,President,Beaver,3822,4890,,,,,,,,,,,,,322,,,,354,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1892,President,Bedford,3684,4301,,,,,,,,,,,,,104,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1892,President,Berks,18602,10077,,,,,,,,,,,,,248,,,,61,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
