District,Party,2020DPCT_P,2020RPCT_P,2020DPCT_H,2020RPCT_H
AL-01,Republican,35.3,63.7,35.5,64.4
AL-02,Republican,35.1,63.9,34.7,65.2
AL-03,Republican,33.7,65.3,32.5,67.5
AL-04,Republican,17.8,81.2,17.7,82.2
AL-05,Republican,35.7,62.7,0,95.8
AL-06,Republican,31.8,67,0,97.1
AL-07,Democratic,70.8,28.5,97.2,0
AK-AL,Republican,43,53.1,45.3,54.4
AZ-01,Democratic,50.1,48.4,51.6,48.4
AZ-02,Democratic,54.5,43.9,55.1,44.9
AZ-03,Democratic,62.8,35.7,64.6,35.4
AZ-04,Republican,30.6,68,30.2,69.7
AZ-05,Republican,41.9,56.4,41.1,58.9
AZ-06,Republican,47.3,51.4,47.8,52.2
AZ-07,Democratic,73.7,24.7,76.7,23.3
AZ-08,Republican,41.4,57.3,40.4,59.6
AZ-09,Democratic,60.8,37.3,61.6,38.4
AR-01,Republican,27.9,69.1,0,100
AR-02,Republican,44.3,53.1,44.6,55.4
AR-03,Republican,35.2,61.9,31.8,64.3
AR-04,Republican,29.6,67.7,27.5,69.7
CA-01,Republican,41.1,56.4,43,57
CA-02,Democratic,73.6,23.9,75.7,24.3
CA-03,Democratic,54.9,42.7,54.7,45.3
CA-04,Republican,43.9,53.7,44.1,55.9
CA-05,Democratic,72.4,25.3,76.1,23.9
CA-06,Democratic,70.3,27.2,73.3,26.7
CA-07,Democratic,55.6,41.9,56.6,43.4
CA-08,Republican,43.6,54,43.9,56.1
CA-09,Democratic,57.9,39.9,57.6,42.4
CA-10,Democratic,50.3,47.4,55.2,44.8
CA-11,Democratic,74.3,23.6,73,27
CA-12,Democratic,86.1,11.9,77.6,0
CA-13,Democratic,88.9,9,90.4,9.6
CA-14,Democratic,77.7,20.5,79.3,20.7
CA-15,Democratic,71.5,26.4,70.9,29.1
CA-16,Democratic,58.8,38.9,59.4,40.6
CA-17,Democratic,72.5,25.5,71.3,28.7
CA-18,Democratic,76.4,21.3,63.2,0
CA-19,Democratic,70,27.9,71.7,28.3
CA-20,Democratic,72.7,25,76.8,23.2
CA-21,Republican,54.4,43.5,49.6,50.4
CA-22,Republican,46.2,51.6,45.8,54.2
CA-23,Republican,40.5,57.1,37.9,62.1
CA-24,Democratic,60.7,36.9,58.7,41.3
CA-25,Republican,54,43.9,50,50
CA-26,Democratic,61.4,36.5,60.6,39.4
CA-27,Democratic,67.2,30.8,69.8,30.2
CA-28,Democratic,70.9,27.2,72.7,27.3
CA-29,Democratic,74.1,23.7,56.6,0
CA-30,Democratic,68.7,29.4,69.5,30.5
CA-31,Democratic,58.8,38.9,61.3,38.7
CA-32,Democratic,65.2,32.8,66.6,33.4
CA-33,Democratic,69,29,67.6,32.4
CA-34,Democratic,80.8,16.9,53,0
CA-35,Democratic,65.1,32.6,69.3,30.7
CA-36,Democratic,55.9,42.3,60.3,39.7
CA-37,Democratic,84.3,13.8,85.9,14.1
CA-38,Democratic,65.6,32.3,74.3,0
CA-39,Republican,54.1,44,49.4,50.6
CA-40,Democratic,77.1,20.6,72.7,27.3
CA-41,Democratic,61.7,36.1,64,36
CA-42,Republican,45.3,52.7,42.9,57.1
CA-43,Democratic,76.9,20.9,71.7,28.3
CA-44,Democratic,78.4,19.2,67.8,0
CA-45,Democratic,54.6,43.3,53.5,46.5
CA-46,Democratic,64.3,33.5,68.8,31.2
CA-47,Democratic,62.4,35.3,63.3,36.7
CA-48,Republican,49.7,48.2,48.9,51.1
CA-49,Democratic,55.2,42.5,53.1,46.9
CA-50,Republican,45,52.7,46,54
