State,Year,Office,County,D#,R%,GB#,Wor.#,CL#,ST#,Cit.#,Justice#,Delta#,PF#,Proh.#,Pop.#,ND#,Comm.#,SL#,Prog.#,S&L#,S#,SW#,U#,UL#,AI#,IND#,I1#,I2#,NL#,Ref.#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,R#,I#,W/I#,CM#,Mod.#,Comp.#,Year / Office,Town,I3#,I4#
Rhode Island,1880,President,Bristol,443,1039,12,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1880,President,Kent,1153,1759,19,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1880,President,Newport,979,2064,5,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1880,President,Providence,6975,11316,196,,,,,,,,16,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,
Rhode Island,1880,President,Washington,1229,2017,4,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1884,President,Bristol,654,987,,,,,,,,,65,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1884,President,Kent,886,1602,,,,,,,,,49,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1884,President,Newport,1205,2040,,,,,,,,,155,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1884,President,Providence,8491,12387,,,,,,,,,491,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1884,President,Washington,1155,2014,,,,,,,,,168,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1888,President,Bristol,703,981,,,,,,,,,81,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1888,President,Kent,1261,1988,,,,,,,,,65,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1888,President,Newport,1634,2447,,,,,,,,,79,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1888,President,Providence,12440,14207,,,,,,,,,788,,,,,,,,,,17,,,,,,,,,,7,,,,,,,,,,,,,
Rhode Island,1888,President,Washington,1492,2346,,,,,,,,,238,,,,,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1892,President,Bristol,905,1107,,,,,,,,,70,3,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1892,President,Kent,1469,2244,,,,,,,,,93,10,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1892,President,Newport,2258,2746,,,,,,,,,111,15,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Rhode Island,1892,President,Providence,18203,18695,,,,,,,,,941,193,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1892,President,Washington,1501,2183,,,,,,,,,439,7,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Rhode Island,1896,President,Bristol,424,1321,,,,,,,,,,42,35,,10,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1896,President,Kent,645,2817,,,,,,,,,,75,84,,20,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1896,President,Newport,1092,3415,,,,,,,,,,92,144,,30,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1896,President,Providence,11644,26844,,,,,,,,,,554,794,,480,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Rhode Island,1896,President,Washington,654,3040,,,,,,,,,,397,109,,18,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Rhode Island,1900,President,Bristol,727,1273,,,,,,,,,60,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1900,President,Kent,1126,2613,,,,,,,,,142,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1900,President,Newport,1776,3283,,,,,,,,,101,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1900,President,Providence,15223,24194,,,,,,,,,988,,,,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1900,President,Washington,960,2421,,,,,,,,,238,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1904,President,Bristol,963,1457,,,,,,,,,22,,,,7,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1904,President,Kent,1859,2981,,,,,,,,,66,,,,16,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1904,President,Newport,2263,3683,,,,,,,,,56,,,,13,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1904,President,Providence,18557,30295,,,,,,,,,527,,,,442,,,877,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1904,President,Washington,1197,3189,,,,,,,,,97,,,,10,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1908,President,Bristol,899,1606,,,,,,,,,31,,,,4,,,20,,,,,39,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1908,President,Kent,1700,3617,,,,,,,,,115,,,,4,,,17,,,,,76,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1908,President,Newport,1949,3639,,,,,,,,,85,,,,9,,,36,,,,,121,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1908,President,Providence,18880,32037,,,,,,,,,653,,,,161,,,1228,,,,,812,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1908,President,Washington,1278,3043,,,,,,,,,132,,,,5,,,64,,,,,57,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1912,President,Bristol,1077,1126,,,,,,,,,27,,,,7,437,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1912,President,Kent,2030,2170,,,,,,,,,44,,,,11,1284,,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1912,President,Newport,2487,2583,,,,,,,,,59,,,,12,1279,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1912,President,Providence,23127,19695,,,,,,,,,403,,,,195,13090,,1899,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1912,President,Washington,1691,2129,,,,,,,,,83,,,,11,788,,39,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1916,President,Bristol,1292,1574,,,,,,,,,18,,,,10,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1916,President,Kent,2632,4038,,,,,,,,,43,,,,16,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1916,President,Newport,2932,4003,,,,,,,,,43,,,,11,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1916,President,Providence,31314,32406,,,,,,,,,308,,,,142,,,1722,,,,,,,,,,,,,,,,,,,,,,,,,,
