State,Year,Office,County,D#,R#,Prog.#,S#,SD#,Proh.#,SR#,Am.#,IND#,I1#,I2#,Ref.#,NL#,L#,G#,NA#,UC#,W/I#,D1#,D2#,I#,W/I1#,W/I2#,Year / Office,C#,All.#
South Carolina,1900,President,Abbeville,1366,8,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Aiken,1470,53,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Anderson,1858,68,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Bamberg,793,36,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Barnwell,1356,57,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Beaufort,378,385,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Berkeley,472,112,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Charleston,1729,271,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Cherokee,1084,59,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Chester,836,20,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Chesterfield,1314,56,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Clarendon,1130,83,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Colleton,889,121,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Darlington,1230,83,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Dorchester,770,43,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Edgefield,919,17,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Fairfield,670,17,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Florence,1290,74,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Georgetown,446,451,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Greenville,1777,47,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Greenwood,1482,4,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Hampton,936,1,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Horry,1330,79,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Kershaw,910,43,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Lancaster,1300,70,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Laurens,1540,30,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Lexington,1302,30,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Marion,1296,119,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Marlboro,714,35,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Newberry,1367,40,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Oconee,873,69,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Orangeburg,2457,167,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Pickens,933,60,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Richland,445,62,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Saluda,1269,7,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Spartanburg,2467,101,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Sumter,1199,150,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Union,1182,91,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,Williamsburg,1256,323,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1900,President,York,1198,37,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1904,President,Abbeville,665,21,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Aiken,1672,35,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Anderson,1952,66,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Bamberg,868,23,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Barnwell,1401,35,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Beaufort,415,319,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Berkeley,665,115,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Charleston,1750,195,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Cherokee,1507,31,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Chester,954,8,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Chesterfield,1158,12,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Clarendon,1170,86,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Colleton,1421,131,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Darlington,1464,42,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Dorchester,706,69,,,,,,,,,,,,,,,,0,,,,,,,,
