State,Year,Office,County,D#,R#,Liberty#,I1#,I2#,I3#,Proh.#,Pop.#,SD#,FL#,S#,Wor.#,Prog.#,Ref.#,C#,L#,NP#,SoJ,W/I#,I#,Year / Office
South Dakota,1892,President,Aurora,207,461,,314,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Beadle,206,984,,672,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Bon Homme,260,879,,636,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Brookings,189,1082,,827,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Brown,279,1446,,1465,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Brule,200,538,,484,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Buffalo,13,78,,63,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Butte,28,154,,202,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Campbell,77,390,,204,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Charles Mix,115,516,,268,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Clark,197,731,,621,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Clay,164,918,,629,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Codington,408,882,,401,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Custer,166,503,,352,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Davison,120,569,,640,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Day,362,752,,818,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Deuel,126,441,,440,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Douglas,109,541,,414,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Edmunds,156,386,,331,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Fall River,262,569,,228,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Faulk,107,473,,162,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Grant,188,605,,692,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Hamlin,161,537,,359,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Hand,70,526,,587,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Hanson,196,378,,470,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Hughes,102,459,,169,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Hutchinson,254,1034,,317,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Hyde,51,184,,91,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Jerauld,45,327,,323,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Kingsbury,175,951,,929,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Lake,196,742,,769,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Lawrence,546,2140,,1495,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Lincoln,206,1130,,699,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Marshall,114,477,,494,,,,,,,,,,,,,,,,,
South Dakota,1892,President,McCook,262,573,,699,,,,,,,,,,,,,,,,,
South Dakota,1892,President,McPherson,221,487,,256,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Meade,128,427,,613,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Miner,290,486,,484,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Minnehaha,484,2208,,1529,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Moody,96,735,,548,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Pennington,147,959,,787,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Potter,57,320,,249,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Roberts,68,538,,250,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Sanborn,95,564,,355,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Spink,171,1133,,832,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Stanley,29,76,,50,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Sully,39,278,,167,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Turner,429,1108,,418,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Union,241,860,,885,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Walworth,45,187,,191,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Yankton,228,1166,,766,,,,,,,,,,,,,,,,,
South Dakota,1896,President,Aurora,479,387,,,,,12,,,,,,,,,,,,,,
South Dakota,1896,President,Beadle,915,935,,,,,24,,,,,,,,,,,,,,
South Dakota,1896,President,Bon Homme,893,1163,,,,,7,,,,,,,,,,,,,,
South Dakota,1896,President,Brookings,1288,1263,,,,,42,,,,,,,,,,,,,,
South Dakota,1896,President,Brown,1867,1618,,,,,21,,,,,,,,,,,,,,
South Dakota,1896,President,Brule,668,441,,,,,5,,,,,,,,,,,,,,
South Dakota,1896,President,Buffalo,79,68,,,,,0,,,,,,,,,,,,,,
South Dakota,1896,President,Butte,286,222,,,,,2,,,,,,,,,,,,,,
South Dakota,1896,President,Campbell,369,449,,,,,4,,,,,,,,,,,,,,
South Dakota,1896,President,Charles Mix,594,698,,,,,11,,,,,,,,,,,,,,
South Dakota,1896,President,Clark,816,695,,,,,33,,,,,,,,,,,,,,
South Dakota,1896,President,Clay,1061,1238,,,,,21,,,,,,,,,,,,,,
South Dakota,1896,President,Codington,759,1041,,,,,23,,,,,,,,,,,,,,
South Dakota,1896,President,Custer,515,429,,,,,3,,,,,,,,,,,,,,
South Dakota,1896,President,Davison,733,616,,,,,16,,,,,,,,,,,,,,
South Dakota,1896,President,Day,1230,1171,,,,,35,,,,,,,,,,,,,,
South Dakota,1896,President,Delano,1,4,,,,,0,,,,,,,,,,,,,,
South Dakota,1896,President,Deuel,668,698,,,,,4,,,,,,,,,,,,,,
South Dakota,1896,President,Douglas,380,533,,,,,5,,,,,,,,,,,,,,
South Dakota,1896,President,Edmunds,510,371,,,,,7,,,,,,,,,,,,,,
South Dakota,1896,President,Fall River,555,530,,,,,4,,,,,,,,,,,,,,
South Dakota,1896,President,Faulk,237,430,,,,,4,,,,,,,,,,,,,,
South Dakota,1896,President,Grant,902,1029,,,,,21,,,,,,,,,,,,,,
South Dakota,1896,President,Gregory,116,110,,,,,0,,,,,,,,,,,,,,
South Dakota,1896,President,Hamlin,559,702,,,,,13,,,,,,,,,,,,,,
South Dakota,1896,President,Hand,567,451,,,,,8,,,,,,,,,,,,,,
South Dakota,1896,President,Hanson,658,420,,,,,6,,,,,,,,,,,,,,
South Dakota,1896,President,Hughes,327,462,,,,,5,,,,,,,,,,,,,,
South Dakota,1896,President,Hutchinson,458,1413,,,,,14,,,,,,,,,,,,,,
South Dakota,1896,President,Hyde,121,223,,,,,2,,,,,,,,,,,,,,
South Dakota,1896,President,Jackson,30,18,,,,,0,,,,,,,,,,,,,,
South Dakota,1896,President,Jerauld,336,274,,,,,6,,,,,,,,,,,,,,
South Dakota,1896,President,Kingsbury,1051,950,,,,,28,,,,,,,,,,,,,,
South Dakota,1896,President,Lake,999,864,,,,,11,,,,,,,,,,,,,,
South Dakota,1896,President,Lawrence,2905,2210,,,,,35,,,,,,,,,,,,,,
South Dakota,1896,President,Lincoln,1393,1516,,,,,14,,,,,,,,,,,,,,
South Dakota,1896,President,Lyman,78,114,,,,,1,,,,,,,,,,,,,,
South Dakota,1896,President,Marshall,694,553,,,,,16,,,,,,,,,,,,,,
South Dakota,1896,President,McCook,1047,678,,,,,12,,,,,,,,,,,,,,
South Dakota,1896,President,McPherson,361,512,,,,,6,,,,,,,,,,,,,,
South Dakota,1896,President,Meade,802,550,,,,,4,,,,,,,,,,,,,,
South Dakota,1896,President,Miner,705,582,,,,,5,,,,,,,,,,,,,,
