State,Year,Office,County,D#,R#,L#,G#,NL#,Ref.#,Cit.#,Work.#,NA#,C#,I1#,I2#,I3#,I4#,PF#,SW#,S#,New#,SL#,Union,Comm.#,Proh.#,Prog.#,Pop.#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#,W/I12#,W/I13#,W/I14#,W/I15#,W/I16#,W/I17#,PoP,AE#,SA#
Arizona,1912,President,Apache,108,56,,,,,,,,,,,,,,,10,,,,,2,79,,,,,,,,,,,,,,,,,,,,,
Arizona,1912,President,Cochise,1973,403,,,,,,,,,,,,,,,819,,,,,28,1396,,,,,,,,,,,,,,,,,,,,,
Arizona,1912,President,Coconino,339,237,,,,,,,,,,,,,,,96,,,,,5,178,,,,,,,,,,,,,,,,,,,,,
Arizona,1912,President,Gila,779,210,,,,,,,,,,,,,,,501,,,,,13,542,,,,,,,,,,,,,,,,,,,,,
Arizona,1912,President,Graham,540,103,,,,,,,,,,,,,,,164,,,,,7,243,,,,,,,,,,,,,,,,,,,,,
Arizona,1912,President,Greenlee,652,109,,,,,,,,,,,,,,,122,,,,,4,287,,,,,,,,,,,,,,,,,,,,,
Arizona,1912,President,Maricopa,2606,642,,,,,,,,,,,,,,,472,,,,,131,1818,,,,,,,,,,,,,,,,,,,,,
Arizona,1912,President,Mohave,320,69,,,,,,,,,,,,,,,184,,,,,5,228,,,,,,,,,,,,,,,,,,,,,
Arizona,1912,President,Navajo,287,168,,,,,,,,,,,,,,,40,,,,,7,233,,,,,,,,,,,,,,,,,,,,,
Arizona,1912,President,Pima,693,353,,,,,,,,,,,,,,,109,,,,,34,615,,,,,,,,,,,,,,,,,,,,,
Arizona,1912,President,Pinal,352,80,,,,,,,,,,,,,,,61,,,,,1,311,,,,,,,,,,,,,,,,,,,,,
Arizona,1912,President,Santa Cruz,250,56,,,,,,,,,,,,,,,38,,,,,2,123,,,,,,,,,,,,,,,,,,,,,
